, Brindisi,,,,
,P.za San Giusto Casale,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2005 1.00,"2,163496","4,863655","0,860057","3,561362",
01/01/2005 2.00,"1,932548","4,043968","0,718122","2,947468","12,21001"
01/01/2005 3.00,"1,693177","4,793619","1,178565","2,986402",
01/01/2005 4.00,"1,897688","6,254012","1,467503","4,003936","18,07081"
01/01/2005 5.00,"1,901029","4,505689","0,763744","3,335532",
01/01/2005 6.00,"0,894447","9,135889","1,122805","7,41734","16,60561"
01/01/2005 7.00,"0,334001","11,033362","1,097458","9,355062",
01/01/2005 8.00,"0,335018","9,038617","0,877798","7,696381","20,02442"
01/01/2005 9.00,"0,253678","9,462726","1,267274","7,522467",
01/01/2005 10.00,"0,284689","7,586005","0,894695","6,216808","17,094"
01/01/2005 11.00,"0,338068","8,109983","1,132098","6,376445",
01/01/2005 12.00,"0,338577","7,880419","1,116045","6,171381","19,0476"
01/01/2005 13.00,"0,360728","7,816865","1,247842","5,905319",
01/01/2005 14.00,"0,396096","6,972536","1,193771","5,146064","22,46641"
01/01/2005 15.00,"0,116418","4,841607","0,748537","3,76902",
01/01/2005 16.00,"0,236902","5,719658","1,216582","3,854682","18,55921"
01/01/2005 17.00,"0,340102","5,129535","0,750225","3,980574",
01/01/2005 18.00,"0,270963","5,234589","1,012974","3,682064","14,16361"
01/01/2005 19.00,"0,08134","7,959534","0,914127","6,560745",
01/01/2005 20.00,"0,336544","7,828538","1,17096","6,035105","10,74481"
01/01/2005 21.00,"0,343661","6,299405","1,253756","4,377723",
01/01/2005 22.00,"0,343152","10,924418","1,077182","9,27719","6,349206"
01/01/2005 23.00,"0,364141","6,745564","0,948766","5,292722",
02/01/2005 0.00,"0,358548","9,545732","1,05944","7,924806","10,25641"
02/01/2005 1.00,,"11,73373","1,077182","10,087064",
02/01/2005 2.00,"0,017826",,,,"10,74481"
02/01/2005 3.00,"0,234952",,,,
02/01/2005 4.00,"0,240657",,,,"18,55921"
02/01/2005 5.00,"0,227108",,,,
02/01/2005 6.00,"0,2321",,,,"15,62881"
02/01/2005 7.00,"0,234595",,,,
02/01/2005 8.00,"0,237091",,,,"13,67521"
02/01/2005 9.00,"0,236022",,,,
02/01/2005 10.00,"0,233527",,,,"9,76801"
02/01/2005 11.00,"0,241727",,,,
02/01/2005 12.00,"1,402585",,,,"22,46641"
02/01/2005 13.00,"0,642108",,,,
02/01/2005 14.00,"0,290571",,,,"11,23321"
02/01/2005 15.00,"0,391826",,,,
02/01/2005 16.00,"0,248144",,,,"12,21001"
02/01/2005 17.00,"0,233883",,,,
02/01/2005 18.00,"0,234595",,,,"6,837607"
02/01/2005 19.00,"0,246361",,,,
02/01/2005 20.00,"0,236022",,,,"25,88522"
02/01/2005 21.00,"0,229248",,,,
02/01/2005 22.00,"0,201438",,,,"42,490841"
02/01/2005 23.00,"0,228535",,,,
03/01/2005 0.00,"0,205004",,,,"46,398041"
03/01/2005 1.00,"0,181116",,,,
03/01/2005 2.00,"0,223187",,,,"46,88644"
03/01/2005 3.00,"0,219621",,,,
03/01/2005 4.00,"0,075227",,,,"30,76923"
03/01/2005 5.00,"0,076297",,,,
03/01/2005 6.00,"0,089132",,,,"27,35042"
03/01/2005 7.00,"0,182186",,,,
03/01/2005 8.00,"0,234952",,,,"22,46641"
03/01/2005 9.00,"0,669561",,,,
03/01/2005 10.00,"0,205004",,,,"31,746031"
03/01/2005 11.00,"0,2157",,,,
03/01/2005 12.00,"0,217126",,,,"26,37361"
03/01/2005 13.00,"0,235309",,,,
03/01/2005 14.00,"0,235309",,,,"23,93162"
03/01/2005 15.00,"0,233883",,,,
03/01/2005 16.00,"0,495219",,,,"16,11721"
03/01/2005 17.00,"0,236022",,,,
03/01/2005 18.00,"0,195734",,,,"14,65201"
03/01/2005 19.00,"0,574725",,,,
03/01/2005 20.00,"0,453505",,,,"8,302809"
03/01/2005 21.00,"0,916992",,,,
03/01/2005 22.00,"0,702006",,,,"9,27961"
03/01/2005 23.00,"0,160081",,,,
04/01/2005 0.00,"0,236022",,,,"18,07081"
04/01/2005 1.00,,,,,
04/01/2005 2.00,"0,848388",,,,"18,07081"
04/01/2005 3.00,"0,8724",,,,
04/01/2005 4.00,"0,898573","2,351416","0,637016","1,441935","11,23321"
04/01/2005 5.00,"0,889741","3,040109","0,709673","1,951999",
04/01/2005 6.00,"0,529576","2,906519","0,590549","2,001319","14,65201"
04/01/2005 7.00,"0,2908","3,698972","0,857522","2,384191",
04/01/2005 8.00,0,"3,861092","1,011285","2,310212","16,60561"
04/01/2005 9.00,"0,120055","4,151615","0,947075","2,699574",
04/01/2005 10.00,"0,001334","6,222885","1,567195","3,819639","12,21001"
04/01/2005 11.00,0,"5,802664","1,497918","3,505553",
04/01/2005 12.00,"0,074701","6,578255","1,637317","4,067532","7,814408"
04/01/2005 13.00,0,"4,186634","1,272343","2,236233",
04/01/2005 14.00,0,"4,556271","1,212358","2,696977","7,814408"
04/01/2005 15.00,0,"5,373366","1,297688","3,383554",
04/01/2005 16.00,0,"5,145098","1,171806","3,34851","10,25641"
04/01/2005 17.00,0,"4,63798","1,060285","3,012362",
04/01/2005 18.00,0,"4,749521","0,931024","3,322553","12,21001"
04/01/2005 19.00,0,"11,042442","1,301067","9,05136",
04/01/2005 20.00,0,"31,910762","3,177477","27,051529","17,094"
04/01/2005 21.00,0,"41,392945","4,094138","35,13208",
04/01/2005 22.00,0,"31,085888","2,467804","27,316303","29,79241"
04/01/2005 23.00,0,"29,472447","2,232935","26,062547",
05/01/2005 0.00,0,"17,038355","1,086475","15,381082","41,514042"
05/01/2005 1.00,0,"13,279723","1,259669","11,353777",
05/01/2005 2.00,0,"10,738951","1,099148","9,057849","36,630032"
05/01/2005 3.00,0,"12,01647","1,933859","9,053955",
05/01/2005 4.00,0,"7,199506","1,22841","5,317383","22,954821"
05/01/2005 5.00,0,"7,784442","1,055215","6,168787",
05/01/2005 6.00,0,"7,63918","0,875263","6,299872","21,97802"
05/01/2005 7.00,0,"15,549428","1,374569","13,448545",
05/01/2005 8.00,,,,,
05/01/2005 9.00,,,,,
05/01/2005 10.00,"1,295188",,,,"34,18803"
05/01/2005 11.00,,"17,644482",,"12,340049",
05/01/2005 12.00,"1,432007","20,586867","3,137769","15,780826","27,35042"
05/01/2005 13.00,"1,466618","22,269044","4,589219","15,234416",
05/01/2005 14.00,"1,520697","18,520798","2,896987","14,083208","23,93162"
05/01/2005 15.00,"1,374035","15,182385","1,944842","12,205181",
05/01/2005 16.00,"1,247599","25,673609","4,172709","19,281161","27,35042"
05/01/2005 17.00,"0,393911","14,467751","0,968197","12,990395",
05/01/2005 18.00,"0,046183","40,664013","1,669421","38,127574","19,0476"
05/01/2005 19.00,"0,029347","46,685897","2,43232","42,981627",
05/01/2005 20.00,"0,863423","88,025649","12,135405","69,443932","28,327221"
05/01/2005 21.00,"0,837717","88,531467","12,513894","69,368661",
05/01/2005 22.00,"0,738608","76,8172","9,138731","62,831266","60,073261"
05/01/2005 23.00,"0,126509","62,920096","5,475466","54,552149",
06/01/2005 0.00,"0,040018","53,576704","4,748895","46,318447","75,702072"
06/01/2005 1.00,,"46,24233","3,403051","41,046491",
06/01/2005 2.00,"0,024732",,,,"66,42247"
06/01/2005 3.00,"0,035195","31,686371","1,447226","29,485047",
06/01/2005 4.00,"0,040784","19,389764","0,958059","17,931394","51,282051"
06/01/2005 5.00,"0,033294","15,655781","1,147305","13,904102",
06/01/2005 6.00,"0,043756","17,428745","1,582402","15,009882","34,67643"
06/01/2005 7.00,"0,04661","22,852682","2,277713","19,369439",
06/01/2005 8.00,"0,034244","20,669867","1,873876","17,805499","29,30402"
06/01/2005 9.00,"0,04661","35,107799","5,14344","27,230646",
06/01/2005 10.00,"0,636375","32,698011","5,332686","24,528474","31,25762"
06/01/2005 11.00,"0,885361","16,319831","2,451752","12,564695",
06/01/2005 12.00,"0,96241","12,073536","2,052138","8,929359","28,81562"
06/01/2005 13.00,"0,962766","12,133198","1,684628","9,553637",
06/01/2005 14.00,"0,232339","9,329139","1,611126","6,860552","23,93162"
06/01/2005 15.00,"0,24958","8,541875","1,255445","6,619149",
06/01/2005 16.00,"0,207487","14,627279","1,326413","12,599735","24,42001"
06/01/2005 17.00,"0,092745","14,273206","1,037474","12,68929",
06/01/2005 18.00,"0,041855","18,183585","1,474261","15,931379","27,83882"
06/01/2005 19.00,"0,582987","11,147497","1,241927","9,247338",
06/01/2005 20.00,"0,722105","9,30709","1,107597","7,61202","22,46641"
06/01/2005 21.00,"0,28311","7,592489","1,251221","5,675594",
06/01/2005 22.00,"0,340779","8,58208","1,031561","7,003317","15,62881"
06/01/2005 23.00,"0,979533","6,390195","0,694467","5,51985",
07/01/2005 0.00,"0,592975","8,347329","0,92173","6,937126","16,11721"
07/01/2005 1.00,"0,070154","5,912908","1,121958","4,193425",
07/01/2005 2.00,"0,053269","5,910313","0,95299","4,450403","22,954821"
07/01/2005 3.00,"0,966691","6,229369","1,000301","4,697",
07/01/2005 4.00,"0,854564","4,993352","1,329792","2,955256","19,53602"
07/01/2005 5.00,"0,377164","5,759863","1,207288","3,909191",
07/01/2005 6.00,"0,075147","3,839045","1,001145","2,303723","18,55921"
07/01/2005 7.00,"1,330775","5,111376","1,153218","3,343319",
07/01/2005 8.00,"1,239576","4,369507","0,968197","2,88517","20,51281"
07/01/2005 9.00,"0,377521","8,422553","2,741534","4,216786",
07/01/2005 10.00,"0,25065","5,75338","1,547764","3,379659","16,60561"
07/01/2005 11.00,"0,201661","6,732595","1,584936","4,302445",
07/01/2005 12.00,"0,556115","8,846663","2,173797","5,513361","14,16361"
07/01/2005 13.00,"1,097604","7,457605","2,014964","4,367339",
07/01/2005 14.00,"1,198792","4,385071","1,11351","2,677509","19,0476"
07/01/2005 15.00,"0,16052","5,689827","1,501296","3,387446",
07/01/2005 16.00,"0,075742","5,687234","1,237704","3,789786","15,14041"
07/01/2005 17.00,"0,075147","5,216433","1,279102","3,255063",
07/01/2005 18.00,"0,062781","3,907784","0,767967","2,730724","16,60561"
07/01/2005 19.00,"0,060879","5,267013","1,276566","3,309574",
07/01/2005 20.00,"0,078001","5,475826","1,14308","3,723595","16,11721"
07/01/2005 21.00,"0,050416","5,788398","1,139701","4,041574",
07/01/2005 22.00,"0,315928","23,415575","2,29123","19,911931","13,18681"
07/01/2005 23.00,"0,152673","12,938618","1,170115","11,150015",
08/01/2005 0.00,"0,156597","10,578125","0,882867","9,229168","17,094"
08/01/2005 1.00,,"6,195648","0,748537","5,05002",
08/01/2005 2.00,"0,230364",,,,"22,46641"
08/01/2005 3.00,"0,197624","9,644304","2,289541","6,133744",
08/01/2005 4.00,"1,094894","8,137217","1,072113","6,49585","18,55921"
08/01/2005 5.00,"0,298367","12,201936","1,092389","10,532227",
08/01/2005 6.00,"0,124391","14,069582","1,179409","12,267483","24,908421"
08/01/2005 7.00,"0,108646","15,946304","1,424416","13,769122",
08/01/2005 8.00,"0,122817","17,103205","1,555366","14,72565","20,51281"
08/01/2005 9.00,"0,099198","32,826421","6,181759","23,352594",
08/01/2005 10.00,"0,388682","22,246999","3,76887","16,472592","25,39682"
08/01/2005 11.00,"1,410016","22,239216","4,018101","16,081934",
