, Brindisi,,,,
,S. Pietro  Vernotico,,,,
Parm,SO2,NOX,NO,NO2,PTS



01/01/2005 1.00,"0,189392","14,016405",0,"17,470655",
01/01/2005 2.00,"0,138495","18,937126",0,"22,254608","19,53602"
01/01/2005 3.00,"0,180632","17,055216",0,"20,494689",
01/01/2005 4.00,"0,160847","13,449627",0,"16,567334","15,62881"
01/01/2005 5.00,"0,135776","12,872472",0,"15,85091",
01/01/2005 6.00,"0,194376","12,925649",0,"16,115671","13,67521"
01/01/2005 7.00,"0,13925","13,762197",0,"16,682846",
01/01/2005 8.00,"0,104513","14,124052",0,"16,877524","28,81562"
01/01/2005 9.00,"0,119767","13,759602",0,"16,645208",
01/01/2005 10.00,"0,167493","13,430172",0,"16,420675","38,09523"
01/01/2005 11.00,"0,135474","12,873769",0,"16,804846",
01/01/2005 12.00,"0,173836","15,846435",0,"19,636795","62,515251"
01/01/2005 13.00,"0,127016","15,152553",0,"18,913887",
01/01/2005 14.00,"0,179726","11,148793",0,"15,773037","34,18803"
01/01/2005 15.00,"0,30191","9,952982",0,"14,097478",
01/01/2005 16.00,"0,171721","9,798644",0,"13,953416","51,282051"
01/01/2005 17.00,"0,164472","11,156575",0,"15,077372",
01/01/2005 18.00,"0,206006","14,817935",0,"18,312973","81,074471"
01/01/2005 19.00,"0,199964","14,572806",0,"18,277933",
01/01/2005 20.00,"0,189542","19,16669",0,"22,366212","13,67521"
01/01/2005 21.00,"0,185767","18,592131",0,"21,826302",
01/01/2005 22.00,"0,159186","21,415643",0,"24,418151","20,51281"
01/01/2005 23.00,"0,17293","20,214638",0,"23,270837",
02/01/2005 0.00,"0,201323","17,921593",0,"21,118957","10,74481"
02/01/2005 1.00,,"16,453421",0,"19,952178",
02/01/2005 2.00,"0,084651",,,,"40,04884"
02/01/2005 3.00,"0,076014","15,788073",0,"18,536206",
02/01/2005 4.00,"0,020731","13,397747",0,"16,184465","18,07081"
02/01/2005 5.00,"0,005183","11,83619",0,"14,680222",
02/01/2005 6.00,"0,024186","11,533994",0,"14,363542","38,09523"
02/01/2005 7.00,"0,015548","11,894554",0,"14,571201",
02/01/2005 8.00,"0,032824","13,471676",0,"16,01184","19,53602"
02/01/2005 9.00,"0,029369","13,375699",0,"16,063755",
02/01/2005 10.00,"0,020731","13,750524",0,"16,686741","90,842491"
02/01/2005 11.00,"0,074286","12,051489",0,"16,454412",
02/01/2005 12.00,"0,139933","13,003468",0,"17,805499","22,46641"
02/01/2005 13.00,"0,067375","12,052785",0,"15,292822",
02/01/2005 14.00,"0,06392","10,017832",0,"13,557567","23,44322"
02/01/2005 15.00,"0,067375","7,763689",0,"12,059825",
02/01/2005 16.00,"0,072558","7,912842",0,"12,35963","14,65201"
02/01/2005 17.00,"0,074286","10,248695",0,"14,717868",
02/01/2005 18.00,"0,164119","37,269831",0,"39,842064","29,79241"
02/01/2005 19.00,"0,324875","51,90361","0,021122","52,701391",
02/01/2005 20.00,"0,212491","56,206966","0,203609","56,07584","41,514042"
02/01/2005 21.00,"0,210764","49,388774","0,058295","49,95509",
02/01/2005 22.00,"0,136478","44,818253",0,"45,827847","107,936501"
02/01/2005 23.00,"0,169302","37,207575",0,"38,673985",
03/01/2005 0.00,"0,096744","33,447647",0,"35,238502","20,51281"
03/01/2005 1.00,"0,013821","28,215669",0,"30,078169",
03/01/2005 2.00,"0,112292","21,584242",0,"23,588821","19,53602"
03/01/2005 3.00,"0,062193","26,577603",0,"28,483082",
03/01/2005 4.00,"0,031096","30,823888","0,044777","31,976956","30,76923"
03/01/2005 5.00,"0,036279","23,309211",0,"25,130676",
03/01/2005 6.00,"0,005183","18,07853",0,"20,017072","27,83882"
03/01/2005 7.00,"0,058738","24,213204",0,"25,828939",
03/01/2005 8.00,"0,089834","32,152001","0,109831","33,082743","18,07081"
03/01/2005 9.00,"0,039734","49,260383","0,643775","48,489771",
03/01/2005 10.00,"0,172757","52,327709","0,910746","50,964816","24,42001"
03/01/2005 11.00,"0,209036","38,813255","0,006759","40,75707",
03/01/2005 12.00,"0,291959","24,315667",0,"27,917226","26,37361"
03/01/2005 13.00,"0,188306","19,763291",0,"23,684861",
03/01/2005 14.00,"0,210764","9,706558",0,"13,630244","20,51281"
03/01/2005 15.00,"0,025913","9,381018",0,"12,894353",
03/01/2005 16.00,"0,058738","8,429038",0,"12,052034","13,18681"
03/01/2005 17.00,"0,024186","7,27473",0,"11,009846",
03/01/2005 18.00,"0,07083","7,17616",0,"10,795699","21,97802"
03/01/2005 19.00,"0,027641","9,840146",0,"13,392741",
03/01/2005 20.00,"0,072558","15,029343",0,"18,036522","41,514042"
03/01/2005 21.00,"0,153754","11,26552",0,"14,451804",
03/01/2005 22.00,"0,096744","9,506823",0,"12,606227","15,62881"
03/01/2005 23.00,"0,046645","7,68587",0,"11,112379",
04/01/2005 0.00,"0,095016","6,484873",0,"9,839169","32,722832"
04/01/2005 1.00,,"6,916765",0,"10,255779",
04/01/2005 2.00,"0,2976",,,,"33,699631"
04/01/2005 3.00,"0,359675","7,589896",0,"10,599719",
04/01/2005 4.00,"0,144235","6,302",0,"9,24085","20,02442"
04/01/2005 5.00,"0,345069","6,557504",0,"9,61853",
04/01/2005 6.00,"0,551381","9,821988",0,"12,638675","29,30402"
04/01/2005 7.00,"0,996867","14,513147",0,"17,301933",
04/01/2005 8.00,"0,96583","14,133133",0,"16,941117","22,954821"
04/01/2005 9.00,"1,035208","10,619629",0,"13,586119",
04/01/2005 10.00,"1,467915","9,472111",0,"12,885004","84,493271"
04/01/2005 11.00,"1,851325",,,,
04/01/2005 12.00,"1,369323","14,231702","2,074104","11,055273","29,30402"
04/01/2005 13.00,"1,358369","16,275735","2,859814","11,893699",
04/01/2005 14.00,"1,005996","15,135694","2,671412","11,042295","12,21001"
04/01/2005 15.00,"0,792382","15,27447","2,697603","11,140931",
04/01/2005 16.00,"0,629889","15,884049","2,578478","11,933927","44,444431"
04/01/2005 17.00,"0,350547","18,594725","2,549753","14,690607",
04/01/2005 18.00,"0,290297","28,325915","3,154666","23,499263","41,514042"
04/01/2005 19.00,"0,292122","42,828685","3,391224","37,648655",
04/01/2005 20.00,"0,312206","41,597855","3,272099","36,599981","80,097672"
04/01/2005 21.00,"0,387062","55,323739","3,982617","49,243845",
04/01/2005 22.00,"0,266562","59,258767","3,924323","53,271149","14,16361"
04/01/2005 23.00,"0,098591","43,536812","3,236616","38,594808",
05/01/2005 0.00,"0,082159","32,94963","2,891073","28,531111","46,88644"
05/01/2005 1.00,"0,085811","23,125047","2,501598","19,298044",
05/01/2005 2.00,"0,085811","19,646565","2,434009","15,920995","19,0476"
05/01/2005 3.00,"0,087637","17,909923","2,365576","14,288273",
05/01/2005 4.00,"0,02556","16,195322","2,401061","12,517975","17,582411"
05/01/2005 5.00,"0,054773","14,424952","2,3208","10,869679",
05/01/2005 6.00,"0,056599","15,948897","2,386698","12,293443","45,909641"
05/01/2005 7.00,"0,056599","20,592067","2,466959","16,816523",
05/01/2005 8.00,"0,056599","32,305038","2,869952","27,918526","57,631241"
05/01/2005 9.00,"0,129629","37,551277","2,857278","33,187882",
05/01/2005 10.00,"0,195357","33,093604","2,719568","28,938636","29,79241"
05/01/2005 11.00,"0,25013","25,445336","1,940618","22,481735",
05/01/2005 12.00,"0,489305","24,045904","2,699292","19,915832","75,213661"
05/01/2005 13.00,"0,356024","23,287164","2,860659","18,908697",
05/01/2005 14.00,"0,281168","21,86829","2,780397","17,612123","50,305241"
05/01/2005 15.00,"0,136932","21,689306","2,744914","17,487529",
05/01/2005 16.00,"0,191706","21,483078","2,6486","17,429123","27,35042"
05/01/2005 17.00,"0,151538","26,962794","2,630859","22,939869",
05/01/2005 18.00,"0,492956","47,228023","3,858425","41,333308","45,421242"
05/01/2005 19.00,"0,363327","48,786993","3,978393","42,709068",
05/01/2005 20.00,"0,593374","67,692984","5,61909","59,107682","92,796082"
05/01/2005 21.00,"0,460093","61,414319","4,726084","54,196538",
05/01/2005 22.00,"0,467396","57,83209","4,415181","51,089421","23,44322"
05/01/2005 23.00,"0,390714","49,511983","3,642988","43,949843",
06/01/2005 0.00,"0,266562","41,382563","3,276324","36,378037","40,04884"
06/01/2005 1.00,,"31,569643","3,023713","26,946409",
06/01/2005 2.00,"0,255582",,,,"58,119652"
06/01/2005 3.00,"0,338161","29,814848","3,030473","25,180007",
06/01/2005 4.00,"0,277776","26,492002","2,949368","21,979453","17,094"
06/01/2005 5.00,"0,347838","19,524656","2,506667","15,687378",
06/01/2005 6.00,"0,281806","17,732238","2,443303","13,99106","10,74481"
06/01/2005 7.00,"0,232411","21,957771","2,498218","18,13516",
06/01/2005 8.00,"0,250728","27,712451","2,652825","23,656297","32,234421"
06/01/2005 9.00,"0,247919","24,132805","2,415423","20,438877",
06/01/2005 10.00,"0,404896","34,505996","2,90459","30,067786","21,48962"
06/01/2005 11.00,"0,408254","21,289832","1,97948","18,263651",
06/01/2005 12.00,"0,527008","21,528469","2,692534","17,407059","61,05006"
06/01/2005 13.00,"0,290598","20,813839","3,053283","16,137736",
06/01/2005 14.00,"0,471509","18,465029","2,419648","14,760691","36,141621"
06/01/2005 15.00,"0,406269","16,894392","2,569185","12,959251",
06/01/2005 16.00,"0,356905","16,720598","2,362197","13,103314","32,722832"
06/01/2005 17.00,"0,37797","21,743779","2,609738","17,749699",
06/01/2005 18.00,"0,3936","32,765445","3,318566","27,69008","12,21001"
06/01/2005 19.00,"0,479049","32,733018","3,335463","27,631688",
06/01/2005 20.00,"0,389449","38,630372","3,496829","33,285205","47,863232"
06/01/2005 21.00,"0,557995","35,461865","3,049904","30,801095",
06/01/2005 22.00,"0,408102","32,146801","2,973868","27,60054","38,09523"
06/01/2005 23.00,"0,36988","31,970417","2,971334","27,427926",
07/01/2005 0.00,"0,349731","17,240684","2,626636","13,217522","14,65201"
07/01/2005 1.00,"0,32598","15,90091","2,532857","12,020887",
07/01/2005 2.00,"0,362309","16,284814","2,691688","12,161056","27,83882"
07/01/2005 3.00,"0,368109","18,881357","2,923177","14,403784",
07/01/2005 4.00,"0,355746","23,761857","3,067646","19,065742","10,25641"
07/01/2005 5.00,"0,418603","14,422357","3,002594","9,819701",
07/01/2005 6.00,"0,40575","14,681752","3,060042","9,99102","33,211231"
07/01/2005 7.00,"0,413077","14,217434","2,987385","9,637998",
07/01/2005 8.00,"0,381054","16,072109","3,037232","11,417372","13,67521"
07/01/2005 9.00,"0,385815","17,821728","2,806588","13,522526",
07/01/2005 10.00,"0,611114","17,903437","2,576788","13,957311","17,582411"
07/01/2005 11.00,"0,76748","15,842546","2,806588","11,541977",
07/01/2005 12.00,"0,624088","15,339319","2,917263","10,868378","78,144081"
07/01/2005 13.00,"0,690549","14,703801","2,842917","10,346633",
07/01/2005 14.00,"0,574144","14,082551","2,662118","10,0027","60,073261"
07/01/2005 15.00,"0,585806","13,707724","2,604669","9,71587",
07/01/2005 16.00,"0,635262","16,83084","2,478787","13,03452","31,25762"
07/01/2005 17.00,"0,959472","19,192617","2,561582","15,270759",
07/01/2005 18.00,"0,591301","21,778789","3,032163","17,135795","32,234421"
07/01/2005 19.00,"0,495046","24,962861","3,04906","20,296109",
07/01/2005 20.00,"0,502708","27,984815","3,085388","23,264335","26,86202"
07/01/2005 21.00,"0,636055","33,621467","3,187615","28,747856",
07/01/2005 22.00,"0,407582","21,463633","2,959505","16,932035","31,746031"
07/01/2005 23.00,"0,290476","18,033136","2,613117","14,03129",
08/01/2005 0.00,"0,337672","16,816576","2,603823","12,828164","16,11721"
08/01/2005 1.00,,"17,54677","2,647756","13,491379",
08/01/2005 2.00,"0,070145",,,,"21,48962"
08/01/2005 3.00,"0,100939","20,158865","2,697603","16,028714",
08/01/2005 4.00,"0,075277","21,135495","2,88009","16,725667","21,97802"
08/01/2005 5.00,"0,065012","19,151127","2,570875","15,214946",
08/01/2005 6.00,"0,085542","19,219863","2,59791","15,242208","21,97802"
08/01/2005 7.00,"0,169373","22,62831","2,867417","18,238993",
08/01/2005 8.00,"0,116338","27,231277","3,004282","22,634887","46,398041"
08/01/2005 9.00,"0,088964","31,504787","3,04737","26,845168",
08/01/2005 10.00,"0,051325","25,598372","2,675636","21,505716","41,514042"
08/01/2005 11.00,"0,114626","24,551724","2,598756","20,576446",
08/01/2005 12.00,"0,112915","22,924018","3,004282","18,324652","106,959702"
08/01/2005 13.00,"0,191615","22,069317","2,96035","17,53684",
08/01/2005 14.00,"0,239518","20,042138","2,798139","15,757461","74,23687"
08/01/2005 15.00,"0,256871","19,263953","2,877556","14,856735",
08/01/2005 16.00,"0,116338","19,327509","2,792225","15,051413","35,653221"
08/01/2005 17.00,"0,155686","20,426048","2,43232","16,703604",
08/01/2005 18.00,"0,266891","31,853689","3,135233","27,059331","17,582411"
08/01/2005 19.00,"0,278868","43,658759","3,669179","38,052299",
08/01/2005 20.00,"0,44653","54,747861","4,024861","48,602696","102,0756"
08/01/2005 21.00,"0,386651","54,063059","3,962341","48,013474",
08/01/2005 22.00,"0,278868","53,454776","3,928547","47,45668","43,46764"
08/01/2005 23.00,"0,234386","47,867436","3,817027","42,036771",
09/01/2005 0.00,"0,16253","34,957345","3,085388","30,241701","27,35042"
09/01/2005 1.00,"0,124892","31,537234","2,969643","26,997018",
09/01/2005 2.00,"0,068434","27,984815","3,046526","23,324047","32,722832"
09/01/2005 3.00,"0,119759","26,965394","2,925711","22,489516",
09/01/2005 4.00,"0,075277","19,955238","2,640152","15,913203","30,76923"
09/01/2005 5.00,"0,083831","18,43001","2,507512","14,59067",
09/01/2005 6.00,"0,049614","18,357379","2,581857","14,403784","20,02442"
09/01/2005 7.00,"0,023951","29,866721","3,476554","24,546637",
09/01/2005 8.00,"0,042771","46,244912","4,368714","39,565625","28,327221"
09/01/2005 9.00,"0,272024","53,392542","5,599658","44,827184",
09/01/2005 10.00,"0,280578","52,073509","4,481924","45,224345","37,118431"
09/01/2005 11.00,"0,256627","30,324548","2,216883","26,939906",
09/01/2005 12.00,"0,347301","22,555672","2,676482","18,459631","46,398041"
09/01/2005 13.00,"0,097518","23,007019","2,804053","18,71531",
09/01/2005 14.00,"0,150555","20,924085","2,597066","16,948911","31,25762"
09/01/2005 15.00,"0,148843","20,202955","2,440769","16,467393",
09/01/2005 16.00,"0,148843","18,8204","2,369801","15,192883","64,95726"
09/01/2005 17.00,"0,109494","19,532436","2,563271","15,60821",
09/01/2005 18.00,"0,174506","25,683971","3,187615","20,804874","25,39682"
09/01/2005 19.00,"0,111205","38,780827","3,599056","33,278721",
09/01/2005 20.00,"0,083831","37,782151","3,424172","32,548031","23,44322"
09/01/2005 21.00,"0,179639","38,481216","3,248444","33,517532",
09/01/2005 22.00,"0,230964","36,610994","3,309272","31,55255","75,702072"
09/01/2005 23.00,"0,107783","27,660559","3,026248","23,030727",
10/01/2005 0.00,"0,068434","28,622926","3,066802","23,931452","42,490841"
10/01/2005 1.00,,"28,25848","3,073561","23,556375",
10/01/2005 2.00,"0,212489",,,,"30,28083"
10/01/2005 3.00,"0,138234","19,856674","2,778707","15,60172",
10/01/2005 4.00,"0,145696","17,590868","2,57172","13,652307","11,72161"
10/01/2005 5.00,"0,137499","16,631106","2,469493","12,848926",
10/01/2005 6.00,"0,167593","15,978728","2,488925","12,166252","40,537231"
10/01/2005 7.00,"0,114135","20,118657","2,525254","16,253247",
10/01/2005 8.00,"0,163556","31,939291","3,050749","27,274775","46,88644"
10/01/2005 9.00,"0,206617","34,815971","2,985696","30,253384",
10/01/2005 10.00,"0,200501","31,59559","2,884315","27,186517","17,582411"
10/01/2005 11.00,"0,174077","23,232691","2,281936","19,743215",
10/01/2005 12.00,"0,307296","20,436412","3,032163","15,792504","20,02442"
10/01/2005 13.00,"0,205516","20,096611","2,935004","15,60172",
10/01/2005 14.00,"0,188879","19,397545","2,836157","15,054016","32,722832"
10/01/2005 15.00,"0,489814","20,760668","2,664653","16,681544",
10/01/2005 16.00,"0,33323","26,595747","2,973868","22,045647","28,327221"
10/01/2005 17.00,"0,287233","30,133904","3,038076","25,48761",
10/01/2005 18.00,"0,477703","44,126953","3,506122","38,771323","11,72161"
10/01/2005 19.00,"0,386566","48,768828","3,827165","42,923215",
10/01/2005 20.00,"0,459598","52,444456","4,250434","45,951151","63,003651"
10/01/2005 21.00,"0,40724","51,444482","4,11526","45,158151",
10/01/2005 22.00,"0,495808","48,264308","3,934461","42,253515","61,53846"
10/01/2005 23.00,"0,290169","34,933998","3,178321","30,075587",
11/01/2005 0.00,"0,184965","27,350585","3,000059","22,760772","29,79241"
11/01/2005 1.00,"0,245274","23,986249","2,957817","19,458978",
11/01/2005 2.00,"0,193283","22,256081","3,272099","17,244818","15,14041"
11/01/2005 3.00,"0,166615","20,787894","3,191839","15,898931",
11/01/2005 4.00,"0,16319","19,24579","3,155511","14,411564","21,48962"
11/01/2005 5.00,"0,136521","18,060372","3,110734","13,294097",
11/01/2005 6.00,"0,179949","19,065526","3,199443","14,163677","14,16361"
11/01/2005 7.00,"0,248821","28,800608","3,677627","23,170897",
11/01/2005 8.00,"0,256283","40,342357","4,596824","33,308567","52,25885"
11/01/2005 9.00,"0,243072","50,332977","5,55826","41,829109",
11/01/2005 10.00,"1,022077","47,052941","4,453199","40,244406","66,42247"
11/01/2005 11.00,"0,511833","47,187794","4,382231","40,488413",
11/01/2005 12.00,"0,498499","35,483928","3,669179","29,871824","18,55921"
11/01/2005 13.00,"0,330294","31,491805","3,924323","25,48501",
11/01/2005 14.00,"0,680773","28,7656","4,088223","22,505081","73,748459"
11/01/2005 15.00,"0,324544","28,705926","3,63116","23,147532",
11/01/2005 16.00,"0,21408","28,127489","3,819562","22,279255","33,211231"
11/01/2005 17.00,"0,314268","26,499784","3,734233","20,781508",
11/01/2005 18.00,"0,235365","31,603351","4,182003","25,200771","50,305241"
11/01/2005 19.00,"0,34167","40,473388","4,173553","34,089887",
11/01/2005 20.00,"0,418372","40,057049","4,263108","33,535697","84,004883"
11/01/2005 21.00,"0,464002","47,46408","4,509803","40,568874",
11/01/2005 22.00,"0,390725","38,852145","4,416025","32,095059","29,30402"
11/01/2005 23.00,"0,253225","34,508578","4,301125","27,925008",
12/01/2005 0.00,"0,323688","31,341368","4,265641","24,810111","21,97802"
12/01/2005 1.00,,"26,750084","4,094982","20,477826",
12/01/2005 2.00,"0,212365",,,,"12,21001"
12/01/2005 3.00,"0,222384","20,990223","4,165105","14,606253",
12/01/2005 4.00,"0,146933","21,214614","4,192139","14,789245","20,02442"
12/01/2005 5.00,"0,080889","18,311985","4,089913","12,041648",
12/01/2005 6.00,"0,1462","18,566192","4,085688","12,302524","20,02442"
12/01/2005 7.00,"0,188478","21,265186","4,088223","14,999508",
12/01/2005 8.00,"0,118523","24,573769","4,200588","18,137755","63,980461"
12/01/2005 9.00,"0,207326","26,810217","4,047968","20,571705",
12/01/2005 10.00,"0,215542","30,03532","4,137224","23,700425","10,25641"
12/01/2005 11.00,"0,205706","24,925251","3,621022","19,379803",
12/01/2005 12.00,"0,349339","23,877303","4,079775","17,626395","54,21244"
12/01/2005 13.00,"0,243096","21,927943","3,82632","16,065058",
12/01/2005 14.00,"0,285495","22,071899","3,690301","16,418084","48,84005"
12/01/2005 15.00,"0,206867","23,986249","3,624402","18,434975",
12/01/2005 16.00,"0,159763","20,554439","3,26534","15,552397","38,09523"
12/01/2005 17.00,"0,254154","20,93575","3,440225","15,665314",
12/01/2005 18.00,"0,263929","33,150637","3,940375","27,120323","36,141621"
12/01/2005 19.00,"0,377504","46,187857","4,281694","39,642202",
12/01/2005 20.00,"0,657991","53,061824","4,682153","45,905722","105,006104"
12/01/2005 21.00,"0,436217","53,968398","4,724395","46,748035",
