,Provincia di FOGGIA,,,
,MICHELANGELO,,,
Parm,SO2,NO2,CO,PM10



01/01/2005 1.00,"1,12681668","27,28513864","0,35377555",
01/01/2005 2.00,"0,91124624","25,14886104","0,55909166",
01/01/2005 3.00,"0,89507492","30,30011408","0,49897649",
01/01/2005 4.00,"0,83978165","9,96765943","0,39760518",
01/01/2005 5.00,"0,81502685","9,28367967","0,33181996",
01/01/2005 6.00,"0,95244491","8,21293482","0,38831664",
01/01/2005 7.00,"0,92037178","8,7242973","0,32719608",
01/01/2005 8.00,"0,99861264","9,28238142","0,36567719",
01/01/2005 9.00,"0,76090821","8,64901995","0,24810073",
01/01/2005 10.00,"0,99951675","11,43424756","0,268649",
01/01/2005 11.00,"0,95425212","10,5400109","0,28135566",
01/01/2005 12.00,"0,98009205","9,91833939","0,25755005",
01/01/2005 13.00,"0,90826541","13,79377793","0,30652665",
01/01/2005 14.00,"0,81927283","14,49074208","0,27769639",
01/01/2005 15.00,"0,79813143","10,84111648","0,20567959",
01/01/2005 16.00,"0,74934391","15,25647896","0,23559562",
01/01/2005 17.00,"0,97015291","15,9365678","0,2721475",
01/01/2005 18.00,"0,86426592","17,27337128","0,38513968",
01/01/2005 19.00,"0,85405626","12,1805241","0,31653982",
01/01/2005 20.00,"0,94603069","18,02874321","0,41775153",
01/01/2005 21.00,"0,91495117","19,14489424","0,42330042",
01/01/2005 22.00,"0,91332499","16,15979762","0,43520323",
01/01/2005 23.00,"0,88423268","15,13578014","0,36298371",
02/01/2005 0.00,"1,26540937","20,30389128","0,32494413",
02/01/2005 1.00,,"10,90990833","0,30246662",
02/01/2005 2.00,"0,35141215",,"0,29824466",
02/01/2005 3.00,"0,32387891","7,49001909",,
02/01/2005 4.00,"0,24816224","8,07795718","0,33632152",
02/01/2005 5.00,"0,22823717","6,76061594","0,32476822",
02/01/2005 6.00,"0,27315908","6,10129716","0,27458468",
02/01/2005 7.00,"0,28475186","6,74504079","0,29191405",
02/01/2005 8.00,"0,26373963","7,19540283","0,22712957",
02/01/2005 9.00,"0,26627603","8,4257863","0,26932936",
02/01/2005 10.00,"0,24164123","13,76132938","0,29191405",
02/01/2005 11.00,"0,30359077","15,28633293","0,38834926",
02/01/2005 12.00,"0,22497566","11,84956264","0,37531291",
02/01/2005 13.00,"0,19925471","14,0481657","0,32508976",
02/01/2005 14.00,"0,11955242","11,46799627","0,31153032",
02/01/2005 15.00,"0,17896658","7,01889273","0,25978335",
02/01/2005 16.00,"0,20215214","10,69446034","0,25573032",
02/01/2005 17.00,"0,31047383","13,55107821","0,33230926",
02/01/2005 18.00,"0,46806611","42,46766144","0,80630466",
02/01/2005 19.00,"0,58001036","42,49492656","0,93487173",
02/01/2005 20.00,"0,4394457","31,84977096","0,67288303",
02/01/2005 21.00,"0,40104378","34,17426584","0,69221854",
02/01/2005 22.00,"0,31228612","35,96791304","0,66514161",
02/01/2005 23.00,"0,30866255","17,55890554","0,39252112",
03/01/2005 0.00,"0,33366041","25,18518904","0,48085375",
03/01/2005 1.00,"0,27823086","12,25450321","0,39653338",
03/01/2005 2.00,"0,22099105","16,57900936","0,41205817",
03/01/2005 3.00,"0,25685657","14,10786408","0,36857338",
03/01/2005 4.00,"0,27569548","9,78855092","0,32625243",
03/01/2005 5.00,"0,27279703","9,19153083","0,32749548",
03/01/2005 6.00,"0,20794904","24,58686688","0,33359426",
03/01/2005 7.00,"0,26591397","32,87638112","0,48687214",
03/01/2005 8.00,"0,30359077","54,66507424","0,52269356",
03/01/2005 9.00,"0,20939827","35,99127768","0,4211242",
03/01/2005 10.00,"0,22715","20,27404496","0,30675732",
03/01/2005 11.00,"0,1713584","9,71976481","0,26255023",
03/01/2005 12.00,"0,43473597","32,64535416","0,64676839",
03/01/2005 13.00,"0,36300493","37,15935672","0,65274601",
03/01/2005 14.00,"0,34163064","25,93148088","0,49316897",
03/01/2005 15.00,"0,24526379","17,1682457","0,31963406",
03/01/2005 16.00,"0,21845465","8,88004118","0,2775531",
03/01/2005 17.00,"0,24924839","20,06638264","0,35232629",
03/01/2005 18.00,"0,22932333","24,68680712","0,41466544",
03/01/2005 19.00,"0,14817283","23,49406328","0,52626429",
03/01/2005 20.00,"0,1271606","36,03930712","0,5456394",
03/01/2005 21.00,"0,19708036","51,98619016","0,67793797",
03/01/2005 22.00,"0,14056466","41,5228084","0,39966257",
03/01/2005 23.00,"0,06810849","20,00278952","0,31020688",
04/01/2005 0.00,"0,11085809","11,1772652","0,30230469",
04/01/2005 1.00,,"9,9754451","0,34326026",
04/01/2005 2.00,"0,3076964",,"0,26652171",
04/01/2005 3.00,"0,31048095","3,27712785",,
04/01/2005 4.00,"0,20341526","4,32840281","0,19929189",
04/01/2005 5.00,"0,33954071","4,62042448","0,17938321",
04/01/2005 6.00,"0,44542566","7,78463726","0,20085765",
04/01/2005 7.00,"0,37271626","13,47840118","0,18769199",
04/01/2005 8.00,"0,46788611","28,02883016","0,23216586",
04/01/2005 9.00,"0,68852527","36,36895504","0,25420184",
04/01/2005 10.00,"0,56835248","22,86849512","0,2211671",
04/01/2005 11.00,"0,41666897","26,3986972","0,24998803",
04/01/2005 12.00,"0,40940352","17,90674231","0,2026634",
04/01/2005 13.00,"0,4022296","15,20067533","0,2093272",
04/01/2005 14.00,"0,32492031","13,09163608","0,19724499",
04/01/2005 15.00,"0,39999017","10,29601675","0,18504278",
04/01/2005 16.00,"0,44115731","10,71392833","0,23092164",
04/01/2005 17.00,"0,49452337","26,70890008","0,4127129",
04/01/2005 18.00,"0,60561536","31,23848544","0,37731088",
04/01/2005 19.00,"0,82649658","51,9473192","0,87018161",
04/01/2005 20.00,"0,8503493","49,89668008","0,6816881",
04/01/2005 21.00,"0,7215198","46,2224088","0,6784762",
04/01/2005 22.00,"0,61866144","33,05029664","0,66992626",
04/01/2005 23.00,"0,42938249","27,33188704","0,38582004",
05/01/2005 0.00,"0,33239628","23,10456976","0,27583822",
05/01/2005 1.00,"0,25838614","17,28246475","0,2895258",
05/01/2005 2.00,"0,33923764","13,18248094","0,2692548",
05/01/2005 3.00,"0,23486598","12,5841626","0,26752827",
05/01/2005 4.00,"0,28726385","11,04099314","0,27631936",
05/01/2005 5.00,"0,3193502","12,70097624","0,27575783",
05/01/2005 6.00,"0,23507853","15,74188987","0,28824081",
05/01/2005 7.00,"0,2455516","20,58422872","0,35142109",
