,Provincia di LECCE,,
,SURBO,,
Parm,SO2,NO2,CO



01/01/2005 1.00,"0,49558308","3,9753826","1,4813674"
01/01/2005 2.00,"0,45182869","7,44978678","1,81264331"
01/01/2005 3.00,"0,6116655","21,55114624","2,31605612"
01/01/2005 4.00,"0,55273136","14,17925051","1,8021152"
01/01/2005 5.00,"0,54737381","10,86967985","1,71771561"
01/01/2005 6.00,"0,61970183","9,50691332","1,86024637"
01/01/2005 7.00,"0,60541502","10,92029431","1,80798797"
01/01/2005 8.00,"0,57237574","11,20842124","1,71073144"
01/01/2005 9.00,"0,5366587","11,44203896","1,48216659"
01/01/2005 10.00,"0,57862724","11,17207794","1,38925435"
01/01/2005 11.00,"0,50451234","10,39335094","1,59981994"
01/01/2005 12.00,"0,65095526","10,35312246","1,43824726"
01/01/2005 13.00,"0,76703767","11,34210063","1,05571951"
01/01/2005 14.00,"0,71881865","11,29667342","1,70419928"
01/01/2005 15.00,"0,84472325","9,72755238","1,77358785"
01/01/2005 16.00,"0,7679306","4,46078586","1,64241933"
01/01/2005 17.00,"0,81257792","7,26159436","1,73508926"
01/01/2005 18.00,"0,65631281","10,05331703","1,96132527"
01/01/2005 19.00,"0,59291405","10,00659349","2,40875983"
01/01/2005 20.00,"0,72506913","14,88789125","2,26518639"
01/01/2005 21.00,"0,64113307","18,96190628","1,8678212"
01/01/2005 22.00,"0,55094551","17,36812235","2,30719513"
01/01/2005 23.00,"0,5643394","14,58288901","2,20104382"
02/01/2005 0.00,"0,63934722","17,3356738","2,07300217"
02/01/2005 1.00,,"17,59135409","1,86900368"
02/01/2005 2.00,"0,46675012",,"1,92317268"
02/01/2005 3.00,"0,64493055","13,7301829",
02/01/2005 4.00,"0,45775068","18,06766962","1,57433324"
02/01/2005 5.00,"0,53754247","18,76592628","1,8041924"
02/01/2005 6.00,"0,46074982","16,01703623","1,83639533"
02/01/2005 7.00,"0,46974925","14,22986498","1,94357067"
02/01/2005 8.00,"0,38155908","11,64969746","1,94449218"
02/01/2005 9.00,"0,39535773","11,06824296","1,66267169"
02/01/2005 10.00,"0,39055749","9,99102025","1,70181919"
02/01/2005 11.00,"0,46734913","10,32326849","1,4998443"
02/01/2005 12.00,"0,87890564","8,08574284","0,7302022"
02/01/2005 13.00,"0,71512287","7,98970117","0,51696293"
02/01/2005 14.00,"0,72472234","7,64057379","2,18997283"
02/01/2005 15.00,"0,77211657","6,18046734","1,44459534"
02/01/2005 16.00,"0,93889847","9,83008338","1,17097412"
02/01/2005 17.00,"0,55793942","10,4997805","1,0325197"
02/01/2005 18.00,"0,47454847","18,43885956","1,7351312"
02/01/2005 19.00,"0,46254991","37,09186312","1,71433944"
02/01/2005 20.00,"0,59693527","62,97273336","2,65574682"
02/01/2005 21.00,"0,53454232","59,87471976","2,68277948"
02/01/2005 22.00,"0,4601508","50,3340692","2,48087915"
02/01/2005 23.00,"0,73372075","56,17190232","2,59034139"
03/01/2005 0.00,"0,58013748","70,5860688","2,45495208"
03/01/2005 1.00,"0,53694244","59,6930224","2,35712353"
03/01/2005 2.00,"0,49854662","42,67792408","2,43320036"
03/01/2005 3.00,"0,36476027","39,75380688","2,50698913"
03/01/2005 4.00,"0,3545618","34,33649904","2,47408371"
03/01/2005 5.00,"0,2891687","29,5551224","2,39394336"
03/01/2005 6.00,"0,35816096","29,32541472","2,44616332"
03/01/2005 7.00,"0,35096162","31,974376","2,29072086"
03/01/2005 8.00,"2,18976372","51,65269912","1,46099854"
03/01/2005 9.00,"0,65752915","28,75823904","1,84095164"
03/01/2005 10.00,"0,66532852","53,48919424","0,6842977"
03/01/2005 11.00,"0,56633882","55,43989312","0,71528321"
03/01/2005 12.00,"0,65812918","36,36507368","0,55396799"
03/01/2005 13.00,"0,70192425","19,01382282","0,22960286"
03/01/2005 14.00,"0,64133037","7,64706312","0,06658791"
03/01/2005 15.00,"0,7199221","4,86442436","0,04170933"
03/01/2005 16.00,"0,50274581","3,9753826","0,04924339"
03/01/2005 17.00,"0,28556953","4,0805101","0,03905313"
03/01/2005 18.00,"0,19917843","3,34072288","0,01309693"
03/01/2005 19.00,"0,19677831","3,19925591","0,01663038"
03/01/2005 20.00,"0,22857482","3,48608459","0,00914059"
03/01/2005 21.00,"0,19077903","4,79563825","0,05555769"
03/01/2005 22.00,"0,19137906","5,54580762","0,07347189"
03/01/2005 23.00,"0,17938049","2,91372357","0,04732813"
04/01/2005 0.00,"0,12298683","2,44389354","0,03387121"
04/01/2005 1.00,,"1,92604173","0,01447513"
04/01/2005 2.00,"0,12598596",,"0,012935"
04/01/2005 3.00,"0,12478692","1,67555252",
04/01/2005 4.00,"0,11158829","1,85076438","1,21967695"
04/01/2005 5.00,"0,19317915","1,96238311","1,21676328"
04/01/2005 6.00,"0,20517772","2,10514833","1,20932709"
04/01/2005 7.00,"0,20277861","2,14668079","1,23642848"
04/01/2005 8.00,"0,19797837","3,59380667","1,14803178"
04/01/2005 9.00,"0,21537721","3,88193551","1,26475779"
04/01/2005 10.00,"0,26517156","3,11229815","1,25364019"
04/01/2005 11.00,"0,29876816","3,70931824","1,26740234"
04/01/2005 12.00,"0,22257554","3,96759502","1,29335388"
