,Provincia di Taranto,,,
,manduria,,,
Parm,NO2,CO,O3,Benzene



01/01/2005 1.00,"31,029523","1,270825","19,803971","0,959493"
01/01/2005 2.00,,"1,215608","21,85285","0,694532"
01/01/2005 3.00,"28,013265","0,846668","26,297731","0,259679"
01/01/2005 4.00,"28,71929","0,809446",,"0,007482"
01/01/2005 5.00,"23,769218","0,69104","28,849435","0,000881"
01/01/2005 6.00,"17,630292","0,572225","35,781062",0
01/01/2005 7.00,"23,605686","0,569513","31,686824",0
01/01/2005 8.00,"22,079393","0,725058","29,215558","0,00132"
01/01/2005 9.00,"18,702331","0,798518","37,133515","0,080544"
01/01/2005 10.00,"25,817258","1,081918","33,055673","1,37762"
01/01/2005 11.00,"36,332627","1,44034","28,685486","1,076569"
01/01/2005 12.00,"37,513688","1,514044","28,721017","1,510981"
01/01/2005 13.00,"44,802535","1,618811","30,960067","1,260105"
01/01/2005 14.00,"38,157438","1,423331","44,477707","1,63862"
01/01/2005 15.00,"21,028117","0,837548","51,957142","0,345946"
01/01/2005 16.00,"25,843222","1,074441","45,450348","0,222267"
01/01/2005 17.00,"34,705092","1,215115","37,137602","0,98326"
01/01/2005 18.00,"46,463796","1,589969","24,796194","0,935725"
01/01/2005 19.00,"51,060877","1,694817","20,426007","1,158874"
01/01/2005 20.00,"48,545601","1,793995","23,999751","1,808952"
01/01/2005 21.00,"41,443633","1,658663","25,695081","1,840642"
01/01/2005 22.00,"41,949816","1,600405","21,018902","1,795308"
01/01/2005 23.00,"33,212527","1,291286","22,50386","1,329206"
02/01/2005 0.00,"24,677725","1,03311","24,995635","0,566012"
02/01/2005 1.00,"21,292873","0,727934","24,938278","0,082745"
02/01/2005 2.00,,"0,792766","17,382341",0
02/01/2005 3.00,"38,128872","0,894903","20,785307","0,019366"
02/01/2005 4.00,"32,843933","0,773703",,"0,004842"
02/01/2005 5.00,"27,070994","0,821444","28,516252",0
02/01/2005 6.00,"16,667272","0,638372","37,699297",0
02/01/2005 7.00,"14,523181","0,607639","43,438012",0
02/01/2005 8.00,"16,664677","0,707557","41,509206",0
02/01/2005 9.00,"25,830239","1,096216","36,436162","0,128079"
02/01/2005 10.00,"25,640741","1,196955","43,638551","1,102096"
02/01/2005 11.00,"23,263055","1,012157","54,510321","0,540485"
02/01/2005 12.00,"28,994447","1,065156","55,948078","0,293569"
02/01/2005 13.00,"47,457979","1,708046","45,602828","0,822171"
02/01/2005 14.00,"33,845898","1,274113","56,894745","0,996904"
02/01/2005 15.00,"19,813309","0,787014","68,353088","0,399642"
02/01/2005 16.00,"33,939337","1,218648","53,964692","0,454219"
02/01/2005 17.00,"47,079002","1,612895","35,759555","1,124983"
02/01/2005 18.00,"62,248521","2,309276","26,551974","2,408415"
02/01/2005 19.00,"66,357603","2,546415","26,040435","2,922051"
02/01/2005 20.00,"84,774409","4,035153","29,621162","6,391191"
02/01/2005 21.00,"89,908773","4,939258","36,268362","7,088362"
02/01/2005 22.00,"89,729676","5,442049","37,687025","9,116062"
02/01/2005 23.00,"75,606234","3,498015","13,317597","7,842754"
03/01/2005 0.00,"55,115424","1,989006","9,1012","3,128475"
03/01/2005 1.00,"47,823977","1,663099","5,244921","1,455965"
03/01/2005 2.00,,"1,917166","4,018604","1,161515"
03/01/2005 3.00,"41,176275",,"4,726566","1,086252"
03/01/2005 4.00,"30,840025","0,874371",,"0,35959"
03/01/2005 5.00,"29,588869","0,84564","14,354162","0,134241"
03/01/2005 6.00,"31,468191","0,857563","13,949453","0,125878"
03/01/2005 7.00,"42,923215","1,048831","12,20125","0,16329"
03/01/2005 8.00,"53,33734","1,214433","13,398707","0,402282"
03/01/2005 9.00,"68,55359","2,207209","17,90898","1,610451"
