,Regione Puglia,,,,,,
,Bari Via Caldarola,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2006 1.00,"0,55349005","22,627086","21,25480536","0,43645677","43,78017525","15,88792992","2,5755525"
01/01/2006 2.00,"0,70767538","33,17618272","42,83256664","0,57252061","25,58409945","15,88792992","2,090952"
01/01/2006 3.00,"0,59314898","32,6843016","40,13098712","0,61122424","34,7194638","15,88792992","2,3314725"
01/01/2006 4.00,"0,4881183","26,36755072","25,37399904","0,4753934","47,82439935","15,88792992","2,9254005"
01/01/2006 5.00,"0,35833181","22,40904152","19,88262032","0,40451946","51,92835375","15,88792992","2,570976"
01/01/2006 6.00,"0,41596826","20,3064916","17,0124177","0,37095697","54,29099235","15,88792992","1,177686"
01/01/2006 7.00,"0,49471863","18,79318758","15,66875014","0,34690671","57,7363374","15,88792992","2,36961"
01/01/2006 8.00,"0,44108409","17,86001303","14,05401834","0,31566491","58,6294191","15,88792992","3,1318515"
01/01/2006 9.00,"0,41662524","16,9969305","13,36662183","0,31601324","57,27040515","15,88792992","2,005524"
01/01/2006 10.00,"0,30562274","20,39734984","18,87098303","0,35986035","47,9005485","15,88792992","1,0877832"
01/01/2006 11.00,"0,25706506","22,97491704","21,06285968","0,41097589","51,9403038","15,88792992","1,530585"
01/01/2006 12.00,"0,28889919","22,95545288","21,14067808","0,41047377","62,1300456","15,88792992","2,5552125"
01/01/2006 13.00,"0,23368219","24,9022704","23,9265768","0,39968587","63,14408415","15,88792992","2,454021"
01/01/2006 14.00,"0,27489307","27,74719256","29,43483848","0,43490965","59,08493745","15,88792992","1,6266915"
01/01/2006 15.00,"0,27113017","22,813984","20,65950416","0,38924631","67,6931031","15,88792992","1,434987"
01/01/2006 16.00,"0,21731663","15,5121669","11,62608043","0,34880217","63,1680042","15,88792992","2,2816395"
01/01/2006 17.00,"0,21283674","19,68352376","16,54161446","0,33584853","64,1088462","15,88792992","1,111581"
01/01/2006 18.00,"0,26781576","26,54016608","25,2404076","0,39806186","56,5804344","15,88792992","1,3551525"
01/01/2006 19.00,"0,21510669","28,95161872","28,29218904","0,44894557","46,3638","15,88792992","2,364525"
01/01/2006 20.00,"0,26172393","38,81673568","40,72498816","0,58195478","29,94493005","15,88792992","1,6988985"
01/01/2006 21.00,"0,27985094","39,30605472","45,95440376","0,63747868","35,7185598","15,88792992","2,0914605"
01/01/2006 22.00,"0,42988488","31,58371616","31,63577992","0,51359491","52,71988995","15,88792992","1,7772075"
01/01/2006 23.00,"0,29806745","28,76992136","27,75524208","0,46186076","54,5254647","15,88792992","1,460412"
02/01/2006 0.00,"0,34692413","24,12223176","21,48826056","0,41758843","62,3943831","15,88792992","2,2521465"
02/01/2006 1.00,,"23,3772592","20,64004","0,38514784","61,37735205","22,17621994","1,2239595"
02/01/2006 2.00,"0,18860774",,,"0,3577715","61,3056717","22,17621994","2,258757"
02/01/2006 3.00,"0,20657304","18,8087589","14,8438751",,"61,65812835","22,17621994","2,0894265"
02/01/2006 4.00,"0,15601899","17,95476219","13,63639165","0,26116271","68,2412094","22,17621994","0,9983889"
02/01/2006 5.00,"0,20675203","15,9936735","11,75707538","0,23478012",,"22,17621994","1,9530468"
02/01/2006 6.00,"0,18323594","17,702969","13,93339982","0,22607641","62,6757579","22,17621994","1,7759871"
02/01/2006 7.00,"0,207408","24,70759056","22,72817344","0,26468451","53,56816395","22,17621994","0,79249725"
02/01/2006 8.00,"0,15393007","32,80888752","32,50606496","0,32603807","52,0509864","22,17621994","0,9749979"
02/01/2006 9.00,"0,26488579","41,30476392","45,87398504","0,44070086","47,74631505","22,17621994","1,3531185"
02/01/2006 10.00,"0,18025105","46,33143104","56,26274144","0,54580833","49,67647755","22,17621994","1,8646695"
02/01/2006 11.00,"0,19135262","43,44626128","52,03462112","0,53958024","61,92314415","22,17621994","2,0223045"
02/01/2006 12.00,"0,20633405","40,35731056","43,39157808","0,47470488","69,8636631","22,17621994","1,8799245"
02/01/2006 13.00,"0,22065849","40,13280352","43,33580504","0,45965658","69,35643435","22,17621994","1,748223"
02/01/2006 14.00,"0,20872196","42,34695688","49,06972096","0,50983196","62,2358604","22,17621994","2,721492"
02/01/2006 15.00,"0,25766407","46,48848272","58,50781184","0,55861284","39,45569355","22,17621994","2,167227"
