,Regione Puglia,,,
,Scuola Elementare G.Ungaretti Via Ca del Fico,,,
Parm,SO2,NOX,NO,NO2



01/01/2006 1.00,6,"77,89629488","16,16279098","53,12059888"
01/01/2006 2.00,5,"58,94099456","7,44818884","47,53973856"
01/01/2006 3.00,4,"57,41833512","8,07168635","45,05821112"
01/01/2006 4.00,4,"57,7270084","10,12128922","42,21847048"
01/01/2006 5.00,4,"25,13146184","1,17096043","23,34999408"
01/01/2006 6.00,3,"21,33134272","1,54015972","18,9800741"
01/01/2006 7.00,3,"21,0083868","1,87640953","18,14035812"
01/01/2006 8.00,3,"22,94736512","1,28079121","20,995672"
01/01/2006 9.00,4,"18,08501528","1,3044468","16,09360992"
01/01/2006 10.00,3,"19,04736886","1,63393787","16,55045938"
01/01/2006 11.00,3,"23,50505728","2,38669814","19,85483896"
01/01/2006 12.00,3,"23,93435864","2,96541962","19,39538536"
01/01/2006 13.00,"3,54711803","19,41959128","2,9375392","14,92033024"
01/01/2006 14.00,"3,54170047","32,13901832","4,34336834","25,48891024"
01/01/2006 15.00,"3,35025734","19,69065552","3,52808847","14,2843761"
01/01/2006 16.00,"3,26717759","20,18351176","4,11103478","13,88203967"
01/01/2006 17.00,"3,3737358","19,79702008","4,22339946","13,32264966"
01/01/2006 18.00,"3,27440236","23,82283168","4,20143355","17,38499575"
01/01/2006 19.00,"3,30510559","23,53878496","3,69790243","17,87429376"
01/01/2006 20.00,"3,25092288","14,34583734","3,41403411","9,1110624"
01/01/2006 21.00,"3,42430612","15,98910382","3,08200913","11,26552694"
01/01/2006 22.00,"3,4622331","13,79462303","2,9375392","9,29146725"
01/01/2006 23.00,"3,15881319","12,80114018","2,6190317","8,786596"
02/01/2006 0.00,"3,39902045","16,47417249","2,65789446","12,40246333"
02/01/2006 1.00,,"31,53333496","2,71703468","27,38119752"
02/01/2006 2.00,3,,,
02/01/2006 3.00,3,"10,42637882","2,24983241","6,97736026"
02/01/2006 4.00,3,"8,30063826","1,84177037","5,4770196"
02/01/2006 5.00,"3,18409886","7,61453809","1,53086583","5,26806286"
02/01/2006 6.00,3,"13,00476436","1,49369276","10,71912514"
02/01/2006 7.00,3,"21,24702352","1,49707213","18,96190628"
02/01/2006 8.00,3,"62,76189712","14,75697306","40,13538472"
02/01/2006 9.00,3,"49,37971352","5,75511076","40,57277384"
02/01/2006 10.00,3,"49,42766648","6,76639533","39,06724592"
02/01/2006 11.00,3,"30,95487848","3,56779669","25,49539192"
02/01/2006 12.00,3,"25,74882752","3,38953305","20,55958304"
02/01/2006 13.00,4,"24,7138428","3,32279112","19,62641232"
02/01/2006 14.00,3,"29,59047528","4,60442529","22,53752792"
02/01/2006 15.00,3,"29,20008312","4,50980293","22,29223744"
02/01/2006 16.00,"3,38637812","34,7796624","5,37239399","26,55056736"
02/01/2006 17.00,3,"48,72341952","5,5836071","40,17951368"
02/01/2006 18.00,4,"85,39668848","12,62794502","66,05648344"
02/01/2006 19.00,3,"58,5596844","5,19582003","50,61830712"
02/01/2006 20.00,3,"61,15105624","5,23130466","53,156946"
02/01/2006 21.00,3,"100,0265668","12,99799227","80,1280004"
02/01/2006 22.00,4,"74,70184","9,27897563","60,49898776"
02/01/2006 23.00,3,"70,6760284","4,64751289","63,58533816"
03/01/2006 0.00,3,"88,36415072","12,34830278","69,45561792"
03/01/2006 1.00,3,"35,88208336","1,38977651","33,77190456"
03/01/2006 2.00,3,"24,44926024","0,8913157","23,09692176"
03/01/2006 3.00,3,"16,12269144","0,78486429","14,92812164"
03/01/2006 4.00,3,"7,22155517","0,7612087","6,0571682"
03/01/2006 5.00,3,"13,78943578","0,66912025","12,7710606"
03/01/2006 6.00,3,"21,9032984","0,6066019","20,98659"
03/01/2006 7.00,3,"35,47872784","1,67533452","32,9296112"
03/01/2006 8.00,3,"88,62097056","15,46917217","64,91825072"
03/01/2006 9.00,4,"157,25557568","55,22522809","72,5263664"
03/01/2006 10.00,3,"99,06678104","22,19838321","65,03375464"
03/01/2006 11.00,3,"27,95498872","1,48862371","25,68747144"
03/01/2006 12.00,"3,27981992","37,24392448","2,82601874","32,92831104"
03/01/2006 13.00,3,"14,37955737","1,1523739","12,61920574"
03/01/2006 14.00,"3,29968701","23,93435864","2,44583712","20,19356888"
03/01/2006 15.00,"3,28162611","27,93034304","2,43147542","24,21439016"
03/01/2006 16.00,"3,22563822","26,97187656","2,89952066","22,53624688"
03/01/2006 17.00,3,"39,92994032","3,04990387","35,27227008"
03/01/2006 18.00,4,"91,61565968","19,31999546","61,99933416"
03/01/2006 19.00,4,"87,1320388","20,66583268","55,44509376"
03/01/2006 20.00,3,"84,02578448","18,22000429","56,09400744"
03/01/2006 21.00,4,"116,38345912","33,03501273","65,71500024"
03/01/2006 22.00,4,"121,58616408","39,11649456","61,578828"
03/01/2006 23.00,3,"7,56395613","0,08532972","7,45367962"
04/01/2006 0.00,3,"28,07301648","0,86343527","26,76601152"
04/01/2006 1.00,,"29,20526464","1,80713245","26,44932696"
04/01/2006 2.00,3,,,
04/01/2006 3.00,3,"12,64550338","0,5677379","11,78208434"
