,Provincia di TARANTO,,,,,,
,TA V.Archimede,,,,,,
Parm,SO2,NOX,NO,NO2,CO,H2S,PM10



01/01/2006 1.00,"0,557239","44,213832","12,069953","25,725118",0,"0,402991","36,27282"
01/01/2006 2.00,"0,222967","37,053259","7,321996","25,844504",0,"0,414121","36,27282"
01/01/2006 3.00,"0,155325","30,564504","5,483885","22,171533",0,"0,310259","36,27282"
01/01/2006 4.00,"0,1088","31,862773","5,077858","24,093685",0,"0,356608","36,27282"
01/01/2006 5.00,"0,11882","33,879569","5,788403","25,021656",0,"0,303648","36,27282"
01/01/2006 6.00,"0,102357","20,790494","3,196606","15,900222",0,"0,282516","36,27282"
01/01/2006 7.00,"0,071936","13,384778","3,073106","8,678871",0,"0,200881","36,27282"
01/01/2006 8.00,"0,097704","14,239484","3,0951","9,500424",0,"0,218656","36,27282"
01/01/2006 9.00,"0,07981","17,481922","3,269352","12,477734",0,"0,228756","36,27282"
01/01/2006 10.00,"0,163915","17,492297","3,552726","12,053336",0,"0,16493","36,27282"
01/01/2006 11.00,"0,071578","16,698549","3,946908","10,65423",0,"0,165429","36,27282"
01/01/2006 12.00,"0,052968","20,110874","3,491821","14,767183",0,"0,277864","36,27282"
01/01/2006 13.00,"0,065137","20,047319","4,547487","13,083845",0,"0,186328","36,27282"
01/01/2006 14.00,"0,095557","22,33778","4,796178","14,994309",0,"0,126224","36,27282"
01/01/2006 15.00,"0,079094","18,383319","3,409769","13,164314",0,"0,212941","36,27282"
01/01/2006 16.00,"0,066568","18,142082","5,808704","9,242147",0,"0,176129","36,27282"
01/01/2006 17.00,"0,053683","22,663318","10,080432","7,212276",0,"0,147287","36,27282"
01/01/2006 18.00,"0,055473","16,790634","6,257026","7,201892",0,"0,178355","36,27282"
01/01/2006 19.00,"0,049747","16,109721","4,388461","9,387508",0,"0,208555","36,27282"
01/01/2006 20.00,"0,068","21,641315","3,914764","15,649742",0,"0,200216","36,27282"
01/01/2006 21.00,"0,05941","22,938283","5,362923","14,72565",0,"0,109211","36,27282"
