,Provincia di TARANTO,,,,
,TA Carcere,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2006,"0,00605","22,387072","6,487951","12,447892",
01/01/2006,"0,0121","19,215963","6,097997","9,872914","48,84005"
01/01/2006,"0,008067","24,381823","6,61568","14,248032",
01/01/2006,"0,004033","15,291331","6,055702","6,010444","59,096451"
01/01/2006,"0,008067","17,693328","5,907672","8,641234",
01/01/2006,"0,004033","12,980122","5,969422","3,831319","38,58363"
01/01/2006,"0,231927","12,733696","6,405055","2,91502",
01/01/2006,"0,004033","17,85934","7,366828","6,57502","31,25762"
01/01/2006,"0,004033","25,603573","9,076364","11,695124",
01/01/2006,"0,004033","13,95415","6,456654","4,058445","29,30402"
01/01/2006,"0,016134","10,073601","6,038786","0,851404",
01/01/2006,"0,014117","10,144936","5,853537","1,187553","16,11721"
01/01/2006,"0,131224","10,373029","6,271743","0,796029",
01/01/2006,"0,782499","10,425082","6,143676","1,031809","9,76801"
01/01/2006,"0,613092","9,728605","6,084463","0,426999",
01/01/2006,"0,974091","10,600174","6,36699","0,913703","6,349206"
01/01/2006,"0,068569","11,623485","6,719724","1,345893",
01/01/2006,"0,034285","11,661098","6,290014","2,02468","15,62881"
01/01/2006,"0,231927","12,62086","6,562389","2,567191",
01/01/2006,"0,427551","12,029439","6,282401","2,412745","29,79241"
01/01/2006,"0,004033","10,400438","6,090384","1,075936",
01/01/2006,"0,010084","10,724683","6,062471","1,460106","18,55921"
01/01/2006,"0,026218","13,903568","6,66728","3,683361",
02/01/2006,"0,213775","11,010018","6,229956","1,467894","22,954821"
02/01/2006,,"10,050258","6,207117","0,569764",
02/01/2006,"0,004054",,,,"21,48962"
02/01/2006,"0,010135","10,972406","6,07093","1,66517",
02/01/2006,"0,002027","10,667617","6,108993","1,325127","21,97802"
02/01/2006,"0,002027","10,530137","6,312007","0,87866",
02/01/2006,"0,008109","9,395285","5,957581","0,442574","17,094"
02/01/2006,"0,008109","10,251287","6,16736","0,887743",
02/01/2006,"0,004054","13,408124","6,024407","4,173957","12,69841"
02/01/2006,"0,006082","17,267921","6,635136","7,099361",
02/01/2006,"0,002027","13,766088","6,281555","4,137618","6,837607"
02/01/2006,"0,010135","16,668718","7,352448","5,399148",
02/01/2006,"0,012162","12,139681","6,642749","1,957192","3,418803"
02/01/2006,"0,008109","12,950292","6,608913","2,825467",
02/01/2006,"0,012162","11,13323","6,339074","1,428958","5,860806"
02/01/2006,"0,014189","13,720693","7,370211","2,433509",
02/01/2006,"0,018244","11,353716","6,267175","1,804043","3,907204"
02/01/2006,"0,251356","15,924255","6,059087","6,638615",
02/01/2006,"0,208787","19,7127","6,430431","9,859935","10,25641"
02/01/2006,"0,269599","39,675738","11,182617","22,545327",
02/01/2006,"0,002027","23,615302","6,038786","14,366137","7,326007"
02/01/2006,"0,281761","44,163279","13,940201","22,804901",
02/01/2006,"1,552727","100,304113","41,978819","35,964032","25,88522"
02/01/2006,"0,441899","61,267766","21,85855","27,771857",
03/01/2006,"0,012162","36,394404","9,492541","21,854847","27,83882"
03/01/2006,"0,004054","34,329616","8,004626","22,071611",
03/01/2006,"0,006082","34,113004","7,66458","22,376613","32,234421"
03/01/2006,"0,002027","23,566012","6,125066","14,184438",
03/01/2006,"0,012162","12,034627","6,069239","2,735915","21,97802"
03/01/2006,"0,008109","11,200673","6,068392","1,903979",
03/01/2006,"0,006082","16,439154","6,216422","6,912467","12,69841"
03/01/2006,"0,012162","28,455607","7,568149","16,863243",
03/01/2006,"0,111489","52,008675","13,697435","31,028202","9,76801"
03/01/2006,"1,356102","105,51536","44,910656","36,680456",
03/01/2006,"0,006082","44,67688","16,047306","20,085846","8,791209"
03/01/2006,"0,190543","17,82951","7,83545","5,819659",
03/01/2006,"1,435158","27,442687","9,638034","12,673714","7,326007"
03/01/2006,"1,189884","22,642573","8,277003","9,958571",
03/01/2006,"0,324329","21,514206","9,989077","6,205126","9,76801"
03/01/2006,"0,046622","15,777696","7,833757","3,76902",
03/01/2006,"0,010135","16,632402","7,320304","5,412126","4,884005"
03/01/2006,"0,776364","13,157808","6,564926","3,094127",
03/01/2006,"0,452034","50,221412","13,081629","30,184609","11,72161"
03/01/2006,"0,707443","55,758221","15,171812","32,518167",
03/01/2006,"0,099326","41,058325","11,822106","22,94767","20,02442"
03/01/2006,"0,125678","27,685204","9,570362","13,020249",
03/01/2006,"0,162165","45,7767","13,507117","25,083968","24,908421"
03/01/2006,"0,006082","15,184979","6,541243","5,266765",
04/01/2006,0,"10,4173","6,084463","1,347191","22,46641"
04/01/2006,,"12,064458","6,560698","2,094766",
04/01/2006,"1,312294",,,,"12,21001"
04/01/2006,"1,315755","12,094289","5,919515","3,020149",
04/01/2006,"1,014249","12,39389","6,135216","2,988999","7,326007"
04/01/2006,"1,195845","13,426281","6,271405","3,813147",
04/01/2006,"0,601179","23,831894","6,933734","13,209742","10,25641"
04/01/2006,"1,482081","39,317774","11,297663","22,010599",
04/01/2006,"1,331431","47,060724","13,83024","25,873069","16,11721"
04/01/2006,"2,184442","75,193396","31,369705","27,113841",
04/01/2006,"1,337335","53,698633","19,483302","23,841894","16,11721"
04/01/2006,"1,445233","39,726331","14,16774","18,015762",
04/01/2006,"1,254272","26,300037","10,295281","10,521843","12,21001"
04/01/2006,"1,777277","15,459936","7,405739","4,107765",
04/01/2006,"1,376422","13,908756","6,641902","3,72749","6,837607"
04/01/2006,"1,830615","31,460697","8,418265","18,566059",
04/01/2006,"3,163674","27,57626","7,388821","16,258436","3,907204"
04/01/2006,"3,719455","26,288375","6,398287","16,489457",
04/01/2006,"3,251215","80,27882","24,504472","42,736314","19,53602"
04/01/2006,"2,255899","48,150162","12,925143","28,351996",
04/01/2006,"1,441365","38,911818","10,427238","22,939869","23,93162"
04/01/2006,"1,382326","43,818258","12,275501","25,013873",
04/01/2006,"1,323491","29,57231","8,753235","16,162393","27,35042"
04/01/2006,"1,323287","18,579162","7,058925","7,761276",
05/01/2006,"1,333669","26,088627","7,812609","14,119552","18,07081"
05/01/2006,"1,32573","24,052387","6,075159","14,747715",
05/01/2006,"0,649022","37,466998","6,961648","26,81142","14,65201"
05/01/2006,"1,329802","32,141619","6,181741","22,678995",
05/01/2006,"0,983915","20,004528","5,904291","10,959231","15,62881"
05/01/2006,"0,58469","19,92023","6,436353","10,05851",
05/01/2006,"1,327359","20,339149","6,036248","11,091609","12,69841"
05/01/2006,"1,26323","46,231948","11,683381","28,337731",
05/01/2006,"1,316569","45,573093","13,263491","25,253982","10,25641"
05/01/2006,"2,265875","67,008179","26,38743","26,56743",
05/01/2006,"2,563105","78,322977","29,45884","33,177481","15,14041"
05/01/2006,"1,321862","51,545646","17,989471","23,979481",
05/01/2006,"1,440143","39,465629","14,729414","16,893096","12,21001"
05/01/2006,"2,490426","96,365201","54,011562","13,560162",
05/01/2006,"3,006915","31,744743","10,184473","16,140329","13,18681"
05/01/2006,"4,560251","36,991004","11,13609","19,930114",
05/01/2006,"1,496739","26,175528","9,027303","12,342755","20,02442"
05/01/2006,"0,744705","43,352668","11,745975","25,360404",
05/01/2006,"2,010786","68,716305","19,014679","39,588972","21,48962"
05/01/2006,"2,331224","72,932743","20,020435","42,265181",
05/01/2006,"2,449099","88,081424","28,062287","45,085476","35,164822"
05/01/2006,"2,219255","95,034487","29,873331","49,26461",
