, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NOX,NO2,PM10



01/01/2007 1.00,0,"75,48520552","42,58188432",
01/01/2007 2.00,0,"115,1480012","50,0952604","100,61039734"
01/01/2007 3.00,0,"121,0829448","56,50155024",
01/01/2007 4.00,0,"93,43921056","50,40674432","90,84249115"
01/01/2007 5.00,0,"118,46954672","55,85521776",
01/01/2007 6.00,0,"124,39542744","55,002504","92,30769348"
01/01/2007 7.00,"0,02084647","144,21187344","60,61061032",
01/01/2007 8.00,"0,21267707","167,08794008","66,5756488","85,47006989"
01/01/2007 9.00,"0,01393697","125,18269344","63,24268864",
01/01/2007 10.00,0,"58,91374856","38,25087928","71,79486084"
01/01/2007 11.00,0,"32,32190112","23,51742792",
01/01/2007 12.00,0,"40,62772472","28,21962864","51,28205109"
01/01/2007 13.00,"0,00819804","57,69331896","37,87578312",
01/01/2007 14.00,"0,0428635","43,25538632","30,1093156","28,81562042"
01/01/2007 15.00,0,"13,56246417","10,73729297",
01/01/2007 16.00,0,"19,83981064","16,27661318","21,97801971"
01/01/2007 17.00,0,"50,70780784","39,612338",
01/01/2007 18.00,0,"70,45683672","54,44832992","19,53602028"
01/01/2007 19.00,0,"104,0458776","72,56273264",
01/01/2007 20.00,0,"101,06413272","69,21030832","35,65322113"
01/01/2007 21.00,0,"87,07106512","59,7021044",
01/01/2007 22.00,0,"70,02363488","49,49433792","42,49084091"
01/01/2007 23.00,0,"60,33782528","42,65325928",
02/01/2007 0.00,0,"58,77499472","38,96600552","37,6068306"
02/01/2007 1.00,,"21,93442576","16,1818621",
02/01/2007 2.00,0,,,"27,35042"
02/01/2007 3.00,0,"18,17709911","16,26492703",
02/01/2007 4.00,0,"11,19548465","10,45306078","17,09399986"
02/01/2007 5.00,0,"9,84533541","8,19087034",
02/01/2007 6.00,0,"27,7098512","19,02550131","8,30280876"
02/01/2007 7.00,0,"40,49153296","30,9607292",
02/01/2007 8.00,"0,06793255","64,04200024","43,02705528","10,7448101"
02/01/2007 9.00,0,"47,91282712","36,6856396",
02/01/2007 10.00,0,"45,54324728","32,97762152","11,72161007"
02/01/2007 11.00,0,"35,13762704","22,4895176",
02/01/2007 12.00,"0,00295337","46,012758","30,05222328","19,04759979"
02/01/2007 13.00,"0,20675203","69,92247096","48,5027556",
02/01/2007 14.00,"0,41081003","70,54243696","48,2548648","16,60560989"
02/01/2007 15.00,0,"32,4360284","23,40580536",
02/01/2007 16.00,"0,05021132","25,91614664","19,06703378","13,67521"
02/01/2007 17.00,"0,00590674","32,0287724","23,18647984",
02/01/2007 18.00,"0,08270041","32,2713096","25,04632048","12,21000957"
02/01/2007 19.00,0,"28,3505624","17,88337576",
02/01/2007 20.00,0,"38,14789896","24,90875208","11,72161007"
02/01/2007 21.00,0,"38,75230128","28,36627904",
02/01/2007 22.00,0,"33,30501328","25,19168984","12,69841003"
02/01/2007 23.00,0,"26,21573792","21,0164172",
03/01/2007 0.00,0,"15,52348976","9,35506228","15,14041042"
03/01/2007 1.00,0,"7,04646377","2,92280748",
