,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2007 1.00,"5,61817852","26,97107352",,"1,37389149","15,60396033","51,45027161","2,0924775"
01/01/2007 2.00,"3,40070867","35,15284656",,"1,57519068","13,38080216","51,45027161","1,884501"
01/01/2007 3.00,"2,55854012","29,33837808",,"1,43944022","15,81748917","51,45027161","2,474361"
01/01/2007 4.00,"2,32473793","18,07026229",,"1,30283931","24,20599335","51,45027161","1,632285"
01/01/2007 5.00,"2,28201579","20,12739456",,"1,26739418","24,7682043","51,45027161","1,284471"
01/01/2007 6.00,"2,1799456","19,95866056",,"1,27135984","23,23159545","51,45027161","1,3521015"
01/01/2007 7.00,"2,12711449","22,29613792",,"1,23882955","17,68790541","51,45027161","1,06352775"
01/01/2007 8.00,"2,13235407","20,66990544",,"1,24769054","20,27189325","51,45027161","1,195992"
01/01/2007 9.00,"2,04602704","20,77242688",,"1,38202436","19,86781398","51,45027161","1,231587"
01/01/2007 10.00,"2,27444016","32,8621176",,"1,73068672","15,67422822","51,45027161","1,56618"
01/01/2007 11.00,"2,31231731","29,20729136",,"1,64515009","21,4192776","51,45027161","2,8826865"
01/01/2007 12.00,"2,60780462","33,97568552",,"1,7803332","19,9799649","51,45027161","2,5425"
01/01/2007 13.00,"2,28959142","33,9575024",,"1,75965794","29,17801215","51,45027161","3,485259"
01/01/2007 14.00,"2,53832318","34,45460328",,"1,69358264","31,26466245","51,45027161","3,0921885"
01/01/2007 15.00,"2,04885227","16,75422886",,"1,31825575","40,44377715","51,45027161","2,657421"
01/01/2007 16.00,"2,04735219","17,69518716",,"1,30571336","36,2137188","51,45027161","1,304811"
01/01/2007 17.00,"1,96628814","15,46933427",,"1,29393871","39,9721392","51,45027161","1,4670225"
01/01/2007 18.00,"1,81332829","17,61861347",,"1,31012289","37,4192175","51,45027161","1,2626055"
01/01/2007 19.00,"1,71349957","23,63683232",,"1,35560332","38,5328265","51,45027161","1,5524505"
01/01/2007 20.00,"1,48422506","23,9470352",,"1,35495558","39,11395005","51,45027161","1,394307"
01/01/2007 21.00,"1,62867058","23,72509024",,"1,36604172","35,22038835","51,45027161","1,517364"
01/01/2007 22.00,"1,71566171","19,19422384",,"1,32525624","39,83562135","51,45027161","1,364814"
01/01/2007 23.00,"1,60173839","16,20133009",,"1,29636657","42,81559275","51,45027161","1,351593"
