,Regione Puglia,,,,,,
,ARNESANO,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2007 1.00,"1,48277583","8,47510443",,,,"110,90390015",
01/01/2007 2.00,"1,79965167","9,75870078",,,,"110,90390015",
01/01/2007 3.00,"1,61848024","8,06887135",,,,"110,90390015",
01/01/2007 4.00,"1,62603757","7,39138092",,,,"110,90390015",
01/01/2007 5.00,"1,41648065","9,84306395",,,,"110,90390015",
01/01/2007 6.00,"1,14119909","8,4738081",,,,"110,90390015",
01/01/2007 7.00,"1,08303076","9,17985042",,,,"110,90390015",
01/01/2007 8.00,"1,13008532","9,84825312",,,,"110,90390015",
01/01/2007 9.00,"1,10341449","13,37976492",,,,"110,90390015",
01/01/2007 10.00,"1,2424211","20,56348352",,,,"110,90390015",
01/01/2007 11.00,"2,22981521","24,56740272",,,,"110,90390015",
01/01/2007 12.00,"1,37736276","25,28252896",,,,"110,90390015",
01/01/2007 13.00,"1,30382756","16,11956914",,,,"110,90390015",
01/01/2007 14.00,"1,13605511","9,04876562",,,,"110,90390015",
01/01/2007 15.00,"0,95177165","8,78789234",,,,"110,90390015",
01/01/2007 16.00,"0,96510656","13,88982151",,,,"110,90390015",
01/01/2007 17.00,"0,98682459","22,61670384",,,,"110,90390015",
01/01/2007 18.00,"1,45966145","20,66730512",,,,"110,90390015",
01/01/2007 19.00,"0,99634982","16,34539355",,,,"110,90390015",
01/01/2007 20.00,"0,93716652","17,89376366",,,,"110,90390015",
01/01/2007 21.00,"0,95075567","20,0923476",,,,"110,90390015",
01/01/2007 22.00,"0,93786418","15,89373326",,,,"110,90390015",
01/01/2007 23.00,"1,01152752","14,50501325",,,,"110,90390015",
02/01/2007 0.00,"0,72310022","9,36284986",,,,"110,90390015",
02/01/2007 1.00,,"5,7327018",,,,"19,35610962",
02/01/2007 2.00,"1,25985045",,,,,"19,35610962",
02/01/2007 3.00,"1,56966526","6,8527667",,,,"19,35610962",
02/01/2007 4.00,"1,33434468","6,3154469",,,,"19,35610962",
02/01/2007 5.00,"1,36985934","5,65482795",,,,"19,35610962",
02/01/2007 6.00,"0,94902779","6,99293542",,,,"19,35610962",
02/01/2007 7.00,"1,3238289","17,82886464",,,,"19,35610962",
02/01/2007 8.00,"1,25733134","10,05980636",,,,"19,35610962",
02/01/2007 9.00,"1,30128506","7,23563705",,,,"19,35610962",
02/01/2007 10.00,"1,21721984","7,78463726",,,,"19,35610962",
02/01/2007 11.00,"1,19631337","8,00527632",,,,"19,35610962",
02/01/2007 12.00,"1,34788298","8,46082944",,,,"19,35610962",
02/01/2007 13.00,"1,25607229","10,51145709",,,,"19,35610962",
02/01/2007 14.00,"1,40776801","8,73597771",,,,"19,35610962",
02/01/2007 15.00,"1,09776404","8,25446728",,,,"19,35610962",
02/01/2007 16.00,"1,09965362","7,788532",,,,"19,35610962",
02/01/2007 17.00,"1,23422103","6,74114796",,,,"19,35610962",
02/01/2007 18.00,"1,24914551","7,83914838",,,,"19,35610962",
02/01/2007 19.00,"1,35669834","11,21361041",,,,"19,35610962",
02/01/2007 20.00,"1,3166499","12,50499624",,,,"19,35610962",
02/01/2007 21.00,"1,22313878","13,31097116",,,,"19,35610962",
02/01/2007 22.00,"1,17307696","12,04813722",,,,"19,35610962",
02/01/2007 23.00,"1,32363974","8,82553197",,,,"19,35610962",
03/01/2007 0.00,"1,27238192","8,45174362",,,,"19,35610962",
03/01/2007 1.00,"1,12597562","5,76644669",,,,"5,53100014",
03/01/2007 2.00,"1,04908838","5,43938188",,,,"5,53100014",
03/01/2007 3.00,"0,88731725","5,24210554",,,,"5,53100014",
03/01/2007 4.00,"0,82352795","3,1564252",,,,"5,53100014",
03/01/2007 5.00,"1,17742158","2,99289375",,,,"5,53100014",
03/01/2007 6.00,"0,82226891","3,24597946",,,,"5,53100014",
03/01/2007 7.00,"0,98857383","5,25119137",,,,"5,53100014",
03/01/2007 8.00,"0,96829689","7,2057869",,,,"5,53100014",
03/01/2007 9.00,"1,97539131","5,29142558",,,,"5,53100014",
03/01/2007 10.00,"0,75923525","6,79436083",,,,"5,53100014",
03/01/2007 11.00,"1,00242741","6,54516987",,,,"5,53100014",
03/01/2007 12.00,"0,94726533","9,22008273",,,,"5,53100014",
03/01/2007 13.00,"0,96174842","5,03833988",,,,"5,53100014",
03/01/2007 14.00,"1,03964249","4,82548839",,,,"5,53100014",
03/01/2007 15.00,"1,33226593","3,81444574",,,,"5,53100014",
03/01/2007 16.00,"0,97176079","4,13502122",,,,"5,53100014",
03/01/2007 17.00,"1,1097921","4,23236114",,,,"5,53100014",
03/01/2007 18.00,"1,14707023","4,24144696",,,,"5,53100014",
03/01/2007 19.00,"0,94594221","3,79238317",,,,"5,53100014",
03/01/2007 20.00,"0,93045228","3,60419074",,,,"5,53100014",
03/01/2007 21.00,"0,81156397","3,52761706",,,,"5,53100014",
03/01/2007 22.00,"1,12043399","3,48089351",,,,"5,53100014",
03/01/2007 23.00,"0,89059199","3,68206459",,,,"5,53100014",
04/01/2007 0.00,"0,86244346","3,64442496",,,,"5,53100014",
04/01/2007 1.00,,"3,6625947",,,,"39,77370071",
04/01/2007 2.00,"0,22532347",,,,,"39,77370071",
04/01/2007 3.00,"0,2997994","3,75474354",,,,"39,77370071",
04/01/2007 4.00,"0,18549368","3,28621176",,,,"39,77370071",
04/01/2007 5.00,"0,1592561","3,05648878",,,,"39,77370071",
04/01/2007 6.00,"0,28766048","3,27712785",,,,"39,77370071",
04/01/2007 7.00,"0,36795263","3,97927543",,,,"39,77370071",
04/01/2007 8.00,"0,31364483","6,790468",,,,"39,77370071",
04/01/2007 9.00,"0,35758432","8,35050895",,,,"39,77370071",
04/01/2007 10.00,"0,31206442","6,26093578",,,,"39,77370071",
04/01/2007 11.00,"0,66497054","6,33231838",,,,"39,77370071",
04/01/2007 12.00,"0,58512078","4,44131788",,,,"39,77370071",
04/01/2007 13.00,"0,69847865","4,25053087",,,,"39,77370071",
04/01/2007 14.00,"0,744504","4,59446717",,,,"39,77370071",
04/01/2007 15.00,"1,17757515","6,51272323",,,,"39,77370071",
04/01/2007 16.00,"0,55028548","6,64640262",,,,"39,77370071",
04/01/2007 17.00,"0,40146075","13,8158405",,,,"39,77370071",
04/01/2007 18.00,"0,46474561","25,51875656",,,,"39,77370071",
04/01/2007 19.00,"0,71662295","25,71473656",,,,"39,77370071",
04/01/2007 20.00,"0,73407263","25,64334248",,,,"39,77370071",
04/01/2007 21.00,"0,54213016","21,27600944",,,,"39,77370071",
04/01/2007 22.00,"0,65030336","24,0871848",,,,"39,77370071",
04/01/2007 23.00,"0,66497054","18,08454493",,,,"39,77370071",
05/01/2007 0.00,"0,66446509","20,53101776",,,,"39,77370071",
05/01/2007 1.00,"0,61053663","20,82045632",,,,"72,33876038",
05/01/2007 2.00,"0,41859415","21,07742912",,,,"72,33876038",
05/01/2007 3.00,"0,50331127","18,6205703",,,,"72,33876038",
05/01/2007 4.00,"0,36226252","19,0280959",,,,"72,33876038",
05/01/2007 5.00,"0,36611898","20,58422872",,,,"72,33876038",
05/01/2007 6.00,"0,26161308","21,9353244",,,,"72,33876038",
05/01/2007 7.00,"0,24359489","22,82436616",,,,"72,33876038",
05/01/2007 8.00,"0,50432318","26,50513824",,,,"72,33876038",
05/01/2007 9.00,"0,36833198","26,98145568",,,,"72,33876038",
05/01/2007 10.00,"0,36352767","31,99254",,,,"72,33876038",
05/01/2007 11.00,,,,,,"72,33876038",
05/01/2007 12.00,"0,52297394","37,61102848",,,,"72,33876038",
05/01/2007 13.00,"0,60876603","32,82967096",,,,"72,33876038",
05/01/2007 14.00,"0,57013732","33,66160128",,,,"72,33876038",
05/01/2007 15.00,"0,7366009","41,79666416",,,,"72,33876038",
05/01/2007 16.00,"0,56887319","30,44288312",,,,"72,33876038",
05/01/2007 17.00,"0,60275963","29,47726576",,,,"72,33876038",
05/01/2007 18.00,"0,62899721","26,13394256",,,,"72,33876038",
05/01/2007 19.00,"0,58366647","26,405198",,,,"72,33876038",
05/01/2007 20.00,"0,50748402","19,32919192",,,,"72,33876038",
05/01/2007 21.00,"0,42068002","18,68935068",,,,"72,33876038",
05/01/2007 22.00,"0,37585574","11,89239718",,,,"72,33876038",
05/01/2007 23.00,"0,34304325","7,74051021",,,,"72,33876038",
06/01/2007 0.00,"0,41220841","8,43487022",,,,"72,33876038",
06/01/2007 1.00,,"7,3563397",,,,"43,30498123",
06/01/2007 2.00,"0,74636918",,,,,"43,30498123",
06/01/2007 3.00,"0,78078243","8,80476382",,,,"43,30498123",
06/01/2007 4.00,"0,65140376","5,51985031",,,,"43,30498123",
06/01/2007 5.00,"0,70424606","6,21161574",,,,"43,30498123",
06/01/2007 6.00,"0,6316587","5,73400005",,,,"43,30498123",
06/01/2007 7.00,"0,61755494","7,4160419",,,,"43,30498123",
06/01/2007 8.00,"0,63861701","12,15067014",,,,"43,30498123",
06/01/2007 9.00,"0,59160416","13,1305644",,,,"43,30498123",
06/01/2007 10.00,"0,685817","9,69510574",,,,"43,30498123",
06/01/2007 11.00,"0,74392431","9,40178582",,,,"43,30498123",
06/01/2007 12.00,"0,84283875","8,84240346",,,,"43,30498123",
06/01/2007 13.00,"0,99440633","7,0149999",,,,"43,30498123",
06/01/2007 14.00,"0,87969585","3,64182846",,,,"43,30498123",
06/01/2007 15.00,"0,94570118","3,73267906",,,,"43,30498123",
06/01/2007 16.00,"0,89887748","4,95268037",,,,"43,30498123",
06/01/2007 17.00,"1,06962568","9,691211",,,,"43,30498123",
06/01/2007 18.00,"1,05721421","23,76791904",,,,"43,30498123",
06/01/2007 19.00,"1,27177884","25,30071208",,,,"43,30498123",
06/01/2007 20.00,"1,24770848","21,54596472",,,,"43,30498123",
06/01/2007 21.00,"1,16459111","20,66860528",,,,"43,30498123",
06/01/2007 22.00,"0,96657511","20,43887848",,,,"43,30498123",
06/01/2007 23.00,"1,05815494","14,29865682",,,,"43,30498123",
07/01/2007 0.00,"1,06943754","12,53614272",,,,"43,30498123",
07/01/2007 1.00,"1,10610751","15,02416522",,,,"71,95401001",
07/01/2007 2.00,"0,98951659","14,00014391",,,,"71,95401001",
07/01/2007 3.00,"0,76799467","10,72950157",,,,"71,95401001",
07/01/2007 4.00,"0,87856799","9,23695613",,,,"71,95401001",
07/01/2007 5.00,"0,72173439","9,14740187",,,,"71,95401001",
07/01/2007 6.00,"0,70462235","9,6938075",,,,"71,95401001",
07/01/2007 7.00,"0,80278421","8,90729674",,,,"71,95401001",
07/01/2007 8.00,"0,60439191","8,56725518",,,,"71,95401001",
07/01/2007 9.00,"0,83494073","12,86969686",,,,"71,95401001",
07/01/2007 10.00,"0,86032708","23,8457948",,,,"71,95401001",
07/01/2007 11.00,"0,95284764","22,13908624",,,,"71,95401001",
07/01/2007 12.00,"0,96413024","23,01386448",,,,"71,95401001",
07/01/2007 13.00,"1,2048338","12,06501254",,,,"71,95401001",
07/01/2007 14.00,"1,25729879","7,92870072",,,,"71,95401001",
07/01/2007 15.00,"0,96300239","8,5477872",,,,"71,95401001",
07/01/2007 16.00,"1,29434505","13,5991",,,,"71,95401001",
07/01/2007 17.00,"1,10986837","22,03136416",,,,"71,95401001",
07/01/2007 18.00,"1,68567547","29,20471016",,,,"71,95401001",
07/01/2007 19.00,"1,21555196","25,21505448",,,,"71,95401001",
07/01/2007 20.00,"1,17869486","22,53752792",,,,"71,95401001",
07/01/2007 21.00,"1,32762943","22,35713072",,,,"71,95401001",
07/01/2007 22.00,"1,44064762","18,37007727",,,,"71,95401001",
07/01/2007 23.00,"1,4041658","18,6127789",,,,"71,95401001",
08/01/2007 0.00,"1,15688123","24,57260336",,,,"71,95401001",
08/01/2007 1.00,,"23,17609768",,,,"84,4154129",
08/01/2007 2.00,"0,78615117",,,,,"84,4154129",
08/01/2007 3.00,"0,8632296","17,90413626",,,,"84,4154129",
08/01/2007 4.00,"0,71551645","14,07412493",,,,"84,4154129",
08/01/2007 5.00,"0,68250158","16,12995513",,,,"84,4154129",
08/01/2007 6.00,"0,72161235","17,14099396",,,,"84,4154129",
08/01/2007 7.00,"0,67097795","14,83338204",,,,"84,4154129",
08/01/2007 8.00,"0,80618302","14,8190994",,,,"84,4154129",
08/01/2007 9.00,"0,94541947","19,9391964",,,,"84,4154129",
08/01/2007 10.00,"1,29230393","28,16381736",,,,"84,4154129",
08/01/2007 11.00,"1,32741484","34,21579448",,,,"84,4154129",
08/01/2007 12.00,"0,90989566","21,3629672",,,,"84,4154129",
08/01/2007 13.00,"0,69253327","9,85084962",,,,"84,4154129",
08/01/2007 14.00,"0,96745074","13,1578257",,,,"84,4154129",
08/01/2007 15.00,"0,69234207","18,05729319",,,,"84,4154129",
08/01/2007 16.00,"0,91529288","27,37081536",,,,"84,4154129",
08/01/2007 17.00,"1,31658989","22,198798",,,,"84,4154129",
08/01/2007 18.00,"1,38678018","23,28121944",,,,"84,4154129",
08/01/2007 19.00,"1,6073807","34,31053408",,,,"84,4154129",
08/01/2007 20.00,"1,49100031","34,92702024",,,,"84,4154129",
08/01/2007 21.00,"1,16646442","30,00289368",,,,"84,4154129",
08/01/2007 22.00,"0,97370428","22,30001928",,,,"84,4154129",
08/01/2007 23.00,"1,09341738","29,78874968",,,,"84,4154129",
09/01/2007 0.00,"0,76862724","22,51936392",,,,"84,4154129",
09/01/2007 1.00,"0,70840559","19,06574126",,,,"67,49436951",
09/01/2007 2.00,"0,79491263","16,48945702",,,,"67,49436951",
09/01/2007 3.00,"0,59643897","14,02998832",,,,"67,49436951",
09/01/2007 4.00,"0,86875293","10,97609794",,,,"67,49436951",
09/01/2007 5.00,"0,6985651","10,31677916",,,,"67,49436951",
09/01/2007 6.00,"0,57716886","9,84565854",,,,"67,49436951",
09/01/2007 7.00,"0,81802395","13,92097755",,,,"67,49436951",
09/01/2007 8.00,"0,98884741","19,69650624",,,,"67,49436951",
09/01/2007 9.00,"1,54023836","20,2883276",,,,"67,49436951",
09/01/2007 10.00,"0,90186441","27,95225456",,,,"67,49436951",
09/01/2007 11.00,"0,94859353","36,34040888",,,,"67,49436951",
09/01/2007 12.00,"0,53190015","12,27007645",,,,"67,49436951",
09/01/2007 13.00,"0,58440685","8,44525429",,,,"67,49436951",
09/01/2007 14.00,"0,51510643","9,16687177",,,,"67,49436951",
09/01/2007 15.00,"0,61485074","13,7665281",,,,"67,49436951",
09/01/2007 16.00,"0,7724054","10,11561573",,,,"67,49436951",
09/01/2007 17.00,"0,78259574","18,34801662",,,,"67,49436951",
09/01/2007 18.00,"0,99208553","22,3272844",,,,"67,49436951",
09/01/2007 19.00,"0,68913649","19,14489424",,,,"67,49436951",
09/01/2007 20.00,"1,24087628","28,92437272",,,,"67,49436951",
09/01/2007 21.00,"1,49208036","26,77379336",,,,"67,49436951",
09/01/2007 22.00,"1,48112829","25,11769544",,,,"67,49436951",
09/01/2007 23.00,"0,99830754","21,78865488",,,,"67,49436951",
10/01/2007 0.00,"0,83980097","18,47261018",,,,"67,49436951",
10/01/2007 1.00,,"16,32592557",,,,"53,69678116",
10/01/2007 2.00,"1,50514271",,,,,"53,69678116",
10/01/2007 3.00,"1,31428334","11,13054548",,,,"53,69678116",
10/01/2007 4.00,"1,17287152","8,76193502",,,,"53,69678116",
