NetC,Provincia di TARANTO,,,,
Stat,TA V.Archimede,,,,
Parm,SO2,NOX,NO2,CO,PM10
PtId,1,2,4,6,8
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver,Aver
01/01/2007 1.00,"0,095197","46,726085","29,997712","0,241344",
01/01/2007 2.00,"0,020532","36,428112","27,739411","0,247359",
01/01/2007 3.00,"0,029865","63,07055","42,767462","0,442086",
01/01/2007 4.00,"0,018666","49,471795","37,647375","0,255423",
01/01/2007 5.00,"0,0168","33,552731","26,654389","0,153795",
01/01/2007 6.00,"0,007467","29,536001","23,18776","0,070044",
01/01/2007 7.00,"0,007467","34,948242","27,216363","0,059917",
01/01/2007 8.00,"0,013066","27,266285","20,781508","0,095406",
01/01/2007 9.00,"0,037332","47,25397","30,440281","0,119121",
01/01/2007 10.00,"0,014933","34,231012","22,26369","0,164633",
01/01/2007 11.00,"0,027999","25,067925","15,819753","0,156416",
01/01/2007 12.00,"0,029865","42,829983","28,837414","0,302247",
01/01/2007 13.00,"0,024266","37,385279","26,877633","0,299153",
01/01/2007 14.00,"0,0056","26,703393","19,094295","0,169351",
01/01/2007 15.00,"0,001866","18,904702","12,676309","0,051724",
01/01/2007 16.00,"0,022399","15,197948","9,364147","0,007073",
01/01/2007 17.00,"0,011199","16,208292","10,353122","0,016269",
01/01/2007 18.00,"0,001866","17,634964","11,763906","0,028144",
01/01/2007 19.00,"0,0056","25,233926","19,078721","0,070127",
01/01/2007 20.00,"0,018666","25,565963","19,468079","0,039837",
01/01/2007 21.00,"0,0056","35,304944","28,864659","0,069559",
01/01/2007 22.00,"0,003733","32,342626","25,97689","0,010855",
01/01/2007 23.00,"0,026133","39,444885","32,937372","0,029645",
02/01/2007 0.00,"0,022399","37,700451","30,956826","0,081146",
02/01/2007 1.00,"0,041065","44,363006","37,53445","0,132452",
02/01/2007 2.00,"0,011199","37,81978","30,436381","0,00093",
02/01/2007 3.00,,"31,456817","25,668007","0,01974",
02/01/2007 4.00,"0,366194","34,428179","28,457136","0,016148",
02/01/2007 5.00,"0,252492","28,843418","23,054092","0,073405",
02/01/2007 6.00,"0,215995","29,827811","21,751025","0,041368",
02/01/2007 7.00,"0,242998","55,173263","40,378093","0,175392",
02/01/2007 8.00,"0,299488","58,955276","51,226991","0,084497",
02/01/2007 9.00,"0,23055","77,013043","55,619006","0,071323",
02/01/2007 10.00,"0,233818","37,839225","30,018475","0,076357",
02/01/2007 11.00,"0,29188","27,844743","20,872366","0,048069",
02/01/2007 12.00,"0,240546","28,276625","20,964525","0,057112",
02/01/2007 13.00,"0,18679","19,733465","12,813883","0,01597",
02/01/2007 14.00,"0,223005","17,895657","11,321328","0,008827",
02/01/2007 15.00,"0,209519","20,660803","13,65491","0,004986",
02/01/2007 16.00,"0,195153","18,389803","11,490059","0,019507",
02/01/2007 17.00,"0,269719","29,31421","21,953487","0,017748",
02/01/2007 18.00,"0,213794","67,836955","52,09527","1,684537",
02/01/2007 19.00,"0,30084","58,419609","44,942706","1,726625",
02/01/2007 20.00,"0,40967","37,94169","28,780302","0,701781",
02/01/2007 21.00,"0,39785","31,913344","25,008673","0,182846",
02/01/2007 22.00,"0,291912","43,444751","36,166491","0,226588",
02/01/2007 23.00,"0,257333","57,682934","48,566366","0,443075",
03/01/2007 0.00,"0,253026","38,341162","31,226784","0,303894",
03/01/2007 1.00,"0,250794","24,979724","17,661436","0,565571",
03/01/2007 2.00,"0,193267","32,267428","23,58362","1,050292",
03/01/2007 3.00,"0,313225","41,053125","30,81926","2,296748",
03/01/2007 4.00,"0,360253","66,157361","43,522837","1,857634",
03/01/2007 5.00,"0,44274","72,568313","47,748698","1,144578",
03/01/2007 6.00,"0,443212","63,769637","44,062746","1,850866",
03/01/2007 7.00,"0,690925","97,200439","56,105708","1,284746",
03/01/2007 8.00,"0,648582","77,219273","48,357405","1,296053",
03/01/2007 9.00,"0,659018","84,436922","47,177642","1,099809",
