NetC,Provincia di TARANTO,,,,
Stat,MANDURIA,,,,
Parm,NOX,NO2,CO,O3,Benzene
PtId,1,3,5,6,7
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
01/01/2007 1.00,"258,318089","57,851346","3,442449","19,109267",
01/01/2007 2.00,"441,328978","67,533464","5,646555","26,153373",
01/01/2007 3.00,"310,912996","55,842234","5,257883","22,355073",
01/01/2007 4.00,"145,821431","44,280791","3,05841","16,933206",
01/01/2007 5.00,"111,449027","41,19704","2,281974","15,818774",
01/01/2007 6.00,"140,330033","40,17691","1,994338","15,244627",
01/01/2007 7.00,"108,385563","40,576653","1,660859","16,899355",
01/01/2007 8.00,"156,666712","39,001031","1,64737","17,742963",
01/01/2007 9.00,"145,048445","32,695984","1,633882","17,699641",
01/01/2007 10.00,"142,973256","55,606024","2,435391","23,740341",
01/01/2007 11.00,"72,020986","41,866737","1,395069","18,397011",
01/01/2007 12.00,"40,367002","28,976282","0,687397","24,839884",
01/01/2007 13.00,"45,207347","32,311806","0,705437","33,946301",
01/01/2007 14.00,"45,212529","33,22551","0,626742","38,730393",
01/01/2007 15.00,"17,43912","17,591353","0,408036","44,21321",
01/01/2007 16.00,"9,994486","11,182463","0,309979","47,5687",
01/01/2007 17.00,"15,952788","14,466075","0,35549","48,888973",
01/01/2007 18.00,"25,5504","21,373348","0,417801","46,459678",
01/01/2007 19.00,"30,24543","24,423333","0,428641","44,417677",
01/01/2007 20.00,"29,638446","25,004791","0,44908","46,371661",
01/01/2007 21.00,"36,20374","28,257256","0,540931","40,279508",
01/01/2007 22.00,"43,49014","34,54156","0,719752","36,712767",
01/01/2007 23.00,"56,252377","42,541634","0,930266","30,82235",
02/01/2007 0.00,"11,13323","12,815186","0,3046","45,259945",
02/01/2007 1.00,"4,22295","6,660679","0,179732","54,184919",
02/01/2007 2.00,,,"0,184531","54,806443",
02/01/2007 3.00,"4,088064","6,852764",,"48,551797",
02/01/2007 4.00,"2,894848","6,328425","0,221918",,
02/01/2007 5.00,"1,748321","5,11102","0,15695","53,060996",
02/01/2007 6.00,"2,251548","5,142169","0,181065","54,141567",
02/01/2007 7.00,"5,678154","7,112339","0,180318","51,991255",
02/01/2007 8.00,"10,635192","11,330422","0,250754","50,494944",
02/01/2007 9.00,"26,139218","21,749725","0,435631","45,429203",
02/01/2007 10.00,"51,48211","37,002323","0,533332","38,288956",
02/01/2007 11.00,"36,050703","27,922408","0,442344","45,830019",
02/01/2007 12.00,"23,737211","19,447295","0,372983","49,786739",
02/01/2007 13.00,"21,335224","17,00991","0,320281","52,083325",
02/01/2007 14.00,"17,67517","15,603013","0,269317","57,020433",
02/01/2007 15.00,"11,384843","11,862541","0,267494","55,30477",
02/01/2007 16.00,"9,574267","10,294716","0,313568","52,1253",
02/01/2007 17.00,"9,179986","9,36804","0,380608","57,326463",
02/01/2007 18.00,"18,398882","16,407696","0,638572","58,733399",
02/01/2007 19.00,"27,353186","23,989863","0,803725","54,952694",
02/01/2007 20.00,"41,261914","33,220328","0,952969","48,448894",
02/01/2007 21.00,"65,787731","50,432689","1,397716","39,530686",
02/01/2007 22.00,"64,542638","51,175078","1,458872","36,517776",
02/01/2007 23.00,"42,328045","37,695385","1,083899","37,594297",
03/01/2007 0.00,"17,846372","19,304526","0,613712","45,823254",
03/01/2007 1.00,"5,133425","8,103914","0,354753","56,626378",
03/01/2007 2.00,"2,944132","6,445233","0,358234","61,204645",
03/01/2007 3.00,"6,689795","10,071489","0,464635","58,402985",
03/01/2007 4.00,"3,330631","6,634722","0,389972","59,767946",
03/01/2007 5.00,0,"0,498382","0,267411","63,957564",
03/01/2007 6.00,0,"0,516554","0,226143","62,707718",
03/01/2007 7.00,"1,737947","3,898809","0,249346","56,225566",
03/01/2007 8.00,"13,278427","11,56404","0,394612","52,740058",
03/01/2007 9.00,"31,200017","23,512246","0,443752","44,247065",
03/01/2007 10.00,"30,75905","23,216326","0,597139","42,436604",
03/01/2007 11.00,"32,561838","24,825694","0,662355","41,184063",
03/01/2007 12.00,"47,046443","28,581722","0,691855","40,896983",
03/01/2007 13.00,"45,931057","29,921135","0,678846","44,10893",
03/01/2007 14.00,"41,923391","27,156671","0,666002","46,49625",
03/01/2007 15.00,"19,947455","16,960588","0,51452","53,597231",
03/01/2007 16.00,"19,659527","14,37523","0,56565","60,260832",
03/01/2007 17.00,"33,646112","21,347384","0,754338","56,229633",
03/01/2007 18.00,"43,822178","28,109305","0,844994","51,645941",
03/01/2007 19.00,"55,142173","32,805006","0,867865","48,312118",
03/01/2007 20.00,"64,311785","36,270313","0,923552","46,394682",
03/01/2007 21.00,"60,550533","35,730404","0,935152","43,747398",
03/01/2007 22.00,"64,903202","39,008831","1,002772","41,35603",
03/01/2007 23.00,"29,539883","21,921041","0,685806","45,783973",
04/01/2007 0.00,"19,571346","14,577689","0,530845","48,520656",
04/01/2007 1.00,"8,489995","7,60034","0,421959","52,679133",
04/01/2007 2.00,,,"0,356742","54,943219",
04/01/2007 3.00,"2,04922","3,859871",,"56,283777",
04/01/2007 4.00,"0,163419","2,014298","0,28393",,
04/01/2007 5.00,0,"1,425063","0,25128","59,073268",
04/01/2007 6.00,"1,081678","3,400425","0,284757","55,085403",
04/01/2007 7.00,"16,876235","15,792504","0,384608","47,59308",
04/01/2007 8.00,"50,166939","38,416991","0,884689","33,361326",
04/01/2007 9.00,"53,547012","39,448248","0,810918","30,536428",
04/01/2007 10.00,"64,711239","42,380702","0,987929","31,483175",
04/01/2007 11.00,"56,413196","37,747295","0,866258","35,002515",
04/01/2007 12.00,"81,922105","44,003055","0,891137","38,616637",
04/01/2007 13.00,"85,091896","46,931034","0,944204","39,01476",
04/01/2007 14.00,"57,147288","38,147037","0,699894","35,086464","0,596822"
04/01/2007 15.00,"38,206273","29,967846","0,674655","40,003261","2,238523"
04/01/2007 16.00,"52,981404","37,08538","0,916678","40,766987","2,370123"
04/01/2007 17.00,"74,342557","48,921978","1,221852","36,998493","3,04573"
04/01/2007 18.00,"135,443035","73,03643","1,967262","33,013322","5,755197"
04/01/2007 19.00,"174,871075","84,571929","2,643818","35,093226","8,603745"
04/01/2007 20.00,"233,753663","91,211844","3,586451","42,026312","12,655619"
04/01/2007 21.00,"243,480761","97,54546","3,433699","36,838691","14,968958"
04/01/2007 22.00,"336,339158","96,102241","4,105048","36,59225","16,47245"
04/01/2007 23.00,"136,740001","67,806022","2,602159","29,048478","13,687294"
05/01/2007 0.00,"212,581697","76,179891","2,872286","26,783035","10,089198"
05/01/2007 1.00,"173,242071","63,899421","2,121503","18,108584","9,023633"
05/01/2007 2.00,"40,888407","30,357224","0,848154","21,950186","3,630228"
05/01/2007 3.00,"20,42993","20,763345","0,717142","25,095804","1,429116"
05/01/2007 4.00,"19,573927","20,306491","0,719952","22,723389","1,459045"
05/01/2007 5.00,"18,572676","20,610194","0,786244","21,671245","1,532548"
05/01/2007 6.00,"21,319659","20,0573","0,687137","23,935331","1,787826"
05/01/2007 7.00,"32,663002","24,724454","0,495039","27,859557","0,81909"
05/01/2007 8.00,"124,493993","57,700793","1,137954","19,132292","1,084931"
05/01/2007 9.00,"217,211797","65,26478","2,595959","23,395025","3,647393"
05/01/2007 10.00,"241,890939","72,532865","2,927667","22,011134","8,348907"
05/01/2007 11.00,"192,678544","68,140869","2,319882","20,977943","6,179925"
05/01/2007 12.00,"199,785833","71,131162","1,848152","21,082203","5,348952"
05/01/2007 13.00,"166,832439","69,750238","1,82757","21,791764","4,707677"
05/01/2007 14.00,"128,748074","64,187559","1,666304","25,344959","5,923768"
05/01/2007 15.00,"98,160225","59,805944","1,225737","25,944834","5,366118"
05/01/2007 16.00,"88,417343","54,68972","1,204328","24,838528","4,016666"
05/01/2007 17.00,"113,965142","61,160921","1,306494","23,598158","3,720455"
05/01/2007 18.00,"140,104381","67,987737","1,68391","24,693631","4,680829"
05/01/2007 19.00,"132,483338","66,596413","1,917999","25,634752","6,795234"
