NetC,Provincia di TARANTO,,,,
Stat,Talsano,,,,
Parm,SO2,NOX,NO,NO2,PM10
PtId,1,2,3,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver,Aver
01/01/2007 1.00,"0,171493","22,317035","8,622969","9,101976",
01/01/2007 2.00,"0,099286","24,930433","9,625346","10,179205","87,423691"
01/01/2007 3.00,0,"22,372808","9,061985","8,48419",
01/01/2007 4.00,"0,050545","22,385772","8,199179","9,820999","87,423691"
01/01/2007 5.00,"0,00361","20,464958","7,402355","9,121446",
01/01/2007 6.00,"0,014441","21,900697","9,481545","7,36802","80,097672"
01/01/2007 7.00,0,"18,035729","6,883825","7,486126",
01/01/2007 8.00,"0,005416","16,755615","6,443965","6,88002","72,77166"
01/01/2007 9.00,"0,176908","23,64903","8,444488","10,708741",
01/01/2007 10.00,"0,039714","34,197323","11,418624","16,701012","49,328442"
01/01/2007 11.00,"0,138999","31,240205","10,860336","14,598462",
01/01/2007 12.00,"0,092065","13,283614","3,9689","7,20319","68,37606"
01/01/2007 13.00,"0,081234","13,421094","3,967208","7,343361",
01/01/2007 14.00,"0,160662","12,925649","3,76335","7,160362","49,816841"
01/01/2007 15.00,"0,014441","9,754546","3,159388","4,913744",
01/01/2007 16.00,"0,119143","10,199408","3,183072","5,322574","40,04884"
01/01/2007 17.00,"0,189544","12,233064","3,266815","7,229148",
01/01/2007 18.00,"0,214817","13,502802","3,171229","8,646425","37,118431"
01/01/2007 19.00,"0,083039","17,781523","3,913072","11,789864",
01/01/2007 20.00,"0,214817","18,557114","4,525494","11,626333","31,746031"
01/01/2007 21.00,"0,263558","17,506563","5,197129","9,544551",
01/01/2007 22.00,"0,624595","33,423002","19,316654","3,815744","45,909641"
01/01/2007 23.00,"0,258142","39,503239","23,996109","2,721638",
02/01/2007 0.00,"0,259947","15,112348","6,344997","5,387467","40,537231"
02/01/2007 1.00,,"21,223678","4,387614","14,506315",
02/01/2007 2.00,"0,774425","10,12159","4,520419","3,207041","21,001221"
02/01/2007 3.00,"0,277999","11,751888","5,702968","3,053894",
02/01/2007 4.00,"0,449492","14,007325","5,028797","6,318041","15,62881"
02/01/2007 5.00,"0,433245","10,541809","5,497418","2,122022",
02/01/2007 6.00,"0,527114","11,28757","4,340246","4,635999","19,0476"
02/01/2007 7.00,"1,355696","19,797019","4,064487","13,574443",
02/01/2007 8.00,"0,444076","14,99173","4,87992","7,51468","10,74481"
02/01/2007 9.00,"0,989242","13,832236","3,800569","8,010468",
02/01/2007 10.00,"0,249116","11,473038","3,401311","6,262234","8,791209"
02/01/2007 11.00,"0,521699","12,046299","3,494358","6,693126",
02/01/2007 12.00,"0,265363","11,508056","3,688066","5,857297","17,582411"
02/01/2007 13.00,"0,321323","12,823187","4,377464","6,115574",
02/01/2007 14.00,"0,379089","11,506758","3,462214","6,20253","27,35042"
02/01/2007 15.00,"0,667919","10,738951","3,300649","5,682085",
02/01/2007 16.00,"1,400825","10,412111","3,165309","5,562681","22,954821"
02/01/2007 17.00,"1,579538","13,474269","3,202528","8,56985",
02/01/2007 18.00,"1,89003","15,559805","3,279504","10,538718","22,46641"
02/01/2007 19.00,"2,200522","14,375666","3,556954","8,928061",
02/01/2007 20.00,"2,066938","17,719268","3,450372","12,437506","16,11721"
02/01/2007 21.00,"2,89913","21,857907","4,053488","15,653628",
02/01/2007 22.00,"3,386531","27,467314","4,618542","20,399949","9,76801"
02/01/2007 23.00,"2,704169","24,747569","5,390836","16,493354",
03/01/2007 0.00,"2,113874","14,509255","3,435147","9,248636","6,837607"
03/01/2007 1.00,"1,877394","10,151419","3,158541","5,31219",
03/01/2007 2.00,"1,361111","9,620958","3,184763","4,741127","12,21001"
03/01/2007 3.00,"0,740127","9,600207","3,414844","4,367339",
03/01/2007 4.00,"1,944186","10,35764","3,233825","5,403041","9,27961"
03/01/2007 5.00,"1,754641","12,222689","3,480825","6,890404",
03/01/2007 6.00,"1,514552","11,702602","3,23298","6,750234","9,76801"
03/01/2007 7.00,"2,195107","15,33024","3,397082","10,128594",
03/01/2007 8.00,"1,514552","12,720727","3,226212","7,779446","7,326007"
03/01/2007 9.00,"1,718538","17,029276","4,152458","10,669803",
03/01/2007 10.00,"1,895446","22,999236","4,56948","16,004057","10,25641"
03/01/2007 11.00,"2,931623","24,886343","5,048251","17,15787",
03/01/2007 12.00,"2,023614","20,167947","4,953513","12,581569","12,69841"
03/01/2007 13.00,"1,175177","13,603968","4,018808","7,44719",
03/01/2007 14.00,"0,472959","8,639148","3,582331","3,148638","10,74481"
03/01/2007 15.00,"0,268973","9,557405","3,48167","4,221977",
03/01/2007 16.00,"0,277999","9,789564","3,891079","3,826128","14,16361"
03/01/2007 17.00,"0,207596","11,998312","3,584021","6,507532",
03/01/2007 18.00,"0,249116","13,115006","3,406386","7,897552","10,25641"
03/01/2007 19.00,"0,245506","17,352223","3,603478","11,835291",
03/01/2007 20.00,"0,296051","17,921593","3,641543","12,346649","16,60561"
03/01/2007 21.00,"0,283414","14,605232","3,216907","9,679531",
03/01/2007 22.00,"0,220232","12,102071","3,476595","6,776191","14,65201"
03/01/2007 23.00,"1,214891","22,453208","3,624625","16,907377",
04/01/2007 0.00,"0,243701","12,229172","3,259202","7,236935","12,69841"
04/01/2007 1.00,,"11,447098","3,501971","6,081829",
04/01/2007 2.00,"1,825044","14,819233","3,471518","9,50302","7,814408"
04/01/2007 3.00,"1,658967","15,008589","3,471518","9,692509",
04/01/2007 4.00,"1,796161","18,625853","3,880928","12,684102","8,302809"
04/01/2007 5.00,"1,929744","17,513048","3,440222","12,246711",
04/01/2007 6.00,"2,911767","22,542709","3,699062","16,882711","15,62881"
04/01/2007 7.00,"1,828654","17,850261","3,520581","12,460869",
04/01/2007 8.00,"2,781793","33,659077","5,330779","25,503173","12,21001"
04/01/2007 9.00,"5,978779","72,768044","22,520034","38,265162",
04/01/2007 10.00,"4,341474","53,67917","16,153039","28,932153","40,04884"
04/01/2007 11.00,"1,655357","131,240842","74,215555","17,478435",
04/01/2007 12.00,"1,772693","25,571145","6,3856","15,791202","31,25762"
04/01/2007 13.00,"0,272583","13,23433","3,941832","7,195403",
04/01/2007 14.00,"0,518088","17,051325","4,165991","10,671105","18,55921"
04/01/2007 15.00,"0,342985","16,352257","4,07379","10,113021",
04/01/2007 16.00,"1,438734","21,282051","4,060257","15,066997","17,094"
04/01/2007 17.00,"1,727564","24,315667","4,088171","18,059887",
04/01/2007 18.00,"1,429708","23,025184","4,890071","15,538116","12,21001"
04/01/2007 19.00,"0,229258","18,53247","5,72327","9,763891",
04/01/2007 20.00,"1,184203","34,420397","14,608455","12,029971","31,25762"
04/01/2007 21.00,"1,427903","38,815855","20,092336","8,01436",
04/01/2007 22.00,"0,496426","28,289607","12,03865","9,837871","28,327221"
04/01/2007 23.00,"0,296051","30,113138","14,845298","7,356339",
05/01/2007 0.00,"0,276194","25,55168","13,343013","5,096744","35,653221"
05/01/2007 1.00,"0,265363","19,039588","6,141138","9,630213",
05/01/2007 2.00,"0,24009","14,755679","5,655599","6,088318","41,025631"
05/01/2007 3.00,"0,252727","16,353553","5,601463","7,77036",
05/01/2007 4.00,"0,272583","16,340583","4,903605","8,828126",
05/01/2007 5.00,"0,180519","12,467817","5,041486","4,741127",
05/01/2007 6.00,"0,19496","11,749293","5,516028","3,293999",
05/01/2007 7.00,"0,205791","12,968449","5,714811","4,209",
05/01/2007 8.00,"0,229258","14,231702","6,530245","4,221977",
05/01/2007 9.00,"0,223843","16,040982","7,750015","4,160978",
05/01/2007 10.00,"0,303271","18,488374","8,048613","6,151915",
05/01/2007 11.00,"2,875662","34,189522","10,474608","18,14165",
05/01/2007 12.00,"2,967727","34,01056","6,747639","23,68096",
05/01/2007 13.00,"2,687923","38,717273","7,920039","26,592095",
05/01/2007 14.00,"3,763814","40,530421","7,98517","28,306567",
05/01/2007 15.00,"2,276341","27,926441","5,033027","20,223434",
05/01/2007 16.00,"0,319518","17,454685","4,089862","11,191546",
05/01/2007 17.00,"0,705828","20,084947","3,938449","14,055947",
05/01/2007 18.00,"0,335765","23,384448","4,071253","17,153973",
05/01/2007 19.00,"0,741932","20,489603","4,157533","14,124739",
05/01/2007 20.00,"0,696802","20,90074","4,034034","14,72565",
05/01/2007 21.00,,,,,
05/01/2007 22.00,"33,428435","34,35556","9,534836","22,641367",
05/01/2007 23.00,"6,347037","20,13812","4,16853","13,756142",
06/01/2007 0.00,0,"13,069613","5,264799","5,000702",
06/01/2007 1.00,,"27,096385","5,082934","19,316209",
06/01/2007 2.00,"1,812408","30,71104","5,076168","22,94377",
06/01/2007 3.00,"1,686045","28,938081","4,771648","21,636822",
06/01/2007 4.00,"1,538019","24,179496","4,548333","17,217569",
06/01/2007 5.00,"2,31786","26,331165","4,516189","19,42005",
06/01/2007 6.00,"1,130047","20,838487","4,451902","14,022206",
06/01/2007 7.00,"0,843022","17,479327","4,81225","10,107828",
06/01/2007 8.00,"0,382699","15,825685","5,413676","7,530253",
06/01/2007 9.00,"1,649941","26,60613","5,461044","18,245483",
06/01/2007 10.00,"2,390067","26,009527","5,513489","17,567998",
06/01/2007 11.00,"2,541703","28,816173","6,693501","18,566059",
06/01/2007 12.00,"0,449492","12,401671","4,166838","6,016936",
06/01/2007 13.00,"0,220232","9,672836","3,978206","3,575637",
06/01/2007 14.00,"0,489205","11,152684","4,032343","4,973447",
06/01/2007 15.00,"0,241895","10,199408","3,548494","4,761893",
06/01/2007 16.00,"0,218427","12,096881","3,961288","6,02732",
06/01/2007 17.00,"0,852048","21,947388","4,863849","14,499826",
06/01/2007 18.00,"2,344938","26,836985","5,758798","18,01965",
06/01/2007 19.00,"0,402557","15,982618","4,991578","8,334935",
06/01/2007 20.00,"0,205791","14,34065","6,617372","4,197318",
06/01/2007 21.00,"0,238285","16,967021","7,365136","5,67819",
06/01/2007 22.00,"1,767277","50,17474","29,594189","4,803424",
06/01/2007 23.00,"0,859268","48,526291","28,618874","4,674935",
07/01/2007 0.00,"0,140805","20,363794","9,711626","5,47702",
07/01/2007 1.00,"0,19857","21,952588","13,013966","2,005212",
07/01/2007 2.00,"0,176908","17,532504","10,734294","1,07853",
07/01/2007 3.00,"0,045129","11,80247","7,269551","0,735894",
07/01/2007 4.00,"0,059571","9,545732","5,818855","0,65802",
07/01/2007 5.00,"0,066791","9,191659","5,458507","1,014935",
07/01/2007 6.00,"0,010831","9,554812","5,992263","0,512659",
07/01/2007 7.00,"0,021662","11,474335","6,169052","2,023382",
07/01/2007 8.00,"0,028883","13,39256","7,025089","2,622998",
07/01/2007 9.00,"0,140805","20,103092","10,605722","3,844298",
07/01/2007 10.00,"0,205791","23,641248","9,815671","8,597105",
07/01/2007 11.00,"0,259947","25,08477","7,783003","13,160418",
07/01/2007 12.00,"0,254532","15,378229","5,224197","7,373211",
07/01/2007 13.00,"0,162467","18,331439","4,704822","11,125358",
07/01/2007 14.00,"1,382773","25,290999","4,766573","17,994992",
07/01/2007 15.00,"0,231063","14,448297","4,857928","7,004616",
07/01/2007 16.00,"0,180519","9,093089","3,848784","3,194063",
07/01/2007 17.00,"0,164272","11,301838","5,224197","3,293999",
07/01/2007 18.00,"0,287025","15,666157","6,421973","5,823552",
07/01/2007 19.00,"0,24009","18,171911","9,050989","4,297254",
07/01/2007 20.00,"0,126363","17,051325","6,477801","7,12402",
07/01/2007 21.00,"0,019857","13,701241","5,317244","5,552297",
07/01/2007 22.00,"0,131779","13,972309","5,746954","5,164233",
07/01/2007 23.00,"0,043324","13,399045","4,81225","6,024723",
08/01/2007 0.00,"0,120948","11,492492","5,887373","2,467254",
08/01/2007 1.00,,"10,681883","5,485575","2,273873",
08/01/2007 2.00,"0,216622","12,596217","5,916978","3,526319",
08/01/2007 3.00,"0,160662","10,390064","5,715658","1,631425",
08/01/2007 4.00,"0,131779","9,715636","5,577777","1,166786",
08/01/2007 5.00,"0,083039","9,2163","5,714811","0,76185",
08/01/2007 6.00,"0,041519","8,606724","4,909526","1,186254",
08/01/2007 7.00,"0,101091","9,518496","5,531253","1,081127",
08/01/2007 8.00,"0,104701","13,921727","8,593364","0,802086",
08/01/2007 9.00,"0,651672","35,530619","20,727595","3,761233",
08/01/2007 10.00,"1,093943","45,084098","23,690742","8,76583",
08/01/2007 11.00,"1,861148","38,33338","13,002107","18,41031",
08/01/2007 12.00,"1,2528","22,507681","5,953351","13,388846",
