, Brindisi,,
,Quartiere Bozzano,,
Parm,SO2,NO2,PM10



01/01/2008 1.00,"4,172772","2,711254",
01/01/2008 2.00,"2,433661","5,881956","67,88765"
01/01/2008 3.00,"1,363579","11,268119",
01/01/2008 4.00,"1,434675","12,31291","35,653221"
01/01/2008 5.00,"1,498479","10,673698",
01/01/2008 6.00,"1,585981","12,061116","28,81562"
01/01/2008 7.00,"1,257847","11,203222",
01/01/2008 8.00,"1,31436","10,697053","4,884005"
01/01/2008 9.00,"1,35811","8,80736",
01/01/2008 10.00,"1,228619","11,56404","2,442003"
01/01/2008 11.00,"0,931536","8,122084",
01/01/2008 12.00,"1,164845","8,250574","2,442003"
01/01/2008 13.00,"1,471134","3,624957",
01/01/2008 14.00,"1,494833","7,944275","3,907204"
01/01/2008 15.00,"0,652622","9,140912",
01/01/2008 16.00,"0,988018","9,56921","6,837607"
01/01/2008 17.00,"0,732802","10,433593",
01/01/2008 18.00,"0,534129","8,681466","6,837607"
01/01/2008 19.00,"0,858587","10,643844",
01/01/2008 20.00,"0,577881","5,351126","0,976801"
01/01/2008 21.00,"0,761909","7,796317",
01/01/2008 22.00,"0,269707","7,139595","3,907204"
01/01/2008 23.00,"0,204051","8,007873",
02/01/2008 0.00,"0,229602","10,33106","0,976801"
02/01/2008 1.00,,"8,467319",
02/01/2008 2.00,"0,268601",,"4,884005"
02/01/2008 3.00,"0,067607","10,581553",
02/01/2008 4.00,"0,140696","10,140275","2,930403"
02/01/2008 5.00,"0,184549","7,103254",
02/01/2008 6.00,"0,009136","12,162356","2,930403"
02/01/2008 7.00,"1,046994","10,157146",
02/01/2008 8.00,"1,41792","14,3337","4,884005"
02/01/2008 9.00,"2,441161","12,12991",
02/01/2008 10.00,"4,558905","4,125935","2,442003"
02/01/2008 11.00,"6,391603","5,281042",
02/01/2008 12.00,"7,911847","11,718478","21,001221"
02/01/2008 13.00,"7,891748","4,453",
02/01/2008 14.00,"8,05437","4,395893","26,86202"
02/01/2008 15.00,"7,62132","3,636637",
02/01/2008 16.00,"6,218017","5,009786","5,372406"
02/01/2008 17.00,"3,654433","4,528276",
02/01/2008 18.00,"2,682354","8,463424","3,907204"
02/01/2008 19.00,"2,263921","30,863387",
02/01/2008 20.00,"2,453951","48,794794","24,908421"
02/01/2008 21.00,"1,390511","41,020525",
02/01/2008 22.00,"1,33204","7,195403","2,442003"
02/01/2008 23.00,"1,120083","8,606191",
03/01/2008 0.00,"1,131046","13,004678","6,837607"
03/01/2008 1.00,"1,114601","11,939126",
03/01/2008 2.00,"1,432537","7,714553","0,976801"
03/01/2008 3.00,"1,520244","10,197382",
03/01/2008 4.00,"1,993493","13,8418","2,930403"
03/01/2008 5.00,"2,315083","10,377779",
03/01/2008 6.00,"2,307774","19,220169","0,4884"
03/01/2008 7.00,"4,396282","45,261973",
03/01/2008 8.00,"4,884148","65,049339","8,791209"
03/01/2008 9.00,"7,098735","68,169912",
03/01/2008 10.00,"5,892772",,"33,699631"
03/01/2008 11.00,"3,811572","46,353494",
03/01/2008 12.00,"3,484501","2,593148","32,722832"
03/01/2008 13.00,"3,594134","1,962383",
03/01/2008 14.00,"5,052254","4,66585","27,83882"
03/01/2008 15.00,"4,315885","4,32451",
03/01/2008 16.00,"4,219043","10,84372","3,418803"
03/01/2008 17.00,"4,007086","54,662452",
03/01/2008 18.00,"4,127681","50,922009","27,35042"
03/01/2008 19.00,"5,905563","70,20837",
03/01/2008 20.00,"6,095594","78,954736","34,67643"
03/01/2008 21.00,"5,713705","79,31425",
03/01/2008 22.00,"5,65158","77,854153","35,164822"
03/01/2008 23.00,"3,837154","58,221238",
04/01/2008 0.00,"4,20077","57,872107","37,118431"
04/01/2008 1.00,,"23,361695",
04/01/2008 2.00,"3,592344",,"34,18803"
04/01/2008 3.00,"3,04205","5,662617",
04/01/2008 4.00,"2,746018","4,594467","2,930403"
04/01/2008 5.00,"2,884045","3,004574",
04/01/2008 6.00,"2,853171","8,340126","1,465201"
04/01/2008 7.00,"2,057697","11,609467",
04/01/2008 8.00,"1,999581","22,267591","3,418803"
04/01/2008 9.00,"1,914222","5,637956",
04/01/2008 10.00,"0,148924","4,093488",
04/01/2008 11.00,"0,733725","3,157723",
04/01/2008 12.00,"0,112601","1,875425",
04/01/2008 13.00,"1,04247","3,444552",
04/01/2008 14.00,"2,593462","2,375106","1,465201"
04/01/2008 15.00,"2,924001","3,313467",
04/01/2008 16.00,"1,837944","2,572384","3,907204"
04/01/2008 17.00,"1,716261","3,618467",
04/01/2008 18.00,"2,074042","5,621085","24,42001"
04/01/2008 19.00,"1,31126","0,40234",
04/01/2008 20.00,"0,495809","6,033807","24,908421"
04/01/2008 21.00,0,"8,490679",
04/01/2008 22.00,0,"8,345318","25,88522"
04/01/2008 23.00,0,"7,029275",
05/01/2008 0.00,0,"5,865085","6,837607"
05/01/2008 1.00,,"5,695062",
05/01/2008 2.00,,"5,074679","0,976801"
05/01/2008 3.00,,"4,90985",
05/01/2008 4.00,,"5,608106","5,860806"
05/01/2008 5.00,,"5,493893",
05/01/2008 6.00,,"5,994871","6,349206"
05/01/2008 7.00,,"4,822892",
05/01/2008 8.00,,"2,244021","24,908421"
05/01/2008 9.00,,"2,558107",
05/01/2008 10.00,,"3,147339","30,76923"
05/01/2008 11.00,,"1,223892",
05/01/2008 12.00,,"0,215446","25,39682"
05/01/2008 13.00,,"0,184298",
