, Brindisi,,
,P.za San Giusto Casale,,
Parm,SO2,NO2,PM10



01/01/2008 1.00,"3,869985","10,101338",
01/01/2008 2.00,"2,002258","6,857956","42,490841"
01/01/2008 3.00,"1,260759","4,844956",
01/01/2008 4.00,"1,782115","4,441318","25,88522"
01/01/2008 5.00,"1,850255","2,830658",
01/01/2008 6.00,"1,710131","2,194701","22,46641"
01/01/2008 7.00,"1,419053","1,842979",
01/01/2008 8.00,"1,619627","1,644404","11,23321"
01/01/2008 9.00,"1,904417","1,717085",
01/01/2008 10.00,"1,803081","1,232978","11,23321"
01/01/2008 11.00,"1,62417","1,035702",
01/01/2008 12.00,"1,356853","2,308914","9,76801"
01/01/2008 13.00,"2,233933","2,263489",
01/01/2008 14.00,"3,143161","1,377042","9,27961"
01/01/2008 15.00,"1,81007","1,364065",
01/01/2008 16.00,"1,799587","1,043489","7,326007"
01/01/2008 17.00,"1,862485","0,439978",
01/01/2008 18.00,"0,952208","0,607404","12,21001"
01/01/2008 19.00,"1,641642","1,062957",
01/01/2008 20.00,"1,651426","4,480256","11,23321"
01/01/2008 21.00,"1,496976","9,009829",
01/01/2008 22.00,"0,959547","7,147381","9,76801"
01/01/2008 23.00,"1,355106","3,261553",
02/01/2008 0.00,"1,147192","3,314766","9,27961"
02/01/2008 1.00,,"1,40949",
02/01/2008 2.00,,,"7,814408"
02/01/2008 3.00,,"6,288191",
02/01/2008 4.00,,"3,817042","6,837607"
02/01/2008 5.00,,"2,999383",
02/01/2008 6.00,,"3,326446","3,907204"
02/01/2008 7.00,,"4,91504",
02/01/2008 8.00,,"3,073362","5,372406"
02/01/2008 9.00,,"3,872851",
02/01/2008 10.00,,"3,870255","17,582411"
02/01/2008 11.00,,"4,911148",
02/01/2008 12.00,,"3,56266","16,60561"
02/01/2008 13.00,,"3,04351",
02/01/2008 14.00,,"2,554212","10,74481"
02/01/2008 15.00,,"3,003276",
02/01/2008 16.00,,"3,231701","13,67521"
02/01/2008 17.00,,"3,020149",
02/01/2008 18.00,,"8,127275","12,21001"
02/01/2008 19.00,,"9,436828",
02/01/2008 20.00,,"13,457629","15,62881"
02/01/2008 21.00,,"10,394654",
02/01/2008 22.00,,"10,66201","19,0476"
02/01/2008 23.00,,"5,510764",
03/01/2008 0.00,,"3,621064","13,67521"
03/01/2008 1.00,,"3,618467",
03/01/2008 2.00,,"10,433593","13,67521"
03/01/2008 3.00,,"16,05986",
03/01/2008 4.00,,"13,248669","8,302809"
03/01/2008 5.00,,"5,480914",
03/01/2008 6.00,,"6,534785","15,62881"
03/01/2008 7.00,,"15,835336",
03/01/2008 8.00,,"24,581685","10,74481"
03/01/2008 9.00,,"40,237926",
03/01/2008 10.00,,"31,960093","20,02442"
03/01/2008 11.00,,"31,677156",
03/01/2008 12.00,,"9,018913","22,46641"
03/01/2008 13.00,,"5,911806",
03/01/2008 14.00,,"5,779425","22,954821"
03/01/2008 15.00,,"6,711298",
03/01/2008 16.00,,"10,145468","21,48962"
03/01/2008 17.00,,"21,732862",
03/01/2008 18.00,,"19,552436","19,53602"
03/01/2008 19.00,,"20,488188",
03/01/2008 20.00,,"35,588935","29,30402"
03/01/2008 21.00,,"37,524071",
03/01/2008 22.00,,"30,357224","35,164822"
03/01/2008 23.00,,"25,48629",
04/01/2008 0.00,,"21,809437","23,93162"
04/01/2008 1.00,,"16,401207",
04/01/2008 2.00,"5,70266",,"28,81562"
04/01/2008 3.00,"5,006327","6,120765",
04/01/2008 4.00,"4,216257","4,507511","14,16361"
04/01/2008 5.00,"4,189474","3,910489",
04/01/2008 6.00,"3,826005","5,574361","14,65201"
04/01/2008 7.00,"3,234887","8,137657",
04/01/2008 8.00,"2,760462","11,04618","15,62881"
04/01/2008 9.00,"2,703072","10,584146",
04/01/2008 10.00,"2,911717","8,868361","15,62881"
04/01/2008 11.00,"2,036582","8,846296",
04/01/2008 12.00,"2,444435","6,650297","16,60561"
04/01/2008 13.00,"3,483577","6,746339",
04/01/2008 14.00,"4,616074","6,27521","20,51281"
04/01/2008 15.00,"4,151215","4,664553",
04/01/2008 16.00,"2,764415","6,288191","23,44322"
04/01/2008 17.00,"2,413954","7,561403",
04/01/2008 18.00,"2,406556","8,090933","23,93162"
04/01/2008 19.00,"2,341387","6,356977",
04/01/2008 20.00,"2,794897","11,540675","21,001221"
04/01/2008 21.00,"1,525428","11,47059",
