, Brindisi,,,,
,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



01/01/2008 1.00,"2,818616","14,607545",,"0,398977","0,851"
01/01/2008 2.00,"2,000768","14,813911","28,81562","0,404803","0,627191"
01/01/2008 3.00,"1,608847","10,077976",,"0,349267","0,383577"
01/01/2008 4.00,"1,607057","10,171422","27,35042","0,319986","0,529041"
01/01/2008 5.00,"1,556949","11,073442",,"0,296569","0,586699"
01/01/2008 6.00,"1,635691","6,677553","15,62881","0,274187","0,529261"
01/01/2008 7.00,"1,548","5,261573",,"0,249581","0,472264"
01/01/2008 8.00,"1,59632","6,462106","13,18681","0,256863","0,511876"
01/01/2008 9.00,"1,59453","4,643787",,"0,254602","0,484808"
01/01/2008 10.00,"2,527029","5,292722","7,326007","0,257975","0,471604"
01/01/2008 11.00,"1,694747","4,007829",,"0,277866","0,499993"
01/01/2008 12.00,"1,732329","4,695702","8,791209","0,297872","0,544886"
01/01/2008 13.00,"1,737698","4,837171",,"0,330602","0,65668"
01/01/2008 14.00,"3,511189","2,02468","5,372406","0,358811","0,470063"
01/01/2008 15.00,"2,156464","4,153191",,"0,299022","0,603204"
01/01/2008 16.00,"1,903653","3,958509","3,418803","0,271811","0,400522"
01/01/2008 17.00,"2,120672","2,668425",,"0,249925","0,272223"
01/01/2008 18.00,"1,990747","2,724233","2,930403","0,241802","0,302372"
01/01/2008 19.00,"2,211941","2,303723",,"0,245097","0,236573"
01/01/2008 20.00,"1,761559","4,97085","6,837607","0,284803","0,272003"
01/01/2008 21.00,"1,660746","7,678211",,"0,307492","0,587359"
01/01/2008 22.00,"1,707036","9,144807","5,372406","0,331293","0,569754"
01/01/2008 23.00,"1,683891","5,113615",,"0,299022","0,379175"
02/01/2008 0.00,"1,419149","5,432892","8,302809","0,307454","0,456639"
02/01/2008 1.00,,"4,494531",,"0,283768","0,549728"
02/01/2008 2.00,"0,325748",,"4,395605","0,319872","0,451577"
02/01/2008 3.00,"0,711459","21,099493",,,"0,832074"
02/01/2008 4.00,"0,700114","10,575061","2,930403","0,25359","0,504614"
02/01/2008 5.00,"0,863798","8,070169",,"0,231424","0,279265"
02/01/2008 6.00,"1,207521","7,60553","5,372406","0,275221","0,271562"
02/01/2008 7.00,"2,976959","8,829424",,"0,296775","0,71918"
02/01/2008 8.00,"5,919147","10,643844","6,837607","0,296354","0,778818"
02/01/2008 9.00,"5,135939","17,678312",,"0,332072","1,14567"
02/01/2008 10.00,"10,666133","8,991658","13,18681","0,295627","0,885551"
02/01/2008 11.00,"13,859075","8,419297",,"0,313275","1,085811"
02/01/2008 12.00,"17,198761","7,462765","16,60561","0,326254","0,478646"
02/01/2008 13.00,"17,532906","7,366722",,"0,316682","0,874987"
02/01/2008 14.00,"17,145714","5,245998","8,302809","0,297886","0,693431"
02/01/2008 15.00,"18,146391","6,847574",,"0,299263","0,882469"
02/01/2008 16.00,"15,0277","9,88589","15,62881","0,287051","1,368597"
02/01/2008 17.00,"9,306569","14,639992",,"0,335097","0,698053"
02/01/2008 18.00,"3,023221","16,507635","15,14041","0,31806","0,316457"
02/01/2008 19.00,"3,375046","13,077355",,"0,317907","0,315797"
02/01/2008 20.00,"0,906672","14,301251","15,14041","0,31182","0,316677"
02/01/2008 21.00,"0,802215","21,479771",,"0,325871","0,395241"
02/01/2008 22.00,"0,395435","19,007334","13,18681","0,332149","0,594841"
02/01/2008 23.00,"0,36317","14,481648",,"0,273269","0,674506"
03/01/2008 0.00,"0,662545","18,680269","12,21001","0,254548","0,55611"
03/01/2008 1.00,"1,024978","18,087138",,"0,250872","0,363331"
