NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
01/01/2008 1.00,"7,3610158","7,15662753"
01/01/2008 2.00,"7,16922092","5,26053627"
01/01/2008 3.00,"7,42494822","4,46379546"
01/01/2008 4.00,"7,41251707","3,59682751"
01/01/2008 5.00,"7,30418777","2,41576078"
01/01/2008 6.00,"7,506639","2,30595364"
01/01/2008 7.00,"7,26334286","2,58430214"
01/01/2008 8.00,"7,28465414","2,28297158"
01/01/2008 9.00,"7,51729393","2,18593267"
01/01/2008 10.00,"7,45158577","2,13996668"
01/01/2008 11.00,"7,68067503","2,50386305"
01/01/2008 12.00,"8,1193161","2,55876568"
01/01/2008 13.00,"7,78545094","2,43491312"
01/01/2008 14.00,"8,85985756","2,49237014"
01/01/2008 15.00,"8,96818638","2,57791802"
01/01/2008 16.00,"8,17969608","2,67495693"
01/01/2008 17.00,"8,44785404","2,62771374"
01/01/2008 18.00,"8,36438847","2,54089054"
01/01/2008 19.00,"8,27204227","2,2855241"
01/01/2008 20.00,"8,24185181","2,21913044"
01/01/2008 21.00,"8,1654892","2,2842469"
01/01/2008 22.00,"7,59720802","2,37617889"
01/01/2008 23.00,"7,11772108","2,35064244"
02/01/2008 0.00,"7,75526094","2,22296016"
02/01/2008 1.00,,"2,21657604"
02/01/2008 2.00,"7,73395109",
02/01/2008 3.00,"7,42850018","2,67367973"
02/01/2008 4.00,"7,85826302","2,37107198"
02/01/2008 5.00,"7,57589817","2,31361495"
02/01/2008 6.00,"7,85826302","2,17061005"
02/01/2008 7.00,"8,07136822","1,96503932"
02/01/2008 8.00,"7,61674309","2,87797326"
02/01/2008 9.00,"7,91331482","5,11114725"
02/01/2008 10.00,"8,02341938","5,58612797"
02/01/2008 11.00,"8,18324947","4,91706943"
02/01/2008 12.00,"8,11221313","3,71557316"
02/01/2008 13.00,"8,84032345","3,68492979"
02/01/2008 14.00,"8,9752903","2,8000867"
02/01/2008 15.00,"9,31803417","3,89049863"
02/01/2008 16.00,"9,21680927","2,92010766"
02/01/2008 17.00,"8,73377037","2,67878665"
02/01/2008 18.00,"8,55440712","2,37617889"
02/01/2008 19.00,"8,06959248","2,91244823"
02/01/2008 20.00,"8,34662914","2,53705894"
02/01/2008 21.00,"8,08379936","2,42597649"
02/01/2008 22.00,"8,29335308","2,57664271"
02/01/2008 23.00,"7,79965782","2,72347545"
03/01/2008 0.00,"7,99145317","2,49364734"
03/01/2008 1.00,"7,98079777","2,46938809"
03/01/2008 2.00,"7,96481514","2,0965532"
03/01/2008 3.00,"7,32372284","2,08889188"
03/01/2008 4.00,"7,75348616","2,27658559"
03/01/2008 5.00,"7,51729393","2,11187582"
03/01/2008 6.00,"7,55281115","2,04675748"
03/01/2008 7.00,"7,43737888","2,21019193"
03/01/2008 8.00,"7,49420691","2,41193106"
03/01/2008 9.00,"8,19745541","2,85115961"
03/01/2008 10.00,"7,81741714","5,4622754"
03/01/2008 11.00,"8,76396084","15,50581283"
03/01/2008 12.00,"10,39953995","22,99567644"
03/01/2008 13.00,"9,52403641","5,14434502"
03/01/2008 14.00,"10,1207304","3,91220537"
03/01/2008 15.00,"9,54001904","4,04499645"
