,ARPA Puglia,
,Scuola Elementare,
Parm,SO2,NO2



01/01/2008 1.00,"5,50877523","19,56228714"
01/01/2008 2.00,"4,9884429","14,20088977"
01/01/2008 3.00,"4,78421688","9,7983867"
01/01/2008 4.00,"4,63504314","4,97580366"
01/01/2008 5.00,"4,7859931","4,74214396"
01/01/2008 6.00,"4,7575779","3,44105438"
01/01/2008 7.00,"4,92628717","3,0784352"
01/01/2008 8.00,"4,84282112","3,54064768"
01/01/2008 9.00,"4,52849007","2,54727465"
01/01/2008 10.00,"4,77533722","2,57281111"
01/01/2008 11.00,"4,74692297","2,09783039"
01/01/2008 12.00,"4,70074987","2,49875426"
01/01/2008 13.00,"5,00975323","2,78221155"
01/01/2008 14.00,"4,64925003","2,05569599"
01/01/2008 15.00,"4,85525179","1,66243156"
01/01/2008 16.00,"4,95647717","2,11825994"
01/01/2008 17.00,"4,84992409","2,94819852"
01/01/2008 18.00,"4,86590719","3,02353257"
01/01/2008 19.00,"4,66168118","3,61725705"
01/01/2008 20.00,"4,6687851","6,94850429"
01/01/2008 21.00,"4,83926916","4,13309685"
01/01/2008 22.00,"4,54269695","4,72426881"
01/01/2008 23.00,"4,59597301","6,73910573"
02/01/2008 0.00,"4,68476677","6,10324308"
02/01/2008 1.00,,"2,81668652"
02/01/2008 2.00,"4,656353",
02/01/2008 3.00,"4,68121576","3,86623938"
02/01/2008 4.00,"4,91740799","2,70177059"
02/01/2008 5.00,"4,82150984","2,53195203"
02/01/2008 6.00,"4,66700888","3,55341591"
02/01/2008 7.00,"4,86235523","7,85505412"
02/01/2008 8.00,"4,94404602","25,80214725"
02/01/2008 9.00,"4,89254522","24,44361381"
02/01/2008 10.00,"4,83749294","15,94503573"
02/01/2008 11.00,"4,57821512","15,94503573"
02/01/2008 12.00,"4,76468182","14,87122362"
02/01/2008 13.00,"4,87656212","11,73278453"
02/01/2008 14.00,"4,93161392","17,91518761"
02/01/2008 15.00,"4,9919939","14,05533047"
02/01/2008 16.00,"5,04171896","15,50963502"
02/01/2008 17.00,"4,89964914","10,79048253"
02/01/2008 18.00,"4,91207981","18,24333746"
02/01/2008 19.00,"4,8747859","33,07241916"
02/01/2008 20.00,"5,00620079","51,4064133"
