,ARPA Puglia,,,,
,Baldassarre,,,,
Parm,SO2,NO2,,,PM10



01/01/2008 1.00,"0,077238","9,0514416",,,
01/01/2008 2.00,"0,050518","16,09698291",,,
01/01/2008 3.00,"0,038619","11,33696005",,,
01/01/2008 4.00,"0,095712","8,70031533",,,
01/01/2008 5.00,"0,108968","7,0455432",,,
01/01/2008 6.00,"0,022023","6,74421264",,,
01/01/2008 7.00,"0,068366","4,85322829",,,
01/01/2008 8.00,"0,120032","3,59299779",,,
01/01/2008 9.00,"0,087571","3,16526027",,,
01/01/2008 10.00,"0,086527","3,36699752",,,
01/01/2008 11.00,"0,088093","3,02863948",,,
01/01/2008 12.00,"0,111264","3,11929428",,,
01/01/2008 13.00,"0,120554","3,24697656",,,
01/01/2008 14.00,"0,111577","3,46531363",,,
01/01/2008 15.00,"0,133183","3,4550998",,,
01/01/2008 16.00,"0,068888","2,90989383",,,
01/01/2008 17.00,"0,099574","3,3120949",,,
01/01/2008 18.00,"0,047595","4,13820376",,,
01/01/2008 19.00,"0,025154","4,20970622",,,
01/01/2008 20.00,"0,01336","3,13589222",,,
01/01/2008 21.00,"0,007306","4,34377261",,,
01/01/2008 22.00,"0,032774","3,56362974",,,
01/01/2008 23.00,"0,008768","8,7769247",,,
02/01/2008 0.00,"0,016178","14,38347656",,,
02/01/2008 1.00,,"4,41655226",,,
02/01/2008 2.00,,,,,
02/01/2008 3.00,,"3,54320208",,,
02/01/2008 4.00,,"3,46786803",,,
02/01/2008 5.00,,"2,80519361",,,
02/01/2008 6.00,,"3,07077388",,,
02/01/2008 7.00,,"2,91883046",,,
02/01/2008 8.00,,"3,81644178",,,
02/01/2008 9.00,,"7,72226304",,,
02/01/2008 10.00,,"7,78482887",,,
02/01/2008 11.00,,"9,39874003",,,
02/01/2008 12.00,,"8,37344643",,,
02/01/2008 13.00,,"5,3754522",,,
02/01/2008 14.00,,"6,39435981",,,
02/01/2008 15.00,,"4,00158297",,,
02/01/2008 16.00,,"10,26314794",,,
02/01/2008 17.00,,"7,54606037",,,
02/01/2008 18.00,,"8,61987436",,,
02/01/2008 19.00,,"7,67501985",,,
02/01/2008 20.00,,"5,43163203",,,
02/01/2008 21.00,,"9,13315976",,,
02/01/2008 22.00,,"13,34030594",,,
02/01/2008 23.00,,"30,33106857",,,
03/01/2008 0.00,,"14,86483951",,,
03/01/2008 1.00,,"9,85329309",,,
03/01/2008 2.00,,"7,67757425",,,
03/01/2008 3.00,,"6,24241827",,,
03/01/2008 4.00,,"6,82720612",,,
03/01/2008 5.00,,"4,43187489",,,
03/01/2008 6.00,,"3,89560555",,,
03/01/2008 7.00,,"5,10604034",,,
03/01/2008 8.00,,"5,67167585",,,
03/01/2008 9.00,,"9,88904337",,,
03/01/2008 10.00,,"12,07625136",,,
03/01/2008 11.00,,,,,
03/01/2008 12.00,,,,,
03/01/2008 13.00,,,,,
03/01/2008 14.00,,,,,
03/01/2008 15.00,,,,,
03/01/2008 16.00,,,,,
03/01/2008 17.00,,,,,
03/01/2008 18.00,,,,,
03/01/2008 19.00,,,,,
03/01/2008 20.00,,,,,
03/01/2008 21.00,,,,,
03/01/2008 22.00,,,,,
03/01/2008 23.00,,,,,
04/01/2008 0.00,,,,,
04/01/2008 1.00,,,,,
04/01/2008 2.00,,,,,
04/01/2008 3.00,,,,,
04/01/2008 4.00,,,,,
04/01/2008 5.00,,,,,
04/01/2008 6.00,,,,,
04/01/2008 7.00,,,,,
04/01/2008 8.00,,,,,
04/01/2008 9.00,,,,,
04/01/2008 10.00,,"19,44609777",,,
04/01/2008 11.00,,"17,17973166",,,
04/01/2008 12.00,,"14,54435849",,,
04/01/2008 13.00,,"11,98942064",,,
04/01/2008 14.00,,"11,3727141",,,
04/01/2008 15.00,,"10,5619241",,,
04/01/2008 16.00,,"10,00268023",,,
04/01/2008 17.00,,"10,47510466",,,
04/01/2008 18.00,,"10,41125976",,,
04/01/2008 19.00,,"10,60916541",,,
04/01/2008 20.00,,"10,91944201",,,
04/01/2008 21.00,,"11,42123826",,,
04/01/2008 22.00,,"9,61324739",,,
04/01/2008 23.00,,"7,94060012",,,
05/01/2008 0.00,,"6,21432742",,,
05/01/2008 1.00,,"5,01155394",,,
05/01/2008 2.00,,"4,30929952",,,
05/01/2008 3.00,,"4,42421357",,,
05/01/2008 4.00,,"6,90126297",,,
05/01/2008 5.00,,"8,34152586",,,
05/01/2008 6.00,,"11,35356176",,,
05/01/2008 7.00,,"10,12525183",,,
05/01/2008 8.00,,"12,0749704",,,
05/01/2008 9.00,,"6,28200015",,,
05/01/2008 10.00,,"8,10148205",,,
05/01/2008 11.00,,"7,71970865",,,
05/01/2008 12.00,,"7,86654515",,,
05/01/2008 13.00,,"8,89694566",,,
05/01/2008 14.00,,"8,67094727",,,
05/01/2008 15.00,,"9,05910479",,,
05/01/2008 16.00,,"8,16787759",,,
05/01/2008 17.00,,"7,29580272",,,
05/01/2008 18.00,,"7,8499472",,,
05/01/2008 19.00,,"8,65434933",,,
05/01/2008 20.00,,"8,73223402",,,
05/01/2008 21.00,,"9,74220687",,,
05/01/2008 22.00,,"8,79479984",,,
05/01/2008 23.00,,"6,52204397",,,
06/01/2008 0.00,,"4,76768041",,,
06/01/2008 1.00,,"4,60935288",,,
06/01/2008 2.00,,,,,
06/01/2008 3.00,,"3,43849998",,,
06/01/2008 4.00,,"2,87158915",,,
06/01/2008 5.00,,"2,67240442",,,
06/01/2008 6.00,,"2,62388402",,,
06/01/2008 7.00,,"2,57536551",,,
06/01/2008 8.00,,"3,28400592",,,
06/01/2008 9.00,,"3,66066865",,,
06/01/2008 10.00,,"4,4816706",,,
06/01/2008 11.00,,"3,71557316",,,
06/01/2008 12.00,,"3,97476932",,,
06/01/2008 13.00,,"4,91579223",,,
06/01/2008 14.00,,"5,19158822",,,
06/01/2008 15.00,,"4,66681179",,,
06/01/2008 16.00,,"4,73831424",,,
06/01/2008 17.00,,"7,63543985",,,
06/01/2008 18.00,,"9,17784856",,,
06/01/2008 19.00,,"20,0168496",,,
06/01/2008 20.00,,"15,45984119",,,
06/01/2008 21.00,,"11,93962681",,,
06/01/2008 22.00,,"11,74427179",,,
06/01/2008 23.00,,"9,09485508",,,
07/01/2008 0.00,,"9,31702375",,,
07/01/2008 1.00,,"5,81212635",,,
07/01/2008 2.00,,"3,70791185",,,
07/01/2008 3.00,,"3,02736228",,,
07/01/2008 4.00,,"3,19590365",,,
07/01/2008 5.00,,"2,87414167",,,
07/01/2008 6.00,,"4,18927667",,,
07/01/2008 7.00,,"6,48246209",,,
07/01/2008 8.00,,"16,49407706",,,
07/01/2008 9.00,,"23,04548532",,,
07/01/2008 10.00,,"24,2993223",,,
07/01/2008 11.00,,"19,21243995",,,
07/01/2008 12.00,,"7,36858049",,,
07/01/2008 13.00,,"8,83310452",,,
07/01/2008 14.00,,"6,9114768",,,
07/01/2008 15.00,,"6,97021103",,,
07/01/2008 16.00,,"8,3491853",,,
07/01/2008 17.00,,"9,61707899",,,
07/01/2008 18.00,,"14,12555948",,,
07/01/2008 19.00,,"20,61822411",,,
07/01/2008 20.00,,"18,13096841",,,
07/01/2008 21.00,,"31,41508887",,,
07/01/2008 22.00,,"30,89798316",,,
07/01/2008 23.00,,"23,8537134",,,
08/01/2008 0.00,,"18,74385087",,,
08/01/2008 1.00,,"18,79109407",,,
08/01/2008 2.00,,,,,
08/01/2008 3.00,,"9,77412744",,,
08/01/2008 4.00,,"11,268012",,,
08/01/2008 5.00,,"13,73995072",,,
08/01/2008 6.00,,"13,98511085",,,
08/01/2008 7.00,,"11,35100924",,,
08/01/2008 8.00,,"15,32067352",,,
08/01/2008 9.00,,"17,98158503",,,
08/01/2008 10.00,,"16,08676344",,,
08/01/2008 11.00,,"15,75734579",,,
08/01/2008 12.00,,"13,88168031",,,
08/01/2008 13.00,,"13,821667",,,
08/01/2008 14.00,,"15,44325077",,,
08/01/2008 15.00,,"13,99148556",,,
08/01/2008 16.00,,"13,34413753",,,
