,,,ARPA Puglia,,,,
,,,De Santis,,,,
Field,,,Aver,Aver,Aver,Aver,Aver



01/01/2008 1.00,,,"25,37824509","0,93588725","17,93061009",,"1,99871004"
01/01/2008 2.00,,,"40,97088864","1,35535895","9,71361086","100,61039734","3,96514797"
01/01/2008 3.00,,,"44,54601129","1,2269465","6,62846593",,"4,15185118"
01/01/2008 4.00,,,"22,32534447","0,9754898","21,14235504","78,14408112","3,212924"
01/01/2008 5.00,,,"16,72135265","0,8547536","22,9449033",,"2,44489002"
01/01/2008 6.00,,,"11,14543663","0,7819425","30,13704594","61,05006027","1,89322996"
01/01/2008 7.00,,,"11,21949725","0,73288465","28,54851264",,"1,62573898"
01/01/2008 8.00,,,"11,67532374","0,6845076","31,62912732","43,9560318","1,16093302"
01/01/2008 9.00,,,"8,11935719","0,69044505","37,51757982",,"0,82413203"
01/01/2008 10.00,,,"3,75898476","0,692185","47,8581831","29,7924099","0,87134898"
01/01/2008 11.00,,,"7,07491125","0,6842799","50,06162682",,"0,85488802"
01/01/2008 12.00,,,"4,82130772","0,7485442","54,59816322","17,09399986","0,84730798"
01/01/2008 13.00,,,"9,943946","0,83916995","47,4150654",,"1,31774497"
01/01/2008 14.00,,,"10,69599614","0,875104","44,79712956","17,58241081","1,68010402"
01/01/2008 15.00,,,"6,26029529","0,81068905","51,17843646",,"1,80615997"
01/01/2008 16.00,,,"7,05065011","0,8101221","55,92898782","15,62880993","1,51744294"
01/01/2008 17.00,,,"17,64194038","1,0006426","46,54091592",,"1,80702603"
01/01/2008 18.00,,,"24,27377832","1,0438389","40,98253068","16,60560989","2,903198"
01/01/2008 19.00,,,"34,09259832","1,17921115","32,89663818",,"1,84687901"
01/01/2008 20.00,,,"41,17134681","1,16578375","28,67510088","26,37360954","2,92334104"
01/01/2008 21.00,,,"30,11400117","1,0694839","36,50779728",,"3,7665329"
01/01/2008 22.00,,,"29,03125995","1,07837225","36,3344742","16,11721039","2,26165295"
01/01/2008 23.00,,,"25,71532029","1,0970195","38,46708972",,"2,77995706"
02/01/2008 0.00,,,"20,59014078","0,9892576","35,41358988","11,72161007","2,33421111"
02/01/2008 1.00,,,"14,19960881","0,96240165","37,0066554",,"1,71627402"
02/01/2008 2.00,,,,"0,9513191","40,15209456","16,60560989","1,56964195"
02/01/2008 3.00,,,"19,05665553",,"41,87174832",,"1,57115805"
02/01/2008 4.00,,,"9,51748568","0,2927118","41,90943834","16,11721039","1,88218403"
02/01/2008 5.00,,,"5,5503758","0,2672301",,,"1,13602495"
02/01/2008 6.00,,,"6,30370689","0,2810531","42,08227092","15,14041042","1,004987"
02/01/2008 7.00,,,"13,571415","0,3699941","34,7780196",,"1,01473296"
02/01/2008 8.00,,,"22,68284733","0,4012626","25,70496642","16,60560989","1,50531399"
02/01/2008 9.00,,,"27,41094774","0,4777537","20,12282136",,"1,69093299"
02/01/2008 10.00,,,"23,77582119","0,4878277","26,50047894","24,90842056","2,22721505"
