,ARPA Puglia,
,S.Barbara,
Parm,SO2,NO2



01/01/2008 1.00,"0,62123698",
01/01/2008 2.00,"0,55204999",
01/01/2008 3.00,"0,699687",
01/01/2008 4.00,"0,37626499",
01/01/2008 5.00,"0,53007698",
01/01/2008 6.00,"0,32596299",
01/01/2008 7.00,"0,29218701",
01/01/2008 8.00,"0,226631",
01/01/2008 9.00,"0,231171",
01/01/2008 10.00,"0,22626799",
01/01/2008 11.00,"0,24351899",
01/01/2008 12.00,"0,46597299",
01/01/2008 13.00,"0,62959099",
01/01/2008 14.00,"0,515549",
01/01/2008 15.00,"0,59617698",
01/01/2008 16.00,"0,66118801",
01/01/2008 17.00,"0,63049901",
01/01/2008 18.00,"0,64666098",
01/01/2008 19.00,"0,43909699",
01/01/2008 20.00,"0,33540601",
01/01/2008 21.00,"0,248059",
01/01/2008 22.00,"0,232079",
01/01/2008 23.00,"0,281836",
02/01/2008 0.00,"0,184682",
02/01/2008 1.00,,
02/01/2008 2.00,,
02/01/2008 3.00,,
02/01/2008 4.00,,
02/01/2008 5.00,,
02/01/2008 6.00,,
02/01/2008 7.00,,
02/01/2008 8.00,,
02/01/2008 9.00,,
02/01/2008 10.00,,
02/01/2008 11.00,,
02/01/2008 12.00,,
02/01/2008 13.00,,
02/01/2008 14.00,,
02/01/2008 15.00,,
02/01/2008 16.00,,
02/01/2008 17.00,,
02/01/2008 18.00,,
02/01/2008 19.00,,
02/01/2008 20.00,,
02/01/2008 21.00,,
02/01/2008 22.00,,
02/01/2008 23.00,,
03/01/2008 0.00,,
03/01/2008 1.00,,
03/01/2008 2.00,,
03/01/2008 3.00,,
03/01/2008 4.00,,
03/01/2008 5.00,,
03/01/2008 6.00,,
03/01/2008 7.00,,
03/01/2008 8.00,,
03/01/2008 9.00,,
03/01/2008 10.00,,
03/01/2008 11.00,,
03/01/2008 12.00,,
03/01/2008 13.00,,
03/01/2008 14.00,,
03/01/2008 15.00,,
03/01/2008 16.00,,
03/01/2008 17.00,,
03/01/2008 18.00,,
03/01/2008 19.00,,
03/01/2008 20.00,,
03/01/2008 21.00,,
03/01/2008 22.00,,
03/01/2008 23.00,,
04/01/2008 0.00,,
04/01/2008 1.00,,
04/01/2008 2.00,,
04/01/2008 3.00,,
04/01/2008 4.00,,
04/01/2008 5.00,,
04/01/2008 6.00,,
04/01/2008 7.00,,
04/01/2008 8.00,,
04/01/2008 9.00,,
04/01/2008 10.00,,
04/01/2008 11.00,,
04/01/2008 12.00,,
04/01/2008 13.00,,
04/01/2008 14.00,,
04/01/2008 15.00,,
04/01/2008 16.00,,
04/01/2008 17.00,,
04/01/2008 18.00,,
04/01/2008 19.00,,
04/01/2008 20.00,,
04/01/2008 21.00,,
04/01/2008 22.00,,
04/01/2008 23.00,,
05/01/2008 0.00,,
05/01/2008 1.00,,
05/01/2008 2.00,,
05/01/2008 3.00,,
05/01/2008 4.00,,
05/01/2008 5.00,,
05/01/2008 6.00,,
05/01/2008 7.00,,"8,13850953"
05/01/2008 8.00,,"8,33003483"
05/01/2008 9.00,,"9,80860241"
05/01/2008 10.00,,"6,912754"
05/01/2008 11.00,,"10,35379897"
05/01/2008 12.00,,"6,60120585"
05/01/2008 13.00,,"7,43497603"
05/01/2008 14.00,,"7,07235685"
05/01/2008 15.00,,"5,92193349"
05/01/2008 16.00,,"6,13261113"
05/01/2008 17.00,,"6,80677658"
05/01/2008 18.00,,"5,21584747"
05/01/2008 19.00,,"5,63720088"
05/01/2008 20.00,,"4,77406453"
05/01/2008 21.00,,"5,77254447"
05/01/2008 22.00,,"4,42676797"
05/01/2008 23.00,,"4,23524267"
06/01/2008 0.00,,"4,81492361"
06/01/2008 1.00,,
06/01/2008 2.00,,
06/01/2008 3.00,,
06/01/2008 4.00,,
06/01/2008 5.00,,
06/01/2008 6.00,,
06/01/2008 7.00,,
06/01/2008 8.00,,
06/01/2008 9.00,,
06/01/2008 10.00,,
06/01/2008 11.00,,
06/01/2008 12.00,,
06/01/2008 13.00,,
06/01/2008 14.00,,
06/01/2008 15.00,,
06/01/2008 16.00,,
06/01/2008 17.00,,
06/01/2008 18.00,,
06/01/2008 19.00,,
06/01/2008 20.00,,
06/01/2008 21.00,,
06/01/2008 22.00,,
06/01/2008 23.00,,
07/01/2008 0.00,,
07/01/2008 1.00,,
07/01/2008 2.00,,
07/01/2008 3.00,,
07/01/2008 4.00,,
07/01/2008 5.00,,
07/01/2008 6.00,,
07/01/2008 7.00,,
07/01/2008 8.00,,
07/01/2008 9.00,,
07/01/2008 10.00,,
07/01/2008 11.00,,
07/01/2008 12.00,,
07/01/2008 13.00,,
07/01/2008 14.00,,
07/01/2008 15.00,,
07/01/2008 16.00,,
07/01/2008 17.00,,
07/01/2008 18.00,,
07/01/2008 19.00,,
07/01/2008 20.00,,
07/01/2008 21.00,,
07/01/2008 22.00,,
07/01/2008 23.00,,
08/01/2008 0.00,,
08/01/2008 1.00,,
08/01/2008 2.00,,
08/01/2008 3.00,,
08/01/2008 4.00,,
08/01/2008 5.00,,
08/01/2008 6.00,,
08/01/2008 7.00,,
08/01/2008 8.00,,
08/01/2008 9.00,,
08/01/2008 10.00,,
08/01/2008 11.00,,
08/01/2008 12.00,,
08/01/2008 13.00,,
08/01/2008 14.00,,
08/01/2008 15.00,,
08/01/2008 16.00,,
08/01/2008 17.00,,
08/01/2008 18.00,,
08/01/2008 19.00,"0,925807",
08/01/2008 20.00,"0,753362",
08/01/2008 21.00,"1,03536606",
08/01/2008 22.00,"0,84589702",
08/01/2008 23.00,"0,795286",
09/01/2008 0.00,"1,05690706",
09/01/2008 1.00,"0,87566",
09/01/2008 2.00,"0,872881",
09/01/2008 3.00,"0,88121903",
09/01/2008 4.00,"0,93490398",
09/01/2008 5.00,"0,76007903",
09/01/2008 6.00,"0,81821698",
09/01/2008 7.00,"0,82435501",
09/01/2008 8.00,"0,93738902",
09/01/2008 9.00,"1,14585197",
09/01/2008 10.00,"1,18522799",
09/01/2008 11.00,"1,22251999",
09/01/2008 12.00,"1,08400798","14,30047931"
09/01/2008 13.00,"1,20016801","6,23858667"
09/01/2008 14.00,"1,11967802","6,43905049"
09/01/2008 15.00,"1,33566904","5,34097724"
09/01/2008 16.00,"0,971901","6,85912669"
09/01/2008 17.00,"1,23919702","8,07594559"
09/01/2008 18.00,"1,13959801","12,54867768"
09/01/2008 19.00,"1,17063606","13,31732952"
09/01/2008 20.00,"1,28007901","11,57062163"
09/01/2008 21.00,"1,26293802","14,94655579"
09/01/2008 22.00,"1,09373605","15,1482968"
09/01/2008 23.00,"1,27683604","33,62528268"
10/01/2008 0.00,"1,52525401","27,03045906"
10/01/2008 1.00,,"22,45686399"
10/01/2008 2.00,"0,75369102",
10/01/2008 3.00,"0,51284403","22,57942995"
10/01/2008 4.00,"0,77004898","18,51657717"
10/01/2008 5.00,"0,80537599","17,00864154"
10/01/2008 6.00,"0,73872501","16,78519755"
10/01/2008 7.00,"0,68999898","16,36766822"
10/01/2008 8.00,"0,807522","15,44068697"
10/01/2008 9.00,"1,16635597","17,65982305"
10/01/2008 10.00,"1,01855302","20,76123654"
10/01/2008 11.00,"1,18230796","26,82618246"
10/01/2008 12.00,"1,05022502","26,20436148"
10/01/2008 13.00,"0,85149097","20,50203474"
10/01/2008 14.00,"1,00010705","13,55736393"
10/01/2008 15.00,"0,86651498","13,5918389"
10/01/2008 16.00,"0,99268198","19,26096975"
10/01/2008 17.00,"0,95196003","17,56533666"
10/01/2008 18.00,"1,01820505","13,92126783"
10/01/2008 19.00,"1,07545805","21,00636846"
10/01/2008 20.00,"0,89841902","27,07387254"
10/01/2008 21.00,"1,318277","30,49960617"
10/01/2008 22.00,"1,03955197","27,45310095"
10/01/2008 23.00,"1,02563","23,62387401"
11/01/2008 0.00,"1,00898194","22,98929985"
11/01/2008 1.00,"0,92162198","20,45478402"
11/01/2008 2.00,"0,89308298","17,53851736"
11/01/2008 3.00,"0,83153701","17,11588676"
11/01/2008 4.00,"0,75821501","16,68049545"
11/01/2008 5.00,"0,99987501","15,40239169"
11/01/2008 6.00,"0,82741803","12,64060215"
11/01/2008 7.00,"1,05967999","13,67994118"
11/01/2008 8.00,"0,957587","15,10998836"
11/01/2008 9.00,"1,23695099","19,41289812"
11/01/2008 10.00,"1,10214198","15,92078024"
11/01/2008 11.00,"1,25551295","22,05720792"
11/01/2008 12.00,"1,310794","16,18891303"
11/01/2008 13.00,"1,89324701","8,16277067"
11/01/2008 14.00,"1,67142701","8,31726473"
11/01/2008 15.00,"1,37587905","7,20897764"
11/01/2008 16.00,"1,52640796","6,88977006"
11/01/2008 17.00,"0,98241401","7,7899339"
11/01/2008 18.00,"1,04465604","12,70699769"
11/01/2008 19.00,"0,88635403","11,97538274"
11/01/2008 20.00,"1,097965","20,55054573"
11/01/2008 21.00,"0,948596","19,1371059"
11/01/2008 22.00,"0,75897002","17,11716772"
11/01/2008 23.00,"0,96791202","15,60923397"
12/01/2008 0.00,"0,985605","13,65058065"
12/01/2008 1.00,,"24,1065198"
12/01/2008 2.00,,
12/01/2008 3.00,,"10,075458"
12/01/2008 4.00,,"12,07241789"
12/01/2008 5.00,,"25,02583974"
12/01/2008 6.00,,"7,30346404"
12/01/2008 7.00,,"5,81595607"
12/01/2008 8.00,,"12,44269462"
12/01/2008 9.00,,"9,7524207"
12/01/2008 10.00,,"15,26321462"
12/01/2008 11.00,,"13,69143785"
12/01/2008 12.00,,"8,08743662"
12/01/2008 13.00,,"7,94060012"
12/01/2008 14.00,,"6,11728851"
12/01/2008 15.00,,"5,5503758"
12/01/2008 16.00,,"4,53402071"
12/01/2008 17.00,,"6,61269876"
12/01/2008 18.00,,"7,07618657"
12/01/2008 19.00,,"8,56752425"
12/01/2008 20.00,,"7,01489983"
12/01/2008 21.00,,"4,92089915"
12/01/2008 22.00,,"5,67805996"
12/01/2008 23.00,,"8,41685803"
13/01/2008 0.00,,"6,55013294"
13/01/2008 1.00,,"5,54399357"
13/01/2008 2.00,,"5,03198348"
13/01/2008 3.00,,"5,28990244"
13/01/2008 4.00,,"4,01945811"
13/01/2008 5.00,,"4,74725087"
13/01/2008 6.00,,"3,43467026"
13/01/2008 7.00,,"4,71022339"
13/01/2008 8.00,,"6,01514268"
13/01/2008 9.00,,"3,98626034"
13/01/2008 10.00,,"6,06110868"
13/01/2008 11.00,,"4,7612963"
13/01/2008 12.00,,"5,33076152"
13/01/2008 13.00,,"6,35350261"
13/01/2008 14.00,,"5,12263828"
13/01/2008 15.00,,"5,16222016"
13/01/2008 16.00,,"3,24953096"
13/01/2008 17.00,,"6,20666798"
13/01/2008 18.00,,"10,76494419"
13/01/2008 19.00,,"14,47924203"
13/01/2008 20.00,,"15,45856963"
13/01/2008 21.00,,"12,96874824"
13/01/2008 22.00,,"13,27519136"
13/01/2008 23.00,,"8,32109632"
14/01/2008 0.00,,"7,79887429"
14/01/2008 1.00,,"6,84891286"
14/01/2008 2.00,,
14/01/2008 3.00,,
14/01/2008 4.00,,
14/01/2008 5.00,,
14/01/2008 6.00,,
14/01/2008 7.00,,
14/01/2008 8.00,,
14/01/2008 9.00,,
14/01/2008 10.00,,
14/01/2008 11.00,,
14/01/2008 12.00,,
14/01/2008 13.00,,
