,,,ARPA Puglia,,
,,,Viale Pitagora,,
Parm,NO2,CO,O3,PM2.5,Benzene



01/01/2008 1.00,,,,0,
01/01/2008 2.00,"54,15240996",,"24,00793452",0,"1,01183295"
01/01/2008 3.00,"60,6750408",,"17,47194158",0,"0,97331601"
01/01/2008 4.00,"37,71952371",,"27,46558674",0,"0,89931101"
01/01/2008 5.00,"47,025",,"23,14020078",0,"0,93414903"
01/01/2008 6.00,"41,45293251",,"22,82743836",0,"0,77878201"
01/01/2008 7.00,"32,61063366",,"31,57271982",0,"0,477137"
01/01/2008 8.00,"23,00658624",,"41,56769718",0,"0,26832199"
01/01/2008 9.00,"13,40381602",,"51,21000504",0,"0,278925"
01/01/2008 10.00,"12,80539656",,"60,3372879",0,"0,077251"
01/01/2008 11.00,"10,24329587",,"63,54872874",0,"0,077251"
01/01/2008 12.00,"10,97696675",,"62,57983428",0,"0,115984"
01/01/2008 13.00,"22,76286507",,"53,38603962",0,"0,34319201"
01/01/2008 14.00,"23,00658624",,"55,51679124",0,"0,65089703"
01/01/2008 15.00,"9,41265567",,"65,27222802",0,"0,481897"
01/01/2008 16.00,"12,46471925",,"65,61826596",0,"0,15904599"
01/01/2008 17.00,"27,34990929",,"57,16577376",0,"0,19475"
01/01/2008 18.00,"37,584261",,"50,26775454",0,"0,34622201"
01/01/2008 19.00,"38,93677524",,"47,85086484",0,"0,54140401"
01/01/2008 20.00,"36,84166101",,"50,30369838",0,"0,502671"
01/01/2008 21.00,"28,83255111",,"55,04033916",0,"0,470429"
01/01/2008 22.00,"26,64047133",,"54,16460046",0,"0,467399"
01/01/2008 23.00,"20,78516286",,"56,16360378",0,"0,20189101"
02/01/2008 0.00,"21,84674283",,"52,8430365",0,"0,233483"
02/01/2008 1.00,"16,96753417",,"52,1975385",0,"0,268971"
02/01/2008 2.00,"9,75078235",,"56,51760744",0,"0,23716199"
02/01/2008 3.00,"12,99296048",,"51,51880422",0,"0,155367"
02/01/2008 4.00,"8,28599498",,"50,00290416",0,"0,26875499"
02/01/2008 5.00,"7,8292073",,"52,6766589",0,"0,19799601"
02/01/2008 6.00,"13,11800371",,"51,61062582",0,"0,155367"
02/01/2008 7.00,"35,03364381",,"34,62313932",0,"0,42065901"
02/01/2008 8.00,"49,22469783",,"24,05052954",0,"0,61540902"
02/01/2008 9.00,"52,76419434",,"22,12472844",0,"1,04385805"
02/01/2008 10.00,"50,56319862",,"26,43416334",0,"1,28924298"
02/01/2008 11.00,"50,20462359",,"27,64259838",0,"1,19554698"
02/01/2008 12.00,"39,41140797",,"41,34279312",0,"1,21134305"
02/01/2008 13.00,"33,64542819",,"50,32365192",0,"1,09449303"
02/01/2008 14.00,"30,68906049",,"57,33744876",0,"1,16806495"
02/01/2008 15.00,"22,41070425",,"61,4951622",0,"0,74762201"
02/01/2008 16.00,"43,54676766",,"42,87199554",0,"0,778566"
02/01/2008 17.00,"66,09145554",,"27,04104918",0,"1,38272297"
02/01/2008 18.00,"69,20605296",,"22,59188064",0,"1,74885201"
02/01/2008 19.00,"61,87188348",,"28,83908484",0,"1,30071199"
02/01/2008 20.00,"59,25492342",,"34,07344578",0,"1,13322699"
02/01/2008 21.00,"73,2903435",,"24,57224496",0,"1,16049194"
02/01/2008 22.00,"55,85706621",,"30,02091516",0,"1,05943799"
02/01/2008 23.00,"52,72591599",,"27,97798266",0,"1,04667199"
03/01/2008 0.00,"43,44212763",,"29,54179476",0,"0,97374898"
03/01/2008 1.00,"31,94711091","0,19495605","31,55009796",,"1,36735904"
03/01/2008 2.00,"25,98336279","0,047357","35,58402882",,"0,82595497"
03/01/2008 3.00,"31,00294296","0,07063185","30,56790114",,"0,62276602"
03/01/2008 4.00,"44,15028651","0,1640268","17,76074405",,"0,62319899"
03/01/2008 5.00,"56,70176688","0,5224519","7,87222285",,"1,00425899"
03/01/2008 6.00,"84,72535632","1,2632911","8,63615502",,"1,48615694"
03/01/2008 7.00,"82,47204999","1,04995805","8,05721591",,"2,90068889"
