,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2008 1.00,"1,364757","10,86346","2,036049","7,746999","15,53072"
01/01/2008 2.00,"1,477152","9,479587","1,885481","6,593192","15,53072"
01/01/2008 3.00,"1,384747","7,805193","1,665551","5,255084","15,53072"
01/01/2008 4.00,"1,344202","6,816899","1,818656","4,03119","15,53072"
01/01/2008 5.00,"1,352877","5,931064","1,831345","3,125277","15,53072"
01/01/2008 6.00,"1,38833","4,759897","1,827116","1,959786","15,53072"
01/01/2008 7.00,"1,590111","4,757302","1,725609","2,155767","15,53072"
01/01/2008 8.00,"1,325344","4,6302","1,280673","2,668425","15,53072"
01/01/2008 9.00,"1,085281","4,155506","1,218077","2,289446","15,53072"
01/01/2008 10.00,"1,177874","3,796245","1,215539","1,933829","15,53072"
01/01/2008 11.00,"1,742296","3,749554","1,229919","1,865043","15,53072"
01/01/2008 12.00,"1,739656","4,309847","1,671473","1,748233","15,53072"
01/01/2008 13.00,"1,377204","5,870107","2,325342","2,306319","15,53072"
01/01/2008 14.00,"1,395873","7,135955","2,437","3,401723","15,53072"
01/01/2008 15.00,"1,487523","5,851949","2,081727","2,661936","15,53072"
01/01/2008 16.00,"1,6514","5,645731","2,173083","2,315403","15,53072"
01/01/2008 17.00,"1,781143","6,551018","2,953836","2,023382","15,53072"
01/01/2008 18.00,"1,490352","7,174864","2,933536","2,678807","15,53072"
01/01/2008 19.00,"1,515056","6,720923","2,085957","3,52502","15,53072"
01/01/2008 20.00,"1,593128","5,277389","1,256142","3,353701","15,53072"
01/01/2008 21.00,"1,380032","5,475826","0,696165","4,411466","15,53072"
01/01/2008 22.00,"1,240672","4,073797","0,440707","3,400425","15,53072"
01/01/2008 23.00,"1,367397","3,971337","0,016071","3,949423","15,53072"
02/01/2008 0.00,"1,516187","2,937648",0,"3,051298","15,53072"
02/01/2008 1.00,"3,286533",0,"4,096083","19,68891",
02/01/2008 2.00,"1,242198","19,68891",,,
02/01/2008 3.00,"1,239442","1,901365",0,"2,776147","19,68891"
02/01/2008 4.00,"1,342339","1,028501",0,"1,963681","19,68891"
02/01/2008 5.00,"1,3818","0,854706",0,"1,789766","19,68891"
02/01/2008 6.00,"1,402607","0,923446",0,"1,858552","19,68891"
02/01/2008 7.00,"1,490555","1,280115",0,"2,212872","19,68891"
02/01/2008 8.00,"1,396083","3,04789",0,"3,904","19,68891"
02/01/2008 9.00,"1,385822","4,762492",0,"5,657424","19,68891"
02/01/2008 10.00,"1,284604","7,106124","0,038065","7,138295","19,68891"
02/01/2008 11.00,"1,549589","7,549688","0,380649","7,10585","19,68891"
02/01/2008 12.00,"1,602509","2,21653",0,"2,891659","19,68891"
02/01/2008 13.00,"2,085478","2,819622","0,13365","2,616511","19,68891"
02/01/2008 14.00,"2,464317","3,595214","0,683476","2,549021","19,68891"
02/01/2008 15.00,"2,495639","4,951849","1,295899","2,966934","19,68891"
02/01/2008 16.00,"2,532597","5,678154","1,772978","2,961743","19,68891"
02/01/2008 17.00,"2,204685","6,493951","1,901553","3,58083","19,68891"
02/01/2008 18.00,"2,119017","9,238349","2,101183","6,020828","19,68891"
02/01/2008 19.00,"1,922251","12,941213","1,564045","10,550395","19,68891"
02/01/2008 20.00,"1,71953","10,31484","0,708007","9,235658","19,68891"
02/01/2008 21.00,"1,613752","12,109852","0,559131","11,260328","19,68891"
02/01/2008 22.00,"1,442702","8,862227","0,015226","9,127934","19,68891"
02/01/2008 23.00,"1,362038","6,69239",0,"7,657445","19,68891"
03/01/2008 0.00,"1,639531","2,949321",0,"4,563319","19,68891"
03/01/2008 1.00,"1,453311","1,903958",0,"3,608085","28,654181"
03/01/2008 2.00,"1,802285","0,858597",0,"2,469851","28,654181"
03/01/2008 3.00,"1,417365","0,26977",0,"1,90917","28,654181"
03/01/2008 4.00,"1,266267","0,539542",0,"2,090871","28,654181"
03/01/2008 5.00,"1,399661","0,115431",0,"1,586","28,654181"
03/01/2008 6.00,"1,386931","0,34759",0,"1,728765","28,654181"
03/01/2008 7.00,"1,24717","1,819656",0,"3,065574","28,654181"
03/01/2008 8.00,"1,517728","12,62475","0,011842","13,516037","28,654181"
03/01/2008 9.00,"1,555289","18,240651","0,511761","17,874294","28,654181"
03/01/2008 10.00,"1,764787","38,714691","6,849145","28,232591","28,654181"
03/01/2008 11.00,"1,901254","13,452221","0,6581","12,497204","28,654181"
03/01/2008 12.00,"2,178589","6,736486","0,293523","6,394617","28,654181"
03/01/2008 13.00,"2,915743","8,291558","1,08189","6,637317","28,654181"
03/01/2008 14.00,"2,814018","13,105928","2,345644","9,515997","28,654181"
03/01/2008 15.00,"2,544854","14,536492","2,858251","10,161041","28,654181"
03/01/2008 16.00,"2,569367","16,8049","2,7246","12,636081","28,654181"
03/01/2008 17.00,"2,40769","18,994194","2,582492","15,044935","28,654181"
03/01/2008 18.00,"2,350114","26,472539","2,486062","22,676415","28,654181"
03/01/2008 19.00,"2,127632","20,021393","1,80343","17,268183","28,654181"
03/01/2008 20.00,"2,363448","20,985041","1,458309","18,762039","28,654181"
03/01/2008 21.00,"2,072652","15,935927","1,185933","14,127332","28,654181"
03/01/2008 22.00,"1,941886","14,623388","0,769757","13,452442","28,654181"
03/01/2008 23.00,"2,047633","11,26552","0,609039","10,338841","28,654181"
04/01/2008 0.00,"1,909583","7,825946","0,606501","6,900787","28,654181"
04/01/2008 1.00,"6,145067","0,607346","5,217446","20,20892",
04/01/2008 2.00,"0,590124","20,20892",,,
04/01/2008 3.00,"0,667772","5,506954","1,217232","3,643127","20,20892"
04/01/2008 4.00,"0,577247","5,366881","1,43547","3,168106","20,20892"
04/01/2008 5.00,"0,632168","5,763755","1,831345","2,957851","20,20892"
04/01/2008 6.00,"0,724588","5,717064","1,866027","2,857914","20,20892"
04/01/2008 7.00,"0,723074","6,397976","2,05212","3,253765","20,20892"
04/01/2008 8.00,"0,692393","8,260433","2,361716","4,642489","20,20892"
04/01/2008 9.00,"0,830644","9,636522","2,370174","6,006551","20,20892"
04/01/2008 10.00,"0,456798","9,098277","2,069885","5,92868","20,20892"
04/01/2008 11.00,"0,600731","9,793455","1,899862","6,885211","20,20892"
04/01/2008 12.00,"0,806403","11,498978","2,344798","7,909233","20,20892"
04/01/2008 13.00,"2,265602","8,999708","2,548657","5,788511","20,20892"
04/01/2008 14.00,"0,350742","6,894718","0,729155","5,810573","20,20892"
04/01/2008 15.00,"0,575732","8,152783","0,021993","8,124681","20,20892"
04/01/2008 16.00,"0,682166","8,84407","0,466929","8,133765","20,20892"
04/01/2008 17.00,"0,664743","8,557439","1,11657","6,85017","20,20892"
04/01/2008 18.00,"0,747693","8,755876","1,218077","6,892999","20,20892"
04/01/2008 19.00,"0,649971","8,94264","1,229919","7,061723","20,20892"
04/01/2008 20.00,"0,535582","9,88554","1,218923","8,022147","20,20892"
