,Comune Bari,,,,
,Via M.L.King,,,,
Parm,SO2,NO2,CO,PM10,BENZENE



01/01/2009 1.00,"8,22498852","53,7228024","0,98134474",,"2,89187713"
01/01/2009 2.00,,"69,31024856","1,49164853",,"4,69307871"
01/01/2009 3.00,,,"1,06338637",,"4,88744775"
01/01/2009 4.00,,"77,8904824","1,03368237",,"3,86956093"
01/01/2009 5.00,,"39,35924656","0,48913224",,"3,2272817"
01/01/2009 6.00,,"33,587626",,"71,79486084","1,45250381"
01/01/2009 7.00,,"24,94508008","0,34384742",,"2,00221773"
01/01/2009 8.00,,"26,38831504","0,35737191","49,32844162","1,25781035"
01/01/2009 9.00,,"22,4622716","0,42885165",,"1,48557461"
01/01/2009 10.00,,"21,11505728","0,45909505","36,63003159","1,905439"
01/01/2009 11.00,,"19,6640596","0,43744818",,"1,64622502"
01/01/2009 12.00,,"19,42005016","0,45739298","20,51280975","1,91224679"
01/01/2009 13.00,,"24,80103","0,4260906",,"1,66908209"
01/01/2009 14.00,,"32,64017264","0,47174928","23,44322014","1,67410811"
01/01/2009 15.00,,"23,75493656","0,43601407",,"1,87139594"
01/01/2009 16.00,,"18,55048786","0,4085888","30,76922989","1,8610205"
01/01/2009 17.00,,"20,15854104","0,36212045",,"1,89863018"
01/01/2009 18.00,,"24,73873704","0,45485095","34,18803024","1,6178558"
01/01/2009 19.00,,"26,33252288","0,55019339",,"1,87236819"
01/01/2009 20.00,,"30,24170248","0,46146932","29,7924099","1,70993397"
01/01/2009 21.00,,"62,63140312","0,89476194",,"1,83135461"
01/01/2009 22.00,,"57,10765424","0,76943124","39,07204056","2,84405474"
01/01/2009 23.00,,"43,31517456","0,4734595",,"2,13774214"
02/01/2009 0.00,,"31,06845128","0,4388322","31,74603081","1,58624439"
02/01/2009 1.00,,"29,13331608","0,44765824",,"1,80719985"
02/01/2009 2.00,,"21,82370184","0,42718919","17,09399986","1,8063893"
02/01/2009 3.00,"1,38111041",,"0,40610502",,"1,76715954"
02/01/2009 4.00,"1,1037918","26,1053964","0,38756638","9,76801014","1,62466462"
02/01/2009 5.00,"1,45668673","17,85223119","0,37141132",,"1,54069195"
