,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



01/01/2009 1.00,"1,3884145","8,62598226","0,51365549","30,1677117",,"0,87415828"
01/01/2009 2.00,"1,49452116","11,79765566","0,51108084","26,20633995","65,44566345","0,72437147"
01/01/2009 3.00,"1,62997641",,"0,58408557","22,51714605",,"0,78285406"
01/01/2009 4.00,"1,37035462","18,36326482","0,49296393",,"67,88764954","0,77283152"
01/01/2009 5.00,"1,46517258","5,70414799",,"43,69095885",,"0,45497631"
01/01/2009 6.00,"1,51935529","2,27614422","0,28615546","47,2027374","65,44566345","0,35673411"
01/01/2009 7.00,"1,53515845","0,6051327","0,27543047","50,1163551",,"0,31719518"
01/01/2009 8.00,"1,3816423","1,24920138","0,29207715","49,7367465","46,39804077","0,32842896"
01/01/2009 9.00,"1,53741517","2,09281784","0,3192566","47,45416725",,"0,38834348"
01/01/2009 10.00,"1,7857503","2,60385529","0,37982728","47,59385715","33,69963074","0,50740164"
01/01/2009 11.00,"1,69996228","1,76997282","0,36351845","48,6685836",,"0,49099133"
01/01/2009 12.00,"1,14911135","1,01720694","0,35682086","50,7539571","35,16482162","0,44858853"
01/01/2009 13.00,"1,52386975","1,42765981","0,35114382","48,2988303",,"0,44308148"
01/01/2009 14.00,"1,35906693","1,13726142","0,33260284","49,31769675","36,14162064","0,38305712"
01/01/2009 15.00,"1,24167157","3,20736662","0,37516728","48,88386405",,"0,45673877"
01/01/2009 16.00,"1,41550637","3,71353611","0,40045361","47,7861153","28,81562042","0,62260435"
01/01/2009 17.00,"1,35906693","2,45622212","0,3929312","47,69081415",,"0,6994804"
01/01/2009 18.00,"1,24844479","2,38808418","0,39268772","47,31284145","23,93161964","0,5803124"
01/01/2009 19.00,"1,17845994","2,26640832","0,40341387","49,55761545",,"0,49583733"
01/01/2009 20.00,"1,32294513","3,05648878","0,39914298","47,28818325","38,0952301","0,60960811"
01/01/2009 21.00,"1,35229371","16,48459671","0,44995795","30,70378815",,"0,5601575"
01/01/2009 22.00,"1,1942631","17,84411284","0,45447233","25,8855639","38,58362961","0,63416866"
01/01/2009 23.00,"1,02720153","14,01214745","0,42578886","28,2338784",,"0,53967105"
02/01/2009 0.00,"1,21909621","10,3359221","0,39972432","30,5904123","35,16482162","0,4010092"
02/01/2009 1.00,"1,25521801","8,07601076","0,44049349","29,5764735",,"0,50630023"
02/01/2009 2.00,"1,15362581","7,59741804","0,44554144","30,20587605","28,81562042","0,59044478"
02/01/2009 3.00,"1,11976277",,"0,42112886","32,2107114",,"0,55916592"
02/01/2009 4.00,"1,14685361","3,04026546","0,38856245",,"19,53602028","0,4992514"
02/01/2009 5.00,"1,15362581","1,5363551",,"37,9504062",,"0,47579226"
02/01/2009 6.00,"1,15136909","2,03603718","0,3455891","38,1811479","10,25640965","0,43889652"
02/01/2009 7.00,"1,15814129","2,4756901","0,34534678","37,42797555",,"0,43603265"
02/01/2009 8.00,"1,14459587","8,71034353","0,37724331","30,3296658","7,32600689","0,39649372"
02/01/2009 9.00,"1,37712682","13,24964567","0,39089245","25,3837815",,"0,45409559"
02/01/2009 10.00,"1,20329304","14,4956043","0,45807451","25,58154585","11,23320961","0,55233779"
02/01/2009 11.00,"1,29585428","15,18510209","0,38208389","35,92821435",,"0,71511982"
02/01/2009 12.00,"1,42679405","12,25352809","0,37400112","42,24366615","20,02441978","0,51445047"
02/01/2009 13.00,"1,71576443","13,78340342","0,36524032","41,7492453",,"0,49660822"
02/01/2009 14.00,"1,23489937","13,2220689","0,35526908","44,6795412","23,93161964","0,39748428"
02/01/2009 15.00,"1,28456558","8,58542492","0,32821312","48,2723766",,"0,35772467"
02/01/2009 16.00,"1,00236842","11,38881844","0,35502676","43,9032867","17,09399986","0,31719518"
02/01/2009 17.00,"1,14685361","22,29741896","0,47496701","31,1438253",,"0,4348214"
02/01/2009 18.00,"1,24844479","30,66870944","0,47661315","21,8651202","13,18680954","0,57480535"
02/01/2009 19.00,"1,28230886","29,78777456","0,53619475","24,53664465",,"0,65366353"
02/01/2009 20.00,"1,33874829","31,6112872","0,60952451","25,4447487","25,88521957","0,89078827"
02/01/2009 21.00,"1,32971733","26,55607392","0,62728726","20,3373492",,"0,87261549"
02/01/2009 22.00,"1,24618705","33,23038792","0,78231847","12,43478513","35,65322113","1,13000599"
02/01/2009 23.00,"1,39518772","31,75730664","0,87418455","12,42819365",,"1,38739649"
03/01/2009 0.00,"1,24844479","29,06582248","0,88526952","12,32930948","49,32844162","1,38794668"
03/01/2009 1.00,"1,35793806","13,7266151","0,59752035","25,1365611",,"1,20633082"
03/01/2009 2.00,"1,27553564","8,06140882","0,48092016","31,5228753","55,18925095","0,75179589"
03/01/2009 3.00,"1,25408914",,"0,51794852","24,4658022",,"0,65410389"
03/01/2009 4.00,"1,25747474","14,20033605","0,53329157",,"46,88644028","0,67536021"
03/01/2009 5.00,"1,04977689","16,48621426",,"16,64776628",,"0,75256678"
03/01/2009 6.00,"1,35455145","14,94824162","0,49346954","20,0207826","43,9560318","0,77162027"
03/01/2009 7.00,"1,26876344","6,4536692","0,38842265","31,4880426",,"0,59176688"
03/01/2009 8.00,"1,21683847","5,48188755","0,35183","36,2718132","41,02563095","0,47447016"
03/01/2009 9.00,"1,12201949","5,46728752","0,32914046","43,65656505",,"0,39649372"
03/01/2009 10.00,"1,25408914","11,10815787","0,35554752","39,00941205","21,0012207","0,37501672"
03/01/2009 11.00,"1,32068739","12,00044238","0,34540852","40,005336",,"0,35882608"
03/01/2009 12.00,"1,17845994","12,25191054","0,36539526","39,84236445","11,23320961","0,41863076"
03/01/2009 13.00,"1,0170417","10,52573973","0,36742353","40,8333807",,"0,43636317"
03/01/2009 14.00,"1,27553564","14,7048899","0,37210566","35,0240205","5,86080599","0,43636317"
03/01/2009 15.00,"1,05203463","11,95502474","0,36549079","31,81396575",,"0,45266365"
03/01/2009 16.00,"1,16942898","12,2989553","0,39199454","38,578113","3,90720391","0,48625516"
