,Comune Bari,,
,Piazza Duca Savoia,,
Parm,CO,PM10,BENZENE



01/01/2009 1.00,,,"3,72454486"
01/01/2009 2.00,"1,15651181",,"3,52365278"
01/01/2009 3.00,"1,30762979",,"11,78089749"
01/01/2009 4.00,"0,9984283",,"3,93288443"
01/01/2009 5.00,"0,65739552",,"4,04550193"
01/01/2009 6.00,"0,52517734",,"3,38488415"
01/01/2009 7.00,"0,39096818",,"2,95501147"
01/01/2009 8.00,"0,36208084",,"2,654968"
01/01/2009 9.00,"0,39530431",,"2,03849311"
01/01/2009 10.00,"0,48124985","57,14284134","1,61223688"
01/01/2009 11.00,"0,63304469",,"1,32391738"
01/01/2009 12.00,"0,61649237","48,84004974","1,70020128"
01/01/2009 13.00,"0,56930288",,"1,97460415"
01/01/2009 14.00,"0,69384255","39,56044006","1,68723046"
01/01/2009 15.00,"0,5929384",,"1,62854956"
01/01/2009 16.00,"0,40533146","42,00244141","2,10564358"
01/01/2009 17.00,"0,39757256",,"1,93309936"
01/01/2009 18.00,"0,48443263","41,02563095","1,85903329"
01/01/2009 19.00,"0,5226691",,"1,27946838"
01/01/2009 20.00,"0,50985876","41,5140419","1,53159488"
01/01/2009 21.00,"0,67919966",,"1,74910169"
01/01/2009 22.00,"1,06189284","37,6068306","1,63052356"
01/01/2009 23.00,"0,82574385",,"1,33383211"
02/01/2009 0.00,"0,71719963","34,67642975","2,12771757"
02/01/2009 1.00,,,"2,21881738"
02/01/2009 2.00,"0,4598255","32,72283173","2,14079314"
02/01/2009 3.00,"0,39467754",,"10,31338683"
02/01/2009 4.00,"0,35684183","23,44322014","2,44192989"
02/01/2009 5.00,"0,32781819",,"1,70712095"
02/01/2009 6.00,"0,33440976","21,97801971","1,61714187"
02/01/2009 7.00,"0,40857366",,"1,22072036"
02/01/2009 8.00,"0,72043134","18,55920982","1,28253463"
02/01/2009 9.00,"0,93259881",,"1,63172158"
02/01/2009 10.00,"1,06436963","15,14041042","1,55078465"
02/01/2009 11.00,"1,08040935",,"1,89051249"
02/01/2009 12.00,"1,0575404","31,74603081","2,80603826"
02/01/2009 13.00,"1,24465571",,"3,68292312"
02/01/2009 14.00,"1,26391083","58,11965179","3,72413501"
02/01/2009 15.00,"0,9472883",,"4,42759595"
02/01/2009 16.00,"0,82159179","47,86323166","4,69907494"
02/01/2009 17.00,"1,17362916",,"4,23145122"
02/01/2009 18.00,"1,35578157","44,4444313","3,8539693"
02/01/2009 19.00,"1,62523908",,"4,65894717"
02/01/2009 20.00,"1,78428488","53,23564148","5,13447298"
02/01/2009 21.00,"1,81715768",,"5,05523648"
02/01/2009 22.00,"1,72365944","57,14284134","5,83782103"
02/01/2009 23.00,"1,25120651",,"6,21890517"
03/01/2009 0.00,"0,97365108","60,07326126","6,61775935"
03/01/2009 1.00,,,"5,40940164"
03/01/2009 2.00,"0,63104089","46,88644028","5,12433654"
03/01/2009 3.00,"0,53173746",,"12,25543986"
03/01/2009 4.00,"0,45325141","44,93283081","4,84447136"
03/01/2009 5.00,"0,41021747",,"2,74623866"
03/01/2009 6.00,"0,50355145","34,67642975","2,4853863"
03/01/2009 7.00,"0,49696104",,"2,07908463"
03/01/2009 8.00,"0,4624619","26,86202049","1,47469577"
03/01/2009 9.00,"0,52697377",,"1,75335377"
03/01/2009 10.00,"0,65353588","22,95482063","1,83630537"
03/01/2009 11.00,"0,87196406",,"1,51012601"
03/01/2009 12.00,"0,76779092","23,44322014","1,76199216"
03/01/2009 13.00,"0,81082602",,"2,15934932"
03/01/2009 14.00,"0,79605848","15,62880993","2,31276784"
03/01/2009 15.00,"0,58148179",,"2,62236298"
03/01/2009 16.00,"0,60105379","19,04759979","2,54020565"
03/01/2009 17.00,"0,47314029",,"2,25852716"
03/01/2009 18.00,"0,52018532","17,09399986","2,35880336"
03/01/2009 19.00,"0,63047121",,"1,90959344"
03/01/2009 20.00,"0,79498552","14,16361046","1,62443274"
03/01/2009 21.00,"0,8644999",,"1,75969985"
03/01/2009 22.00,"0,86561248","14,65200996","2,0171717"
03/01/2009 23.00,"0,6386099",,"2,2042875"
04/01/2009 0.00,"0,55575626","30,28083038","1,89006501"
04/01/2009 1.00,,,"2,28732148"
04/01/2009 2.00,"0,48209448","17,58241081","1,62404018"
04/01/2009 3.00,"0,41293192",,"10,449675"
04/01/2009 4.00,"0,32385602","18,07081032","2,2232515"
04/01/2009 5.00,"0,26727081",,"1,60200993"
04/01/2009 6.00,"0,26128737","10,7448101","1,48003298"
04/01/2009 7.00,"0,30364677",,"1,2538715"
04/01/2009 8.00,"0,33554447","11,72161007","0,68908462"
04/01/2009 9.00,"0,40552252",,"0,87875716"
04/01/2009 10.00,"0,45279589","16,11721039","1,08409658"
04/01/2009 11.00,"0,65646702",,"1,15049854"
04/01/2009 12.00,"0,72062124","20,51280975","1,11605275"
04/01/2009 13.00,"0,66776169",,"1,32612224"
04/01/2009 14.00,"0,65313861","26,86202049","1,5908392"
04/01/2009 15.00,"0,51500573",,"2,08653924"
04/01/2009 16.00,"0,41067299","26,37360954","1,84222431"
04/01/2009 17.00,"0,4207782",,"1,43083764"
04/01/2009 18.00,"0,64319301","35,65322113","1,51088164"
04/01/2009 19.00,"0,74518876",,"1,66484019"
04/01/2009 20.00,"0,73880805","29,30401993","3,58541113"
04/01/2009 21.00,"0,69213",,"1,40520009"
04/01/2009 22.00,"0,68345191","33,69963074","1,74466452"
04/01/2009 23.00,"0,62365712",,"2,09741402"
05/01/2009 0.00,"0,57690101","32,23442078","1,86849444"
05/01/2009 1.00,,,"1,68007993"
05/01/2009 2.00,"0,43566573","44,93283081","1,89070877"
05/01/2009 3.00,"0,35075121",,"11,38367763"
05/01/2009 4.00,"0,28799616","27,35042","2,18974745"
05/01/2009 5.00,"0,26873405",,"1,40197416"
05/01/2009 6.00,"0,28410389","21,0012207","0,70425725"
05/01/2009 7.00,"0,40989127",,"1,0765067"
05/01/2009 8.00,"0,57360989","22,95482063","0,97504265"
05/01/2009 9.00,"0,7395921",,"0,90815049"
05/01/2009 10.00,"0,7324821","35,65322113","1,15621815"
05/01/2009 11.00,"0,75798162",,"1,45876751"
05/01/2009 12.00,"1,34088471","55,18925095","2,02820717"
05/01/2009 13.00,"1,80245072",,"2,45969078"
05/01/2009 14.00,"1,51381848","56,65444183","3,17583167"
05/01/2009 15.00,"1,27662215",,"6,15589388"
05/01/2009 16.00,"1,08521964","50,30524063","6,02320691"
05/01/2009 17.00,"1,25723888",,"4,96757616"
05/01/2009 18.00,"1,21529655","25,39682007","4,55570337"
