, Brindisi,,,
,Quartiere Bozzano,,,
Parm,SO2,NO2,NOX,PM10



01/01/2009 1.00,,"65,1","135,1",
01/01/2009 2.00,,"80,5","185,0","132,8"
01/01/2009 3.00,,"80,8","171,2",
01/01/2009 4.00,,"52,8","109,2","189,5"
01/01/2009 5.00,,"12,3","18,0",
01/01/2009 6.00,,"10,1","16,3","130,9"
01/01/2009 7.00,,"13,0","18,6",
01/01/2009 8.00,,"15,8","20,5","67,9"
01/01/2009 9.00,,"4,2","8,3",
01/01/2009 10.00,,"8,8","15,5","37,6"
01/01/2009 11.00,,"5,9","10,9",
01/01/2009 12.00,,"4,9","12,4","31,7"
01/01/2009 13.00,,"11,2","17,6",
01/01/2009 14.00,,"6,5","11,0","37,1"
01/01/2009 15.00,,"2,8","6,4",
01/01/2009 16.00,,"3,1","8,1","2,4"
01/01/2009 17.00,,"27,5","36,0",
01/01/2009 18.00,,"42,2","50,5","3,9"
01/01/2009 19.00,,"18,3","24,8",
01/01/2009 20.00,,"5,1","10,2","26,9"
01/01/2009 21.00,,"3,2","6,3",
01/01/2009 22.00,,"1,6","5,7","24,9"
01/01/2009 23.00,,"4,7","7,6",
02/01/2009 0.00,,"6,6","10,2","2,9"
02/01/2009 1.00,,"3,9","6,6",
02/01/2009 2.00,,,,"2,0"
02/01/2009 3.00,,"8,7","11,0",
02/01/2009 4.00,,"4,3","6,8","2,4"
02/01/2009 5.00,,"2,9","6,1",
02/01/2009 6.00,,"4,0","7,4","6,8"
02/01/2009 7.00,,"13,7","19,5",
02/01/2009 8.00,,"43,0","52,1","2,0"
02/01/2009 9.00,,"57,8","67,6",
02/01/2009 10.00,,"55,7","62,5","1,0"
02/01/2009 11.00,,"28,7","35,5",
02/01/2009 12.00,,"21,0","28,3","2,9"
02/01/2009 13.00,,"33,3","47,5",
02/01/2009 14.00,,"40,9","54,2","3,9"
02/01/2009 15.00,,"16,6","23,0",
02/01/2009 16.00,,"34,4","43,0","3,4"
02/01/2009 17.00,,"69,5","81,9",
02/01/2009 18.00,,"85,5","102,4","23,9"
02/01/2009 19.00,,"102,8","210,6",
02/01/2009 20.00,,"77,0","150,7","32,2"
02/01/2009 21.00,,"56,2","103,7",
02/01/2009 22.00,,"53,2","99,5","32,7"
02/01/2009 23.00,,"57,6","79,1",
03/01/2009 0.00,,"31,3","53,1","31,3"
03/01/2009 1.00,,"21,4","25,4",
03/01/2009 2.00,,"14,7","17,7","6,8"
03/01/2009 3.00,,"4,6","5,6",
03/01/2009 4.00,,"9,0","10,5","6,3"
03/01/2009 5.00,,"5,2","7,0",
03/01/2009 6.00,,"25,8","30,9","6,8"
03/01/2009 7.00,,"19,7","30,2",
03/01/2009 8.00,,"47,2","56,8","2,9"
03/01/2009 9.00,,"72,4","108,5",
03/01/2009 10.00,,"83,8","123,0","2,4"
