,Foggia,,
,Manfredonia - Capitaneria di Porto,,
Parm,SO2,NO2,PM10



01/01/2009 1.00,"1,94483351","24,66474264",
01/01/2009 2.00,"2,02991471","38,57274536",
01/01/2009 3.00,"1,45707522","39,9433052",
01/01/2009 4.00,"1,13425298","38,09122728",
01/01/2009 5.00,"1,24899092","32,61162648",
01/01/2009 6.00,"1,28910038","35,70445856",
01/01/2009 7.00,"1,17849553","36,24306896",
01/01/2009 8.00,"1,16184317","39,05296328",
01/01/2009 9.00,"1,26758778","38,04061664",
01/01/2009 10.00,"1,39618133","39,603256",
01/01/2009 11.00,"1,36932033","44,05624664",
01/01/2009 12.00,"1,54483012","46,98814568",
01/01/2009 13.00,"1,98919708","56,97526736",
01/01/2009 14.00,"2,28746691","60,54053552",
01/01/2009 15.00,"1,93036973","47,57348536",
01/01/2009 16.00,"0,92264376","28,56875984",
01/01/2009 17.00,"1,35376226","45,34114888",
01/01/2009 18.00,,,
01/01/2009 19.00,"2,60980303","51,54887752",
01/01/2009 20.00,"1,33516642","29,98733",
01/01/2009 21.00,"1,30477947","29,51619408",
01/01/2009 22.00,"1,09621006","28,71801056",
01/01/2009 23.00,"0,57028682","18,58422701",
02/01/2009 0.00,"0,53783435","20,10012944",
02/01/2009 1.00,,"26,16120768",
02/01/2009 2.00,"0,34226118","15,47063634",
02/01/2009 3.00,"0,27732878","13,0449068",
02/01/2009 4.00,"0,24698659","10,35701911",
02/01/2009 5.00,"0,37139009","10,12989263",
02/01/2009 6.00,"0,4860843","12,32588964",
02/01/2009 7.00,"0,34226118","10,58804225",
02/01/2009 8.00,"0,47827781","19,19089696",
02/01/2009 9.00,"0,51946123","31,50324008",
02/01/2009 10.00,"0,76584066","35,06848912",
02/01/2009 11.00,"0,52674295","33,67976528",
02/01/2009 12.00,"0,37624525","22,50250008",
02/01/2009 13.00,"0,39323627","20,88794992",
02/01/2009 14.00,"0,2415253","19,33699288",
02/01/2009 15.00,"0,23849057","14,37523051",
02/01/2009 16.00,"0,31677414","12,9878011",
02/01/2009 17.00,"0,34165505","17,05533827",
02/01/2009 18.00,"0,26155104","17,69388509",
02/01/2009 19.00,"0,40355272","27,813386",
02/01/2009 20.00,"0,35621951","27,42402632",
02/01/2009 21.00,"0,25973061","17,5238624",
02/01/2009 22.00,"0,37381767","25,9613272",
02/01/2009 23.00,"0,57771804","18,41810098",
03/01/2009 0.00,"0,54737584","31,4046",
03/01/2009 1.00,"0,43450206","22,99310016",
03/01/2009 2.00,"0,51399892","22,8633136",
03/01/2009 3.00,"0,37867283","19,596566",
03/01/2009 4.00,"0,45210125","14,9787361",
03/01/2009 5.00,"0,43146835","8,73597771",
03/01/2009 6.00,"0,3616808","13,85477838",
03/01/2009 7.00,"0,49275989","27,80300384",
03/01/2009 8.00,"0,36471451","29,86532528",
03/01/2009 9.00,"0,46969942","37,402066",
03/01/2009 10.00,"0,41326304","35,08537208",
03/01/2009 11.00,"0,55708514","44,99333696",
03/01/2009 12.00,"0,46363098","41,1645952",
03/01/2009 13.00,"0,51946123","33,43837528",
03/01/2009 14.00,"0,61048781","38,75964336",
03/01/2009 15.00,"0,33437231","29,65248144",
03/01/2009 16.00,"0,28885953","24,99310952",
03/01/2009 17.00,"0,43268163","26,2611288",
03/01/2009 18.00,"0,30767098","27,12422472",
03/01/2009 19.00,"0,47151985","25,22283632",
03/01/2009 20.00,"0,47334028","29,66934528",
03/01/2009 21.00,"0,38777498","41,2476716",
03/01/2009 22.00,"0,38049326","30,35980672",
03/01/2009 23.00,"0,26458475","23,76791904",
04/01/2009 0.00,"0,1547457","15,81327439",
04/01/2009 1.00,,"13,42518066",
04/01/2009 2.00,"0,27659552",,
04/01/2009 3.00,"0,36827909","9,33170146",
