,TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO2,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3


01/01/2009 1.00,"1,284585","13,82575","15,604315",
01/01/2009 2.00,"1,383142","16,408026","15,645846",
01/01/2009 3.00,"1,139477","15,213512","16,5868",
01/01/2009 4.00,"0,788673",,,
01/01/2009 5.00,"1,014779",,,
01/01/2009 6.00,"0,886985","13,920428","15,787316",
01/01/2009 7.00,"0,897711",,,
01/01/2009 8.00,"0,980516","7,530234","10,717823",
01/01/2009 9.00,"1,078124","9,371939","11,983252",
01/01/2009 10.00,"0,941658",,,
01/01/2009 11.00,"1,033043","5,182711","6,86185",
01/01/2009 12.00,"1,233805","5,886968","5,92868",
01/01/2009 13.00,"1,179409","10,488633","7,966338",
01/01/2009 14.00,"1,236073","10,351155","6,323233",
01/01/2009 15.00,"1,328256","9,388799","4,946191",
01/01/2009 16.00,"1,329206","12,684412","6,131147",
01/01/2009 17.00,"1,103437","14,113678","7,858616",
01/01/2009 18.00,"1,363009","13,769979","7,539339",
01/01/2009 19.00,"1,080086","11,41597","5,401744",
01/01/2009 20.00,"0,93323","10,546997","4,572404",
01/01/2009 21.00,"0,820177","9,694886","3,904",
01/01/2009 22.00,"0,908529","10,412111","4,262211",
01/01/2009 23.00,"0,845368","9,91537","3,377062",
02/01/2009 0.00,"0,792596","11,863426","5,112317",
02/01/2009 1.00,,"13,528742","6,816425",
02/01/2009 2.00,"0,501703",,,
02/01/2009 3.00,"0,518047","11,571607","3,826128",
02/01/2009 4.00,"0,47034","18,43001","10,860586",
02/01/2009 5.00,"0,457241","19,370299","11,945615",
02/01/2009 6.00,"0,494974","16,974803","9,545849",
02/01/2009 7.00,"0,435251","12,508022","5,467935",
02/01/2009 8.00,"0,495936","15,029343","7,404361",
02/01/2009 9.00,"0,546167","19,602474","11,378443",
02/01/2009 10.00,"0,54905","14,070877","6,648999",
02/01/2009 11.00,"0,511437","12,855613","6,00785",
02/01/2009 12.00,"0,645305","14,034561","6,442637",
02/01/2009 13.00,"0,574166","14,622093","7,195403",
02/01/2009 14.00,"0,462529","18,631041","9,421253",
02/01/2009 15.00,"0,765955","19,66861","10,568572",
02/01/2009 16.00,"0,560947","30,541158","18,136462",
02/01/2009 17.00,"0,820752","41,712001","24,017109",
02/01/2009 18.00,"0,867137","49,569057","28,933453",
02/01/2009 19.00,"0,849352","45,351281","28,846496",
02/01/2009 20.00,"0,9694","27,54125","18,653018",
02/01/2009 21.00,"0,713802","20,519431","12,60233",
02/01/2009 22.00,"0,688206","20,625777","11,997523",
02/01/2009 23.00,"0,971202","18,85412","10,399842",
03/01/2009 0.00,"0,824957","18,760739","10,678884",
03/01/2009 1.00,"0,801885","16,807495","8,948827",
03/01/2009 2.00,"0,716445","13,318633","6,072743",
03/01/2009 3.00,"0,569238","12,163027","5,423808",
03/01/2009 4.00,"0,479233","11,926979","5,207062",
03/01/2009 5.00,"0,532828","12,583248","5,68468",
03/01/2009 6.00,"0,636172","17,551958","9,292765",
03/01/2009 7.00,"0,714162","24,284541","15,227925",
03/01/2009 8.00,"0,800082","44,880509","21,605656",
03/01/2009 9.00,"0,754539","57,309387","23,14235",
03/01/2009 10.00,"0,796838","22,486936","12,57508",
03/01/2009 11.00,"0,787585","17,497485","9,095487",
03/01/2009 12.00,"0,832407","26,504965","14,835974",
03/01/2009 13.00,"0,599417","14,792105","6,769613",
