,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
01/01/2009 1.00,"2,83914","49,514565","39,905676","55,502102",
01/01/2009 2.00,"2,873455","31,25965","32,34167","55,502102",
01/01/2009 3.00,"2,017378","21,350787","23,04891","55,502102",
01/01/2009 4.00,"2,010154","14,264128","15,591334","55,502102",
01/01/2009 5.00,"1,596565","9,174798","10,254486","55,502102",
01/01/2009 6.00,"1,975839","7,675496","9,421253","55,502102",
01/01/2009 7.00,"2,067948","19,289899","19,565418","55,502102",
01/01/2009 8.00,"2,170894","24,175595","23,648514","55,502102",
01/01/2009 9.00,"2,026409","30,676012","28,071659","55,502102",
01/01/2009 10.00,"2,221464","30,062566","26,069049","55,502102",
01/01/2009 11.00,"2,253973","22,197708","18,280525","55,502102",
01/01/2009 12.00,"2,28287","32,3167","23,817249","55,502102",
01/01/2009 13.00,"2,517659","42,067365","29,155379","55,502102",
01/01/2009 14.00,"2,414714","37,262048","24,294846","55,502102",
01/01/2009 15.00,"2,615187","29,070373","16,623136","55,502102",
01/01/2009 16.00,"2,243137","30,215602","16,050777","55,502102",
01/01/2009 17.00,"2,163669","30,255812","16,580313","55,502102",
01/01/2009 18.00,"2,203404","39,068757","26,393515","55,502102",
01/01/2009 19.00,"2,759672","52,84523","38,963403","55,502102",
01/01/2009 20.00,"1,988481","41,549862","30,201472","55,502102",
01/01/2009 21.00,"2,221464","43,32152","31,404598","55,502102",
01/01/2009 22.00,"2,084203","38,483816","26,837386","55,502102",
01/01/2009 23.00,"1,905402","70,685108","46,125066","55,502102",
02/01/2009 0.00,"1,766335","42,00771","30,071686","55,502102",
02/01/2009 1.00,,"20,381939","10,894337","23,07176",
02/01/2009 2.00,"1,685062",,,"23,07176",
02/01/2009 3.00,"1,545994","15,837358","6,155808","23,07176",
02/01/2009 4.00,"1,791619","12,943806","4,585381","23,07176",
02/01/2009 5.00,"1,493619","11,637753","4,171362","23,07176",
02/01/2009 6.00,"1,33649","11,107292","3,855978","23,07176",
02/01/2009 7.00,"1,338297","12,771309","5,29402","23,07176",
02/01/2009 8.00,"1,502649","16,587008","8,258359","23,07176",
02/01/2009 9.00,"1,49723","20,053821","11,290184","23,07176",
02/01/2009 10.00,"1,266054","17,882687","9,287575","23,07176",
02/01/2009 11.00,"1,620043","16,577929","7,870296","23,07176",
02/01/2009 12.00,"1,215484","28,930299","15,613398","23,07176",
02/01/2009 13.00,"1,531546","26,617793","12,83725","23,07176",
02/01/2009 14.00,"1,688674","26,442711","12,102648","23,07176",
02/01/2009 15.00,"1,601982","41,369598","25,344821","23,07176",
02/01/2009 16.00,"1,58934","48,632655","32,946475","23,07176",
02/01/2009 17.00,"1,555025","51,855617","37,387781","23,07176",
02/01/2009 18.00,"1,647134","59,707494","43,635758","23,07176",
02/01/2009 19.00,"1,506261","52,169472","40,426103","23,07176",
02/01/2009 20.00,"1,845802","45,624966","35,418919","23,07176",
02/01/2009 21.00,"1,668807","38,630372","29,547341","23,07176",
02/01/2009 22.00,"1,601982","30,528177","23,103421","23,07176",
02/01/2009 23.00,"1,508068","21,36247","14,881402","23,07176",
03/01/2009 0.00,"1,338297","16,27314","9,800233","23,07176",
03/01/2009 1.00,"1,490007","17,541582","10,415415",,
03/01/2009 2.00,"1,325654","16,740052","8,750254",,
03/01/2009 3.00,"1,11615","15,162931","6,747637",,
03/01/2009 4.00,"1,632686","15,873673","6,516618",,
03/01/2009 5.00,"1,222709","17,644042","6,926743",,
03/01/2009 6.00,"1,154077","20,528512","9,157788",,
03/01/2009 7.00,"1,195618","27,433604","17,917115",,
03/01/2009 8.00,"1,226321","37,613532","29,064541",,
03/01/2009 9.00,"1,211872","34,869142","25,813356",,
03/01/2009 10.00,"1,331072","16,411918","12,807394",,
03/01/2009 11.00,"1,128793","13,642877","12,004011",,
03/01/2009 12.00,"0,946379","13,220061","11,918354",,
03/01/2009 13.00,"0,966247","11,183812","10,902116",,
03/01/2009 14.00,"0,973471","14,900942","14,488137",,
03/01/2009 15.00,"1,184781","12,198047","12,684102",,
03/01/2009 16.00,"1,054744","11,985343","12,933292",,
03/01/2009 17.00,"0,993337","15,44697","16,584209",,
03/01/2009 18.00,"0,968053","16,688172","18,332442",,
03/01/2009 19.00,"0,984308","13,724586","16,698418",,
03/01/2009 20.00,"0,671858","7,221555","11,020232",,
03/01/2009 21.00,"0,827179","5,421354","9,833976",,
03/01/2009 22.00,"0,588778","2,482409","7,492615",,
03/01/2009 23.00,"0,610451","0,378717","5,871574",,
04/01/2009 0.00,"0,585166",,,,
04/01/2009 1.00,,,,,
04/01/2009 2.00,"0,688112",,,,
04/01/2009 3.00,"0,763967",,,,
04/01/2009 4.00,"0,872331",,,,
04/01/2009 5.00,"0,541821",,,,
04/01/2009 6.00,"0,718816",,,,
04/01/2009 7.00,"0,485832",,,,
04/01/2009 8.00,"0,590584",,,,
04/01/2009 9.00,"0,651991",,,,
04/01/2009 10.00,"0,511118",,,,
04/01/2009 11.00,"0,6845",,,,
04/01/2009 12.00,"0,601421",,,,
04/01/2009 13.00,"0,801894",,,,
04/01/2009 14.00,"0,711591",,,,
04/01/2009 15.00,"0,870525",,,,
04/01/2009 16.00,"1,101702",,,,
04/01/2009 17.00,"0,875943",,,,
04/01/2009 18.00,"0,718816",,,,
04/01/2009 19.00,"0,795283",,,,
04/01/2009 20.00,"0,69353",,,,
04/01/2009 21.00,"0,655603",,,,
04/01/2009 22.00,"0,570718",,,,
04/01/2009 23.00,"0,733264",,,,
05/01/2009 0.00,"0,704367",,,,
05/01/2009 1.00,"0,402753",,,,
05/01/2009 2.00,"0,512923",,,,
05/01/2009 3.00,"0,514729",,,,
05/01/2009 4.00,"0,530984",,,,
05/01/2009 5.00,"0,724233",,,,
05/01/2009 6.00,"0,662827",,,,
05/01/2009 7.00,"0,834404","3,193151","9,079914",,
05/01/2009 8.00,"0,727846","12,802436","17,512185",,
05/01/2009 9.00,"0,648378","13,059237","17,85872",,
05/01/2009 10.00,"0,910259","23,106882","22,865895",,
05/01/2009 11.00,"0,922901","14,411983","16,630927",,
05/01/2009 12.00,"1,269666","3,766414","9,118849",,
05/01/2009 13.00,"1,426794","2,10888","6,389426",,
05/01/2009 14.00,"1,789814","4,373398","5,868978",,
05/01/2009 15.00,"2,261198","16,063031","13,648422",,
05/01/2009 16.00,"1,96139","16,445638","13,631548",,
05/01/2009 17.00,"1,600176","27,774705","25,118996",,
