,TARANTO,,,,
,Talsano,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
01/01/2009 1.00,"0,424012","29,1923","27,636889","44,55365",
01/01/2009 2.00,"0,330188","25,930409","25,00089","44,55365",
01/01/2009 3.00,"0,339209","30,770713","29,082704","44,55365",
01/01/2009 4.00,"0,505206","36,789956","31,843288","44,55365",
01/01/2009 5.00,"0,317558","26,228701","24,307828","44,55365",
01/01/2009 6.00,"0,956282","18,014978","16,088424","44,55365",
01/01/2009 7.00,"0,575573","15,541648","13,053991","44,55365",
01/01/2009 8.00,"1,051911","14,404199","11,600373","44,55365",
01/01/2009 9.00,"1,401946","16,657046","12,9255","44,55365",
01/01/2009 10.00,"1,567941","17,97088","12,895655","44,55365",
01/01/2009 11.00,"1,930608","18,082421","11,813228","44,55365",
01/01/2009 12.00,"2,047887","22,397455","15,801588","44,55365",
01/01/2009 13.00,"2,749763","37,452713","31,019122","44,55365",
01/01/2009 14.00,"3,485919","31,887419","27,020383","44,55365",
01/01/2009 15.00,"1,981128","24,958979","21,96387","44,55365",
01/01/2009 16.00,"2,764197","35,372382","32,209282","44,55365",
01/01/2009 17.00,"2,598201","39,914355","37,24373","44,55365",
01/01/2009 18.00,"3,345184","40,06225","37,420231","44,55365",
01/01/2009 19.00,"3,437202","22,237916","20,344138","44,55365",
01/01/2009 20.00,"3,411942","19,912447","17,684801","44,55365",
01/01/2009 21.00,"3,274815","19,157608","16,428458","44,55365",
01/01/2009 22.00,"3,603199","17,077265","14,895673","44,55365",
01/01/2009 23.00,"2,803891","13,555979","11,663966","44,55365",
02/01/2009 0.00,"2,812913","14,754384","12,852821","44,55365",
02/01/2009 1.00,,"21,968153","19,849638","28,67168",
02/01/2009 2.00,"3,411942",,,"28,67168",
02/01/2009 3.00,"2,17058","9,558703","7,517276","28,67168",
02/01/2009 4.00,"1,972106","9,323952","7,339468","28,67168",
02/01/2009 5.00,"1,990149","8,598942","6,643808","28,67168",
02/01/2009 6.00,"2,024431","10,238318","8,33753","28,67168",
02/01/2009 7.00,"3,650111","58,064245","54,506721","28,67168",
02/01/2009 8.00,"3,671762","77,002664","65,393288","28,67168",
02/01/2009 9.00,"3,868432","86,984182","66,395231","28,67168",
02/01/2009 10.00,"3,686197","40,134848","33,928955","28,67168",
02/01/2009 11.00,"3,195426","31,598191","27,700482","28,67168",
02/01/2009 12.00,"3,731305","33,931442","28,677782","28,67168",
02/01/2009 13.00,"3,955039","28,370006","24,424652","28,67168",
02/01/2009 14.00,"3,680784","23,466148","20,507653","28,67168",
02/01/2009 15.00,"3,33977","25,85259","23,024226","28,67168",
02/01/2009 16.00,"3,325336","41,925991","38,727196","28,67168",
02/01/2009 17.00,"3,567113","50,388752","47,137413","28,67168",
02/01/2009 18.00,"3,695219","63,664571","57,716358","28,67168",
