NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


01/01/2010 1.00,"43,20533595",,"0,95927149","1,27266465",
01/01/2010 2.00,"42,82866",,"1,01180833","1,39518467","54,70085144"
01/01/2010 3.00,"36,73978035",,"0,99615772","1,32928816",
01/01/2010 4.00,"45,24261",,"0,88428044","1,12784792","96,21488953"
01/01/2010 5.00,"61,2842853",,"0,82808666","0,7398675",
01/01/2010 6.00,"74,9943642",,"0,82285698","0,53136216","48,84004974"
01/01/2010 7.00,"67,5257226",,"0,80921133","0,50034569",
01/01/2010 8.00,"70,84961205",,"0,81137357",,"31,25761986"
01/01/2010 9.00,"70,4499936",,"0,8209289",,
01/01/2010 10.00,"77,48123145",,"0,82600248",,"16,11721039"
01/01/2010 11.00,"67,193595",,"0,89065066","0,54030261",
01/01/2010 12.00,"70,47969915",,"0,88557825","0,57153976","9,76801014"
01/01/2010 13.00,"71,3990949",,"0,86674253","0,83457156",
01/01/2010 14.00,"68,72054805",,"0,91802","1,10533052","7,81440783"
01/01/2010 15.00,"74,6582067",,"0,93343528","1,06106864",
01/01/2010 16.00,"83,61465945",,"0,85879839","1,11184237","10,25640965"
01/01/2010 17.00,"82,7182062",,"0,85065854","0,71668804",
01/01/2010 18.00,"84,8594397",,"0,84224374","0,85730964","10,7448101"
01/01/2010 19.00,"79,657557",,"0,87869659","0,89594242",
01/01/2010 20.00,"77,73503535",,"0,90673581","0,98005036","12,21000957"
01/01/2010 21.00,"66,66976785",,"0,95821017","1,17597236",
01/01/2010 22.00,"58,0845846",,"1,00559538","1,25412067","6,83760691"
01/01/2010 23.00,"64,4772429",,"0,93363217","1,43293368",
02/01/2010 0.00,"74,58800265",,"0,88593241","0,82750748","7,32600689"
02/01/2010 1.00,"69,83571315",,"0,87818632","0,9747528",
02/01/2010 2.00,"71,16554025",,"0,82120501","0,71083724","11,23320961"
02/01/2010 3.00,"69,7722522",,"0,81196423","0,64902601",
02/01/2010 4.00,"70,96707765",,"0,79100355",,"6,34920597"
02/01/2010 5.00,"68,9892147",,"0,78966729",,
02/01/2010 6.00,"63,2014005",,"0,80421698",,"4,39560509"
02/01/2010 7.00,"56,22147405",,"0,88758438",,
02/01/2010 8.00,"51,26936535",,"0,86237727",,"2,44200301"
02/01/2010 9.00,"47,7632127",,"0,90020715",,
02/01/2010 10.00,"46,78169265",,"0,94598","1,16361072","1,46520102"
02/01/2010 11.00,"49,4251674",,"0,96823849","1,06570413",
02/01/2010 12.00,"51,77025",,"0,94983382","1,27586515","2,44200301"
02/01/2010 13.00,"47,8941645",,"0,99368093","1,5522532",
02/01/2010 14.00,"52,7868621",,"0,93032939","1,70722468","6,83760691"
02/01/2010 15.00,"59,3509707",,"0,85934944","1,12100452",
02/01/2010 16.00,"55,84884795",,"0,89300978","1,19230843","7,32600689"
02/01/2010 17.00,"57,6971157",,"0,91282993","1,36129823",
02/01/2010 18.00,"52,0713354",,"0,97614185","1,50920563","12,69841003"
02/01/2010 19.00,"50,25410985",,"1,04271694","1,67808458",
02/01/2010 20.00,"45,788043",,"1,06155383","1,73890321","16,60560989"
02/01/2010 21.00,"42,55325025",,"1,11401261","1,98637186",
02/01/2010 22.00,"35,93244375",,"1,07980006","1,92047534","21,48962021"
02/01/2010 23.00,"37,22851545",,"1,08707432","1,85281331",
03/01/2010 0.00,"47,3244324",,"0,98868541","1,8321733","21,0012207"
03/01/2010 1.00,"57,0774288",,"0,76390914","1,29529188",
03/01/2010 2.00,"60,317628",,"0,76737036","1,20158042","17,58241081"
03/01/2010 3.00,"56,5400955",,"0,78451566","1,11791386",
03/01/2010 4.00,"59,8545486",,"0,78601036","0,92662735","13,18680954"
03/01/2010 5.00,"64,13296575",,"0,77936403",,
03/01/2010 6.00,"45,1697127",,"0,80225046",,"14,16361046"
03/01/2010 7.00,"34,6187961",,"0,84275401",,
03/01/2010 8.00,"33,6602385",,"0,85832657",,"11,72161007"
03/01/2010 9.00,"35,7177618",,"0,86693825",,
03/01/2010 10.00,"35,3140935",,"0,88671878",,"6,83760691"
03/01/2010 11.00,"33,2390142",,"0,91719402","1,62885568",
03/01/2010 12.00,"36,64797045",,"0,952391","1,83250382","3,90720391"
03/01/2010 13.00,"42,24406515",,"0,97044034","2,04100916",
03/01/2010 14.00,"41,64329085",,"0,99419236","2,10006127","3,90720391"
03/01/2010 15.00,"47,05576575",,"0,88282535","2,12931222",
03/01/2010 16.00,"47,0422596",,"0,87488238","1,49452523","10,7448101"
03/01/2010 17.00,"40,66717725",,"0,91188628","1,73835098",
03/01/2010 18.00,"36,04448295",,"0,94358127","1,87731793","12,69841003"
03/01/2010 19.00,"22,56526545",,"1,04464502","2,2157379",
03/01/2010 20.00,"17,97769712",,"1,08986799","2,36375615","8,30280876"
03/01/2010 21.00,"14,47828757",,"1,14177456","2,30856661",
03/01/2010 22.00,"10,35513329",,"1,23178829","3,09424081","7,32600689"
03/01/2010 23.00,"16,79907705",,"1,07433388","3,07304856",
04/01/2010 0.00,"21,25028115",,"1,07079461","2,53296664","13,18680954"
04/01/2010 1.00,"25,8338136",,"0,95132852","2,4383714",
04/01/2010 2.00,"41,21396685",,"0,83850759","1,61472751","13,67521"
04/01/2010 3.00,"48,0777843",,"0,77425201","1,10731774",
04/01/2010 4.00,"45,31684395",,"0,79843625","1,06283517","13,67521"
04/01/2010 5.00,"52,68697245",,"0,74916374","0,8037768",
04/01/2010 6.00,"54,8686845",,"0,96756862",,"7,81440783"
04/01/2010 7.00,"44,3826054",,"0,88534292",,
04/01/2010 8.00,"25,24111905",,"1,01271353",,"10,25640965"
04/01/2010 9.00,"6,56140139",,"1,04248161","2,1207023",
04/01/2010 10.00,"19,53974022",,"1,06639091","2,15414736","5,37240601"
04/01/2010 11.00,"30,033927",,"1,03862779","2,24708591",
04/01/2010 12.00,"29,32648005",,"1,14842089","2,27755014","41,02563095"
04/01/2010 13.00,"27,16230405",,"1,17284162","3,01101563",
04/01/2010 14.00,"19,24137002",,"1,29376279","2,92745891","32,72283173"
04/01/2010 15.00,"24,4040769",,"1,08113748","2,77999289",
04/01/2010 16.00,"21,4433373",,"1,19352619","2,87293144","23,44322014"
04/01/2010 17.00,"24,8374707",,"1,17854313","2,88827492",
04/01/2010 18.00,"17,63612718",,"1,32978343","3,03949265","20,51280975"
04/01/2010 19.00,"21,1696233",,"1,3475823","2,8392667",
04/01/2010 20.00,,"24,88928792",,"3,29027264","23,44322014"
04/01/2010 21.00,"19,5559476","45,46575392","1,01971285","3,21786428",
04/01/2010 22.00,"23,5197732","45,39956048","0,95577183","3,33155471","24,90842056"
04/01/2010 23.00,"25,8581127","35,200876","0,71027138","2,53462232",
05/01/2010 0.00,"32,32636155","25,03203784","0,56941356","2,4150821","25,39682007"
05/01/2010 1.00,"26,6546763","24,86462312","0,53524061","1,91639209",
05/01/2010 2.00,"29,12801745","18,16631734","0,4719683","1,9326173","14,65200996"
05/01/2010 3.00,"34,73085525","13,43297397","0,35084907","1,51417265",
05/01/2010 4.00,"43,7696616","7,15387228","0,35541121","1,44507564","11,23320961"
05/01/2010 5.00,"48,3842562","6,54646621","0,43968265","1,20345678",
05/01/2010 6.00,"40,74817425","9,20840423","0,6373249",,"6,83760691"
05/01/2010 7.00,"32,89745025","19,50960824","0,45706445",,
05/01/2010 8.00,"21,057225","28,60508784","0,63740412","2,28770489","8,79120922"
05/01/2010 9.00,"12,78933054",,"0,8090925","2,46585583",
05/01/2010 10.00,"9,2075634",,"0,94877134","2,85924465","11,23320961"
05/01/2010 11.00,"11,88747483","95,772558","1,19332814","3,77019901",
05/01/2010 12.00,"22,06168755","73,2402116","0,89297134","3,18232318","23,93161964"
05/01/2010 13.00,,"77,18315712","1,05077991","3,52030177",
05/01/2010 14.00,,"51,46450096","0,86744968","3,10251919","30,76922989"
05/01/2010 15.00,,"26,24686528","0,52171263","2,24531938",
05/01/2010 16.00,,"34,14830088","0,59355818","1,65501495","23,44322014"
05/01/2010 17.00,,"35,65902944","0,70378349","2,19885062",
05/01/2010 18.00,,"37,12562904","0,73764189","2,18571504","25,39682007"
05/01/2010 19.00,,"57,70079488","0,98070283","2,53837505",
05/01/2010 20.00,,"62,62102096","1,05014964","2,83352675","25,88521957"
05/01/2010 21.00,,"52,19781032","1,04904872","2,74533455",
05/01/2010 22.00,,"52,76886736","0,90807207","3,12967207","20,51280975"
05/01/2010 23.00,,"47,30222992","0,71668121","2,32699973",
06/01/2010 0.00,,"43,167224","0,76913883","1,96926287","23,44322014"
06/01/2010 1.00,,"29,28646728","0,4922591","1,54143639",
06/01/2010 2.00,,"26,93342624","0,41007185","1,80800023","26,37360954"
06/01/2010 3.00,,"15,57576193","0,38289939","1,25997045",
06/01/2010 4.00,,,"0,35478211","1,15842199","16,60560989"
06/01/2010 5.00,,"22,91520528",,"0,97166214",
06/01/2010 6.00,,"16,64780312","0,27766727","0,41480277","19,04759979"
