,Bari,,,
,ENAIP,,,
Parm,SO2,NO2,CO,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3


01/01/2010 1.00,"2,17631288","3,22780781","1,13181381","8,69999981"
01/01/2010 2.00,"2,11129403","5,15514778","1,15946043","8,69999981"
01/01/2010 3.00,"1,92888085","5,53802005","1,17601042","8,69999981"
01/01/2010 4.00,"1,9198509","6,68793509","1,16305562","8,69999981"
01/01/2010 5.00,"1,79523179","3,47959526","1,17435146","8,69999981"
01/01/2010 6.00,"1,95055413","5,6587227","1,22767234","8,69999981"
01/01/2010 7.00,"1,88192291","3,11489274","1,19879898","8,69999981"
01/01/2010 8.00,"2,19256657","8,96570069","1,23880974","8,69999981"
01/01/2010 9.00,"2,06975467","2,98251159","1,21025326","8,69999981"
01/01/2010 10.00,"1,96319646","1,76380853","1,20211807","8,69999981"
01/01/2010 11.00,"1,86747439","1,96497961","1,18047237","8,69999981"
01/01/2010 12.00,"1,8114865","2,09087142","1,18284314","8,69999981"
01/01/2010 13.00,"1,92888085","1,72746906","1,14148914","8,69999981"
01/01/2010 14.00,"1,88192291","1,34070205","1,15246926","8,69999981"
01/01/2010 15.00,"1,8837291","1,08112702","1,1597377","8,69999981"
01/01/2010 16.00,"1,90179","1,58859476","1,20827859","8,69999981"
01/01/2010 17.00,"2,01376679","1,49644592","1,18307964","8,69999981"
01/01/2010 18.00,"2,00292963","1,56912678","1,16886081","8,69999981"
01/01/2010 19.00,"1,89276006","1,98055285","1,13904147","8,69999981"
01/01/2010 20.00,"1,77175333","2,18431851","1,09974253","8,69999981"
01/01/2010 21.00,"1,91081994","2,47244735","1,12975992","8,69999981"
01/01/2010 22.00,"2,20520992","2,9202129","1,12833745","8,69999981"
01/01/2010 23.00,"1,86386302","2,53604238","1,13363005","8,69999981"
02/01/2010 0.00,"2,00292963","1,99093692","1,09800435","8,69999981"
02/01/2010 1.00,,"2,2180634","1,07146332","9,19999981"
02/01/2010 2.00,"2,34066415",,"1,08346981","9,19999981"
02/01/2010 3.00,"2,12213017",,,"9,19999981"
02/01/2010 4.00,"2,34608272","1,7741926","1,07703085","9,19999981"
02/01/2010 5.00,"2,09503932","2,12072348","1,08726072","9,19999981"
02/01/2010 6.00,"2,2431369","2,51787265","1,04535567","9,19999981"
02/01/2010 7.00,"2,12393636","3,73138272","1,05025216","9,19999981"
02/01/2010 8.00,"2,37317357","6,7307658","1,09753019","9,19999981"
02/01/2010 9.00,"2,07517223","6,07793443","1,07422786","9,19999981"
02/01/2010 10.00,"2,17631288","6,14282962","1,07331916","9,19999981"
02/01/2010 11.00,"2,11490642","5,26806286","1,05767787","9,19999981"
02/01/2010 12.00,"2,46528326","4,54385079","1,05159657","9,19999981"
02/01/2010 13.00,"2,37497976","5,20706432","1,05447878","9,19999981"
02/01/2010 14.00,"2,3334404","4,94748929","1,04539528","9,19999981"
02/01/2010 15.00,"2,07336604","5,46274461","1,08694617","9,19999981"
02/01/2010 16.00,"2,03543906","4,9565732","1,06000904","9,19999981"
02/01/2010 17.00,"2,28106388","8,10651098","1,07162059","9,19999981"
02/01/2010 18.00,"2,23591315","5,52893614","1,0804676","9,19999981"
02/01/2010 19.00,"2,6549202","4,13112647","1,08165241","9,19999981"
02/01/2010 20.00,"2,24855547","2,67102002","1,09144773","9,19999981"
02/01/2010 21.00,"2,39665305","2,59963742","1,08678656","9,19999981"
02/01/2010 22.00,"2,23952451","3,07076569","1,08694617","9,19999981"
02/01/2010 23.00,"2,08962075","3,07466043","1,06522241","9,19999981"
03/01/2010 0.00,"2,27745251","3,39653034","1,06944787","9,19999981"
03/01/2010 1.00,"2,48153797","3,38225534","1,00202699","15,30000019"
03/01/2010 2.00,"2,41110157","3,99485058","0,99709088","15,30000019"
03/01/2010 3.00,"2,38039834","4,44650896","1,01170464","15,30000019"
03/01/2010 4.00,"2,08600938","4,49712725","0,99065309","15,30000019"
03/01/2010 5.00,"2,05891853","4,20121274","1,01071672","15,30000019"
03/01/2010 6.00,"2,20159753","4,86182978","1,05092437","15,30000019"
03/01/2010 7.00,"2,12754875","5,15385145","1,06119384","15,30000019"
03/01/2010 8.00,"2,23230076","6,38163842","1,08737955","15,30000019"
03/01/2010 9.00,"2,16728192","5,17591402","1,10309889","15,30000019"
03/01/2010 10.00,"2,36956118","5,6587227","1,08880201","15,30000019"
03/01/2010 11.00,"2,35330749","6,5490627","1,08726072","15,30000019"
03/01/2010 12.00,"2,32079807","6,75672311","1,04310372","15,30000019"
03/01/2010 13.00,"2,25577922","5,60810632","1,04567138","15,30000019"
03/01/2010 14.00,"2,13838488","4,66844627","1,0177475","15,30000019"
03/01/2010 15.00,"2,27203394","5,26287178","1,00119867","15,30000019"
03/01/2010 16.00,"2,29551341","5,7755306","0,99768387","15,30000019"
03/01/2010 17.00,"2,68562343","6,85925411","1,01739217","15,30000019"
03/01/2010 18.00,"2,61879941","8,73597771","0,99551114","15,30000019"
03/01/2010 19.00,"2,52849591","13,93005955","1,08951266","15,30000019"
03/01/2010 20.00,"2,71632666","15,68607668","1,14196329","15,30000019"
03/01/2010 21.00,"2,5303021","9,80542432","1,04373632","15,30000019"
03/01/2010 22.00,"2,76147841","7,09806291","1,01857698","15,30000019"
03/01/2010 23.00,"2,66033877","7,19929566","1,01225802","15,30000019"
04/01/2010 0.00,"2,57725903","7,85861636","1,02789814","15,30000019"
04/01/2010 1.00,,"7,80150874","1,03287386","19,20000076"
04/01/2010 2.00,"2,25758542",,"1,02138113","19,20000076"
04/01/2010 3.00,"2,29731859",,,"19,20000076"
04/01/2010 4.00,"2,24674928","5,81706306","1,04349982","19,20000076"
04/01/2010 5.00,"2,65130883","7,91442573","1,00645166","19,20000076"
04/01/2010 6.00,"2,55558676","13,82493397","1,03457243","19,20000076"
04/01/2010 7.00,"2,64950264","19,8717028","1,01786633","19,20000076"
04/01/2010 8.00,"2,84997571","28,89580744","1,0448419","19,20000076"
04/01/2010 9.00,"2,63324793","29,38900784","1,09729253","19,20000076"
04/01/2010 10.00,"2,68020587","27,60442352","1,15357601","19,20000076"
04/01/2010 11.00,"2,62602316","20,54141904","1,13951563","19,20000076"
04/01/2010 12.00,"2,27384013","17,21626749","1,11411863","19,20000076"
04/01/2010 13.00,"2,34066415","19,37852152","1,09614734","19,20000076"
04/01/2010 14.00,"2,88067894","24,02101048","1,06695943","19,20000076"
04/01/2010 15.00,"2,66756252","28,85687912","1,61608101","19,20000076"
04/01/2010 16.00,"2,57364766","26,07553096","1,4855847","19,20000076"
04/01/2010 17.00,"2,68381724","25,22153616","1,53922014","19,20000076"
04/01/2010 18.00,"2,84636333","29,88999008","1,54648857","19,20000076"
04/01/2010 19.00,"2,70187814","30,4130368","1,5647348","19,20000076"
04/01/2010 20.00,"2,48334416","24,0690208","1,47642081","19,20000076"
04/01/2010 21.00,"2,45083474","19,79382704","1,44115044","19,20000076"
04/01/2010 22.00,"2,55197437","18,38565242","1,41373915","19,20000076"
