,Comune Bari,,NetC,
,Kennedy,,Stat,
Parm,O3,NO2,Parm,PM10



01/01/2010 1.00,"75,1546824","8,07276418",02/01/2010 1.00,
01/01/2010 2.00,"70,6881168","13,41674874",02/01/2010 2.00,
01/01/2010 3.00,"59,22773955","21,37594968",02/01/2010 3.00,
01/01/2010 4.00,"46,9801353","34,89004216",02/01/2010 4.00,
01/01/2010 5.00,"74,23400985","11,03515389",02/01/2010 5.00,
01/01/2010 6.00,"50,6594739","22,23577608",02/01/2010 6.00,5
01/01/2010 7.00,"64,3430193","19,94017152",02/01/2010 7.00,5
01/01/2010 8.00,"52,52110815","30,86987096",02/01/2010 8.00,5
01/01/2010 9.00,"70,5327063","11,95502474",02/01/2010 9.00,5
01/01/2010 10.00,"77,15991675","9,26356352",02/01/2010 10.00,5
01/01/2010 11.00,"91,22694105","6,47313718",02/01/2010 11.00,5
01/01/2010 12.00,"88,24525395","6,7521802",02/01/2010 12.00,5
01/01/2010 13.00,"84,79905105","7,27457302",02/01/2010 13.00,5
01/01/2010 14.00,"84,24663555","8,50755107",02/01/2010 14.00,5
01/01/2010 15.00,"90,2048826","6,4893605",02/01/2010 15.00,5
01/01/2010 16.00,"94,14438915","3,97960047",02/01/2010 16.00,5
01/01/2010 17.00,"96,6429072","6,30116808",02/01/2010 17.00,5
01/01/2010 18.00,"102,19233885","6,25412141",02/01/2010 18.00,5
01/01/2010 19.00,"100,9033893","7,72396185",02/01/2010 19.00,5
01/01/2010 20.00,"105,20438985","7,78074442",02/01/2010 20.00,5
01/01/2010 21.00,"100,07731965","9,5815425",02/01/2010 21.00,5
01/01/2010 22.00,"94,53125955","11,15683166",02/01/2010 22.00,5
01/01/2010 23.00,"94,68667005","10,04552946",02/01/2010 23.00,5
02/01/2010 0.00,"96,23578755",,03/01/2010 0.00,5
02/01/2010 1.00,"92,0175396","6,95010662",03/01/2010 1.00,
02/01/2010 2.00,"89,97850995","5,79986654",03/01/2010 2.00,
02/01/2010 3.00,"89,52915615",,03/01/2010 3.00,
02/01/2010 4.00,"90,4785567","3,88874988",03/01/2010 4.00,
02/01/2010 5.00,"87,4327104","3,17005202",03/01/2010 5.00,
02/01/2010 6.00,,"5,89882974",03/01/2010 6.00,"5,19999981"
02/01/2010 7.00,"71,1645228","10,61334757",03/01/2010 7.00,"5,19999981"
02/01/2010 8.00,"54,66824685","23,07615744",03/01/2010 8.00,"5,19999981"
02/01/2010 9.00,"54,68851605","25,14626072",03/01/2010 9.00,"5,19999981"
