,Comune Modugno,,,,
,Enaip,,,,
Parm,CO,NO2,O3,SO2,PM10



01/01/2010 1.00,"0,39343099","11,1468491","53,07751365","8,07132083","15,30000019"
01/01/2010 2.00,"0,45718445","19,84564224","53,49905715","6,58131312","15,30000019"
01/01/2010 3.00,"0,38708873","13,94377433","49,66522575","6,38896791","15,30000019"
01/01/2010 4.00,"0,40585688","25,6178364","42,8826048","6,49733129","15,30000019"
01/01/2010 5.00,"0,36942616","12,61437602","52,088253","6,2417714","15,30000019"
01/01/2010 6.00,"0,39017015","18,20822647","43,5856428","6,37361629","15,30000019"
01/01/2010 7.00,"0,36628532","13,25897241","58,5312252","6,22913009","15,30000019"
01/01/2010 8.00,"0,39789527","18,85217469","49,42027965","6,43502174","15,30000019"
01/01/2010 9.00,"0,33339038","6,19370221","69,06851595","5,85346859","15,30000019"
01/01/2010 10.00,"0,33030896","2,46100977","76,73753535","5,78483736","15,30000019"
01/01/2010 11.00,"0,36505974","1,51032704","79,9691361","4,53684412","15,30000019"
01/01/2010 12.00,"0,46943326","10,41470606","67,44725925","4,51246358","15,30000019"
01/01/2010 13.00,"0,45256173","5,46285742","76,1948355","6,76553148","15,30000019"
01/01/2010 14.00,"0,46008879","4,12762178","79,3046814","6,83596788","15,30000019"
01/01/2010 15.00,"0,43900928","2,04338308","82,78058985","7,77602777","15,30000019"
01/01/2010 16.00,"0,43926558","0,96884099","85,38629925","6,57679764","15,30000019"
01/01/2010 17.00,"0,43537332","2,4558206","86,8945392","6,751085","15,30000019"
01/01/2010 18.00,"0,34429595","2,12184965","91,12623345","15,18722712","15,30000019"
01/01/2010 19.00,"0,32940026","3,14970261","90,84134745","14,98855617","15,30000019"
01/01/2010 20.00,"0,33303506","4,93823138","91,49566755","6,9398168","15,30000019"
01/01/2010 21.00,"0,33542564","3,99403416","90,18842385","5,32248272","15,30000019"
01/01/2010 22.00,"0,35014425","8,17937157","83,078982","4,23342522","15,30000019"
01/01/2010 23.00,"0,34076017","6,8337595","82,43956455","3,9679333","15,30000019"
02/01/2010 0.00,"0,33149376","1,62121922","85,96887915","4,86645077","15,30000019"
02/01/2010 1.00,,"1,95843101","81,43540125","4,28399351",
02/01/2010 2.00,"0,34569861","5,15223198","70,6004166","3,48300228",
02/01/2010 3.00,"0,32655533",,"77,69565405","4,06455746",
02/01/2010 4.00,"0,32248482","0,26263806",,"4,66507562",
02/01/2010 5.00,"0,33325175","0,42929945","73,64799855",,
02/01/2010 6.00,"0,32920221","1,6127873","68,3323011","4,90167151",
02/01/2010 7.00,"0,34068095","5,33186247","57,40462875","5,34144774",
02/01/2010 8.00,"0,39210638","10,80833906","54,69198735","5,20870076",
02/01/2010 9.00,"0,44886751","12,56444223","53,0064717","4,97391207",
02/01/2010 10.00,"0,40417811","10,64427034","57,41137185","5,54011564",
02/01/2010 11.00,"0,39933754","9,50682346","60,56790075","5,21682863",
02/01/2010 12.00,"0,39024937","7,28056714","63,29678145","5,77761361",
02/01/2010 13.00,"0,37875199","6,56333961","64,4328741","5,65750896",
02/01/2010 14.00,"0,38248581","8,34797746","65,8334838","5,62680675",
02/01/2010 15.00,"0,38661457","6,5419405","65,5093761","5,69272767",
02/01/2010 16.00,"0,38704912","4,94666139","65,35781595","5,77490331",
02/01/2010 17.00,"0,39673027","6,73518826","61,19512875","6,07561495",
02/01/2010 18.00,"0,40216266","7,2358206","63,2230263","5,82096019",
02/01/2010 19.00,"0,40957206","9,91731647","62,1823545","5,89681415",
02/01/2010 20.00,"0,41368102","8,6780575","64,4558565","5,62319437",
