,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,PM10,CO,O3,BENZENE



01/01/2010 1.00,"2,28241852",,,"0,47938236","47,3757837","0,1090285"
01/01/2010 2.00,"2,25532768",,"44,93283081","0,50909568","46,58195325","0,12885187"
01/01/2010 3.00,"2,18082734",,,"0,58035174","26,5628265","0,16007377"
01/01/2010 4.00,"2,23275231",,"43,9560318","0,52194913","31,81117275","0,25671317"
01/01/2010 5.00,"2,42238925",,,"0,44478069","45,02493555","0,12835659"
01/01/2010 6.00,"2,25306994",,"27,8388195","0,45851488","31,4810202","0,14917153"
01/01/2010 7.00,"2,31628259",,,"0,4321719","44,20044195","0,13931476"
01/01/2010 8.00,"2,25758542",,"18,07081032","0,44238662","39,0856011","0,15759635"
01/01/2010 9.00,"2,30047943",,,"0,41726572","49,92687","0,13925984"
01/01/2010 10.00,"2,1898583",,"15,14041042","0,43397998","56,3713983","0,12973361"
01/01/2010 11.00,"2,35014665",,,"0,44658994","58,21886805","0,12709042"
01/01/2010 12.00,"2,30725265",,"9,27960968","0,44008924","58,03844025","0,09988771"
01/01/2010 13.00,"2,15599424",,,"0,43427356","56,0754999","0,10814778"
01/01/2010 14.00,"2,28241852",,"5,37240601","0,43114553","58,90806075","0,09911682"
01/01/2010 15.00,"2,25532768",,,"0,43168376","58,89182145","0,07929346"
01/01/2010 16.00,"2,29370722",,"2,93040299","0,38686738","64,33681485","0,07929346"
01/01/2010 17.00,"2,18760056",,,"0,35896213","68,3330592","0,0896455"
01/01/2010 18.00,"2,41561603",,"2,93040299","0,35954929","67,9992957","0,1090285"
01/01/2010 19.00,"2,23049457",,,"0,3553949","69,14675985","0,1090285"
01/01/2010 20.00,"2,29144948",,"2,44200301","0,33697043","70,29420405","0,09867646"
01/01/2010 21.00,"2,32982801",,,"0,35612769","66,1157364","0,09955718"
01/01/2010 22.00,"2,29596496",,"6,34920597","0,35480891","59,96892195","0,10858814"
01/01/2010 23.00,"2,24629773",,,"0,35119158","64,15279605","0,1090285"
02/01/2010 0.00,"2,10971362",,"5,86080599","0,3544664","63,53035605","0,10941395"
02/01/2010 1.00,"2,31402485",,,"0,35466212","61,20837555","0,09873138"
02/01/2010 2.00,"2,36820756",,"5,86080599","0,35788684","57,392559","0,08920514"
02/01/2010 3.00,"2,23952451",,,"0,36766235","59,2688964","0,08920514"
02/01/2010 4.00,"2,13567559",,"3,41880298","0,36218802",,"0,09911682"
02/01/2010 5.00,"2,38401072",,,,"61,8793539","0,10941395"
02/01/2010 6.00,"2,28467626",,"2,44200301","0,38163886","57,9767349","0,11894018"
02/01/2010 7.00,"2,28919174",,,"0,40451014","51,8116662","0,11894018"
02/01/2010 8.00,"2,38626744",,"5,37240601","0,43290468","46,2876708","0,15060346"
02/01/2010 9.00,"2,46076778",,,"0,4472237","45,513531","0,36634781"
02/01/2010 10.00,"2,33885795",,"11,23320961","0,4566567","49,05060615","0,25886108"
02/01/2010 11.00,"2,42690473",,,"0,45729163","50,10404595","0,30610683"
02/01/2010 12.00,"2,39304066",,"5,86080599","0,45611964","50,3608623","0,24856395"
02/01/2010 13.00,"2,20791819",,,"0,45328519","51,09376545","0,24592077"
02/01/2010 14.00,"2,23726677",,"3,90720391","0,4657472","52,52210565","0,15924796"
02/01/2010 15.00,"2,29370722",,,"0,47449518","51,01129215","0,17775024"
02/01/2010 16.00,"2,32305581",,"2,44200301","0,48299852","51,86790525","0,18865248"
02/01/2010 17.00,"2,37272202",,,"0,47948022","50,23902765","0,23854142"
02/01/2010 18.00,"2,39078292",,"10,25640965","0,45553248","52,7076606","0,26761643"
02/01/2010 19.00,"2,286934",,,"0,44209304","53,12567295","0,25737422"
02/01/2010 20.00,"2,25984316",,"20,51280975","0,41516523","54,3871713","0,23755086"
02/01/2010 21.00,"2,51495049",,,"0,40270206","54,404049","0,20853178"
02/01/2010 22.00,"2,4856019",,"14,65200996","0,41076619","53,3112279","0,21805802"
02/01/2010 23.00,"2,69329974",,,"0,39390514","54,3140745","0,22763918"
03/01/2010 0.00,"2,51043501",,"15,62880993","0,40089514","55,0113669","0,21838855"
03/01/2010 1.00,"2,30499491",,,"0,38290987","58,48097115","0,18766193"
03/01/2010 2.00,"2,48785964",,"19,04759979","0,39195144","53,7142578","0,16849961"
03/01/2010 3.00,"2,46076778",,,"0,41140228","48,4713978","0,17907133"
03/01/2010 4.00,"2,50140506",,"12,69841003","0,39297664","53,3449833","0,21778241"
03/01/2010 5.00,"2,32757027",,,"0,39869446","49,23618105","0,19878485"
03/01/2010 6.00,"2,50591953",,"15,62880993","0,44448711","37,81328985","0,27835392"
03/01/2010 7.00,"2,47205648",,,"0,45093888","34,159986","0,43666624"
03/01/2010 8.00,"2,66846562",,"11,72161007","0,47943129","31,77566175","0,53660886"
03/01/2010 9.00,"2,63911703",,,"0,48612654","34,1337318","0,66408473"
03/01/2010 10.00,"2,63234483",,"13,18680954","0,49854078","33,6932358","0,65444865"
03/01/2010 11.00,"2,74296596",,,"0,50020091","33,0859179","0,65362285"
03/01/2010 12.00,"2,65266246",,"13,18680954","0,49111158","38,28937665","0,59470295"
03/01/2010 13.00,"2,69555748",,,"0,46403698","42,74309445","0,53385584"
03/01/2010 14.00,"2,71587511",,"6,83760691","0,44497641","44,6287884","0,4452009"
03/01/2010 15.00,"2,75651138",,,"0,42850681","42,6849801","0,32708652"
03/01/2010 16.00,"2,49011636",,"10,25640965","0,40538971","46,8031389","0,26706522"
03/01/2010 17.00,"2,48108642",,,"0,41623936","41,6352909","0,27780372"
03/01/2010 18.00,"2,60525399",,"8,30280876","0,41848781","37,81328985","0,27752811"
03/01/2010 19.00,"2,50591953",,,"0,51579094","25,5881094","0,37796703"
03/01/2010 20.00,"2,5646167",,"16,11721039","0,50645696","24,0866724","0,50549782"
03/01/2010 21.00,"2,60976845",,,"0,46652891","29,7494001","0,47532139"
03/01/2010 22.00,"2,64814799",,"12,21000957","0,44194625","31,28457255","0,41607199"
03/01/2010 23.00,"2,59396529",,,"0,4251353","31,8656562","0,37664493"
04/01/2010 0.00,"2,63008709",,"14,65200996","0,42171369","32,23303545","0,34690989"
04/01/2010 1.00,"2,52623817",,,"0,40592794","33,9537828","0,35638121"
04/01/2010 2.00,"2,61879941",,"12,21000957","0,41892818","30,9677865","0,31717484"
04/01/2010 3.00,"2,52398043",,,"0,41042484","25,29382695","0,31695415"
04/01/2010 4.00,"2,45851004",,"6,34920597","0,39693531",,"0,27752811"
04/01/2010 5.00,"2,50591953",,,,"28,28939925","0,27752811"
04/01/2010 6.00,"2,51043501",,"11,23320961","0,40001557","25,2516327","0,27752811"
04/01/2010 7.00,"2,70232969",,,"0,44043175","18,31906157","0,32780249"
04/01/2010 8.00,"2,5646167",,"20,02441978","0,4175593","15,89218596","0,4058847"
04/01/2010 9.00,"2,63234483",,,"0,45401798","24,25570875","0,39712935"
04/01/2010 10.00,"2,63234483",,"20,02441978","0,50709305","25,72738035","0,49558613"
04/01/2010 11.00,"2,70910291",,,"0,47889422","39,8424642","0,41623674"
04/01/2010 12.00,"2,8603603",,"14,16361046","0,46755528","42,38594955","0,35698734"
04/01/2010 13.00,"2,73393601",,,"0,50699519","42,5747763","0,38622609"
04/01/2010 14.00,"2,691042",,"12,21000957","0,51750232","38,02092945","0,40720578"
04/01/2010 15.00,"2,7813455",,,"0,49218687","38,34487755","0,50533205"
04/01/2010 16.00,"2,77457228",,"13,67521","0,51950612","37,9098678","0,47609228"
04/01/2010 17.00,"2,49688958",,,"0,61998504","30,9328341","0,57521012"
04/01/2010 18.00,"2,36143434",,"19,04759979","0,67873017","24,80920155","0,64442612"
04/01/2010 19.00,"2,72264833",,,"0,64305321","24,8814006","0,67399641"
04/01/2010 20.00,"2,59622303",,"24,90842056","0,59779762","29,951733","0,60444988"
04/01/2010 21.00,"2,84907262",,,"0,63088478","28,5374376","0,64453697"
04/01/2010 22.00,"2,58719308",,"19,53602028","0,52693416","37,73029785","0,63379949"
04/01/2010 23.00,"2,60525399",,,"0,58558026","31,96949595","0,50582834"
05/01/2010 0.00,"2,69329974",,"22,46640968","0,61622209","16,63820823","0,59459312"
05/01/2010 1.00,"2,61202619",,,"0,64344465","13,89478598","0,61441648"
05/01/2010 2.00,"2,64363251",,"15,62880993","0,63836175","23,24312655","0,5552759"
05/01/2010 3.00,"2,75425466",,,"0,66641379","17,41013957","0,61463615"
05/01/2010 4.00,"2,54881354",,"18,07081032","0,6351848","13,8225969","0,64404169"
05/01/2010 5.00,"2,84004267",,,"0,58421255","27,66368745","0,54481402"
05/01/2010 6.00,"2,51495049",,"15,62880993","0,58675342","25,42194585","0,42620334"
05/01/2010 7.00,"2,59396529",,,"0,54882917","35,68290915","0,45571872"
05/01/2010 8.00,"2,4923741",,"13,67521","0,53754032","34,94986635","0,37664493"
05/01/2010 9.00,"2,49688958",,,"0,54662965","33,1579374","0,33688837"
05/01/2010 10.00,"2,56148536",,"20,51280975","0,524017","35,5589997","0,42212212"
05/01/2010 11.00,,,,"0,69749715","24,56856465","0,34690989"
05/01/2010 12.00,"5,57397869",,"38,58362961","0,81317583","20,6107839","0,53297512"
05/01/2010 13.00,"5,65750896",,,"0,85931099","21,30865485","0,5159597"
05/01/2010 14.00,"3,05677046",,"32,72283173","0,68415441","29,90175825","0,49668653"
