, Brindisi,,,,
,ITC Valzani,,,,
Parm,NO2,SO2,CO,O3,NOX



01/01/2010 1.00,"7,06414021","9,08562273","0,31069851","87,5138271","20,00256008"
01/01/2010 2.00,"16,28344284","9,28800065","0,33251663","66,5727111","29,40743952"
01/01/2010 3.00,"14,02671689","8,93511182","0,37926692","65,42668335","27,48081272"
01/01/2010 4.00,"9,3101341","8,98138328","0,34805307","66,3900489","23,03690408"
01/01/2010 5.00,"5,56461023","9,38003508","0,30628316","66,29107695","19,37098824"
01/01/2010 6.00,"5,26734777","9,04545428","0,29445375","61,206999","18,67069912"
01/01/2010 7.00,"4,95191748","8,90155082","0,29663347","66,69538365","18,06121279"
01/01/2010 8.00,"4,72649268","9,67648346","0,29487898","64,4556969","19,05111446"
01/01/2010 9.00,"3,74552196","9,1278262","0,35507103","78,20753115","16,96904971"
01/01/2010 10.00,"3,15264709","9,27325517","0,30322737","92,0303874","17,6464369"
01/01/2010 11.00,"2,49123466","9,06528477","0,30266118","95,4110346","17,48281558"
01/01/2010 12.00,"2,16672238","8,89901137","0,3004535","97,978041","17,56462624"
01/01/2010 13.00,"4,43583426","8,96867282","0,33282769","95,5582257","20,25125392"
01/01/2010 14.00,"2,23525802","8,83951687","0,30495273","97,22275395","16,41192159"
01/01/2010 15.00,"1,1601538","9,2259667","0,26836241","102,6933831","14,60800886"
01/01/2010 16.00,"2,95860012","8,96206232","0,28737987","101,459336","18,19047164"
01/01/2010 17.00,"2,90740441","8,91934934","0,28890719","104,713959","17,49590514"
01/01/2010 18.00,"3,79754366","8,86138237","0,30826483","103,3750746","18,62733878"
01/01/2010 19.00,"3,94369885","8,86443235","0,29623737","108,0497985","19,41762192"
01/01/2010 20.00,"5,33835945","8,86951837","0,29793477","105,8498921","21,86618648"
01/01/2010 21.00,"3,46477344","8,67985194","0,2860774","108,8380829","19,05602257"
01/01/2010 22.00,"4,26903712","9,31647665","0,26570272","107,1126473","19,11247246"
01/01/2010 23.00,"3,68359228","8,9783333","0,23123386","108,3635721","17,9761307"
02/01/2010 0.00,"2,20800819","9,04647128","0,22560225","108,7907016","16,81524461"
02/01/2010 1.00,"1,83312618","8,60663099","0,22282839","109,9376072","15,56109689"
02/01/2010 2.00,,"7,94610576","0,21711173","111,5353428",
02/01/2010 3.00,"6,01463576","8,24102864",,"104,9634936","19,144378"
02/01/2010 4.00,"2,81244493",,"0,13573299","102,5918775","16,07486276"
02/01/2010 5.00,"2,00322726","0,00628913","0,14612013",,"15,32711971"
02/01/2010 6.00,"1,20887156","0,00211638","0,14682146","97,83342345","14,4689319"
02/01/2010 7.00,"2,49866661","0,06084406","0,14741095","95,09556525","15,95133226"
02/01/2010 8.00,"5,15091844","0,03269553","0,20824492","84,93159885","20,29544024"
02/01/2010 9.00,"6,00142384","0,05049405","0,23003042","79,41446625","21,37124616"
