,Foggia,,,
,manfredonia - viale Michelangelo - Zona 167,,,
Parm,SO2,NO2,CO,PM10



01/01/2010 1.00,"5,34234982","22,6608328","0,97011414","35,70000076"
01/01/2010 2.00,"4,28399453","5,20316958","0,85352094","35,70000076"
01/01/2010 3.00,"3,76204064","3,0941265","0,8226333","35,70000076"
01/01/2010 4.00,"4,14853928","3,50165974","0,98903374","35,70000076"
01/01/2010 5.00,"4,4140312","4,98642334","1,19477041","35,70000076"
01/01/2010 6.00,"4,15576405","6,09740433","1,19457353","35,70000076"
01/01/2010 7.00,"3,93181048","4,32450998","1,10993278","35,70000076"
01/01/2010 8.00,"3,76023444","2,71774548","0,89321482","35,70000076"
01/01/2010 9.00,"3,9119444","5,50557341","0,77073604","35,70000076"
01/01/2010 10.00,"4,21355813","5,09804208","1,23999455","35,70000076"
01/01/2010 11.00,"4,21716949","2,82027648","1,04413125","35,70000076"
01/01/2010 12.00,"3,81080477","5,03704163","0,88349872","35,70000076"
01/01/2010 13.00,"4,10880509","4,38421218","0,81287875","35,70000076"
01/01/2010 14.00,"4,27676976","5,60161699","1,28545518","35,70000076"
01/01/2010 15.00,"4,02392017","2,6217019","0,89969222","35,70000076"
01/01/2010 16.00,"4,2153633","2,34395713","0,4786985","35,70000076"
01/01/2010 17.00,"3,70605275","3,5289153","0,04838245","35,70000076"
01/01/2010 18.00,"3,79996762","8,89172158","0,26577262","35,70000076"
01/01/2010 19.00,"3,59588216","6,05327728","0,474275","35,70000076"
01/01/2010 20.00,"3,46765168","4,47765926","0,33421986","35,70000076"
01/01/2010 21.00,"3,96251371","7,38878634","0,50188317","35,70000076"
01/01/2010 22.00,"3,84873175","4,8086169","0,3826827","35,70000076"
01/01/2010 23.00,"3,78010154","4,14929621","0,41190905","35,70000076"
02/01/2010 0.00,"4,03475732","5,13957263","0,43817398","35,70000076"
02/01/2010 1.00,,"3,98836126","0,54963419","10,60000038"
02/01/2010 2.00,"3,96793229",,"0,49809109","10,60000038"
02/01/2010 3.00,"3,99141075","2,79172267",,"10,60000038"
02/01/2010 4.00,"3,80177381","5,21225349","0,67140232","10,60000038"
02/01/2010 5.00,"3,79274387","2,84883029","0,58976261","10,60000038"
02/01/2010 6.00,"3,96612609","3,82223331","0,65185129","10,60000038"
02/01/2010 7.00,"3,60671829","4,47636102","0,62519026","10,60000038"
02/01/2010 8.00,"3,81802852","7,695083","0,28962832","10,60000038"
02/01/2010 9.00,"3,66812475","6,85925411","0,21170147","10,60000038"
02/01/2010 10.00,"3,38457193","7,26419086","0,51851121","10,60000038"
02/01/2010 11.00,"2,88609752","7,62759322","0,86588276","10,60000038"
02/01/2010 12.00,"3,22021965","10,64643855","0,71476944","10,60000038"
02/01/2010 13.00,"2,87345519","6,12595814","0,69221737","10,60000038"
02/01/2010 14.00,"2,94569779","3,10710516","0,55188497","10,60000038"
02/01/2010 15.00,"2,88429133","3,27323502","0,40144269","10,60000038"
02/01/2010 16.00,"2,833721","4,71516982","0,29444676","10,60000038"
02/01/2010 17.00,"3,2111897","6,18955317","0,84159251","10,60000038"
02/01/2010 18.00,"3,3538687","10,3686957","1,12446732","10,60000038"
02/01/2010 19.00,"3,52363956","6,76061594","1,04006307","10,60000038"
02/01/2010 20.00,"3,01613419","6,12465989","1,08129708","10,60000038"
02/01/2010 21.00,"3,15339563","6,39591342","1,15969809","10,60000038"
02/01/2010 22.00,"3,02155277","4,63470138","0,64347843","10,60000038"
02/01/2010 23.00,"2,94750398","6,53867863","0,52419874","10,60000038"
03/01/2010 0.00,"3,36289966","3,46142553","0,54572445","10,60000038"
03/01/2010 1.00,"3,64825868","3,51463649","0,54679042","8,5"
03/01/2010 2.00,"3,1750679","3,99744517","0,62029377","8,5"
03/01/2010 3.00,"3,13714092","4,93580888","0,66816245","8,5"
03/01/2010 4.00,"2,72896898","2,5308513","0,6156326","8,5"
03/01/2010 5.00,"2,39304066","2,76965819","0,61772611","8,5"
03/01/2010 6.00,"2,83733339","2,57497835","0,58277145","8,5"
03/01/2010 7.00,"3,20577113","2,7527867","0,56274743","8,5"
03/01/2010 8.00,"2,84816952","3,17459494","0,34808336","8,5"
03/01/2010 9.00,"3,09740774","6,50753024","0,03811414","8,5"
03/01/2010 10.00,"2,45083474","6,68793509","0,09400152","8,5"
03/01/2010 11.00,"2,6928482","4,30374374","0,20186771","8,5"
03/01/2010 12.00,"1,95777788","5,86508486","0,46526955","8,5"
03/01/2010 13.00,"2,08962075","6,7709981","0,70343399","8,5"
03/01/2010 14.00,"2,24133071","6,94751012","0,90929066","8,5"
03/01/2010 15.00,"2,0805908","4,57889202","0,47644656","8,5"
03/01/2010 16.00,"1,94332937","5,29661666","0,24065172","8,5"
03/01/2010 17.00,"1,99570588","7,96504019","0,13657878","8,5"
03/01/2010 18.00,"2,25036167","17,02548239","0,53873328","8,5"
03/01/2010 19.00,"2,29009484","7,49521208","0,28753482","8,5"
03/01/2010 20.00,"2,54294443","15,38367667","0,47968526","8,5"
03/01/2010 21.00,"2,53933205","17,0462448","0,19799641","8,5"
03/01/2010 22.00,"2,45805951","10,75545888","0,1569989","8,5"
03/01/2010 23.00,"2,55197437","18,37526835","0,11082762","8,5"
04/01/2010 0.00,"2,46528326","12,58675718","0,1866598","8,5"
04/01/2010 1.00,,"9,07991401","0,48268746","20,60000038"
04/01/2010 2.00,"2,30273717",,"0,66622739","20,60000038"
04/01/2010 3.00,"2,55739295","6,39591342",,"20,60000038"
04/01/2010 4.00,"2,02279673","5,03185055","0,86011717","20,60000038"
04/01/2010 5.00,"2,60796226","6,26482861","0,74593203","20,60000038"
04/01/2010 6.00,"2,43638622","12,77754993","0,84731965","20,60000038"
04/01/2010 7.00,"2,67478729","24,65436048","0,86106432","20,60000038"
04/01/2010 8.00,"2,46167087","26,71020024","0,40187724","20,60000038"
04/01/2010 9.00,"2,84455815","33,7771052","0,31387896","20,60000038"
04/01/2010 10.00,"2,69465439","29,62781664","0,45579111","20,60000038"
04/01/2010 11.00,"2,04627519","13,92616481","0,26968236","20,60000038"
04/01/2010 12.00,"2,42013151","24,11186872","0,20925264","20,60000038"
04/01/2010 13.00,"2,6025447","21,38891304","0,22141757","20,60000038"
04/01/2010 14.00,"2,57545385","28,41949",,"20,60000038"
04/01/2010 15.00,"2,55016818","22,76337336",,"20,60000038"
04/01/2010 16.00,"2,81024254","17,13060798",,"20,60000038"
04/01/2010 17.00,"2,84275196","14,95148628",,"20,60000038"
04/01/2010 18.00,"3,20035357","18,06897169","0,29634222","20,60000038"
04/01/2010 19.00,"2,98181858","19,51478976","0,30013429","20,60000038"
04/01/2010 20.00,"3,20035357","25,57974936","0,2675108","20,60000038"
04/01/2010 21.00,"3,25453526","14,77497426","0,23354289","20,60000038"
