,Foggia,,
,Manfredonia - Scuola Elementare Ungaretti,,
Parm,SO2,NO2,PM10



01/01/2010 1.00,"5,64215735","35,87835496","35,5"
01/01/2010 2.00,"4,26593363","16,46869652","35,5"
01/01/2010 3.00,"3,8234471","10,06629569","35,5"
01/01/2010 4.00,"3,8216409","7,29923208","35,5"
01/01/2010 5.00,"3,67715571","7,34076454","35,5"
01/01/2010 6.00,"3,76204064","7,62499864","35,5"
01/01/2010 7.00,"3,77287677","7,46406178","35,5"
01/01/2010 8.00,"3,72411264","7,39138092","35,5"
01/01/2010 9.00,"3,42069374","7,84823229","35,5"
01/01/2010 10.00,"3,88124117","6,24795712","35,5"
01/01/2010 11.00,"3,45320316","5,66651027","35,5"
01/01/2010 12.00,"3,42069374","7,12661481","35,5"
01/01/2010 13.00,"3,59226977","7,86770218","35,5"
01/01/2010 14.00,"3,59407597","10,29601675","35,5"
01/01/2010 15.00,"3,5724037","5,57695602","35,5"
01/01/2010 16.00,"3,64645248","8,09223217","35,5"
01/01/2010 17.00,"3,3538687","7,43810446","35,5"
01/01/2010 18.00,"3,61936164","9,50950982","35,5"
01/01/2010 19.00,"3,57782126","11,46928878","35,5"
01/01/2010 20.00,"3,61033068","12,81778032","35,5"
01/01/2010 21.00,"3,66631856","14,39729308","35,5"
01/01/2010 22.00,"3,49654872","15,40703175","35,5"
01/01/2010 23.00,"3,49113014","13,18767775","35,5"
02/01/2010 0.00,"3,58143364","9,01761531","35,5"
02/01/2010 1.00,,,"11,39999962"
02/01/2010 2.00,"3,38457193",,"11,39999962"
02/01/2010 3.00,"3,57420887",,"11,39999962"
02/01/2010 4.00,"3,42249993",,"11,39999962"
02/01/2010 5.00,"3,49474253",,"11,39999962"
02/01/2010 6.00,"3,40443903",,"11,39999962"
02/01/2010 7.00,"3,33942018",,"11,39999962"
02/01/2010 8.00,"3,19493499",,"11,39999962"
02/01/2010 9.00,"3,51099724",,"11,39999962"
02/01/2010 10.00,"3,55434279",,"11,39999962"
02/01/2010 11.00,"3,51280343",,"11,39999962"
02/01/2010 12.00,"3,65728862",,"11,39999962"
02/01/2010 13.00,"3,62658539",,"11,39999962"
02/01/2010 14.00,"3,98960456",,"11,39999962"
02/01/2010 15.00,"3,65187004",,"11,39999962"
02/01/2010 16.00,"3,70605275",,"11,39999962"
02/01/2010 17.00,"3,59226977",,"11,39999962"
02/01/2010 18.00,"3,74578592",,"11,39999962"
02/01/2010 19.00,"3,5164148",,"11,39999962"
02/01/2010 20.00,"3,50377247",,"11,39999962"
02/01/2010 21.00,"3,37012341",,"11,39999962"
02/01/2010 22.00,"3,65006385",,"11,39999962"
02/01/2010 23.00,"3,4261113",,"11,39999962"
03/01/2010 0.00,"3,24008674",,"11,39999962"
03/01/2010 1.00,"3,25092288",,13
03/01/2010 2.00,"3,33039024",,13
03/01/2010 3.00,"3,34303257",,13
03/01/2010 4.00,"3,20396595",,13
03/01/2010 5.00,"3,29788082",,13
03/01/2010 6.00,"3,07212207",,13
03/01/2010 7.00,"3,34303257",,13
03/01/2010 8.00,"3,34303257",,13
03/01/2010 9.00,"3,68076708",,13
03/01/2010 10.00,"3,62116681",,13
03/01/2010 11.00,"4,00405409",,13
03/01/2010 12.00,"3,63019777",,13
03/01/2010 13.00,"3,65367623",,13
03/01/2010 14.00,"3,51099724",,13
03/01/2010 15.00,"3,43875464",,13
03/01/2010 16.00,"3,53808808",,13
03/01/2010 17.00,"3,54350666",,13
03/01/2010 18.00,"3,38096057",,13
03/01/2010 19.00,"3,58143364",,13
03/01/2010 20.00,"3,95528996",,13
03/01/2010 21.00,"3,95167757",,13
03/01/2010 22.00,"3,90833202",,13
03/01/2010 23.00,"3,91375059",,13
04/01/2010 0.00,"4,27496459",,13
04/01/2010 1.00,,,"19,89999962"
04/01/2010 2.00,"4,08713282",,"19,89999962"
04/01/2010 3.00,"3,93722906","9,20191299","19,89999962"
04/01/2010 4.00,"4,19910961","7,09806291","19,89999962"
04/01/2010 5.00,"4,17924251","3,50425433","19,89999962"
04/01/2010 6.00,"3,96612609","9,7223613","19,89999962"
04/01/2010 7.00,"4,13770315","32,50908592","19,89999962"
04/01/2010 8.00,"4,35623712","43,81355648","19,89999962"
04/01/2010 9.00,"4,71022635","49,64228848","19,89999962"
04/01/2010 10.00,"4,20994574","32,37279856","19,89999962"
04/01/2010 11.00,"4,24426136","10,78401078","19,89999962"
04/01/2010 12.00,"4,25509647","17,81718806","19,89999962"
04/01/2010 13.00,"4,31650293","13,94304012","19,89999962"
04/01/2010 14.00,"4,26051505","16,38043669","19,89999962"
04/01/2010 15.00,"4,33095247","15,82884954","19,89999962"
04/01/2010 16.00,"4,25690368","11,71847783","19,89999962"
04/01/2010 17.00,"4,2857997","15,97030886","19,89999962"
04/01/2010 18.00,"4,13589594","19,38760352","19,89999962"
04/01/2010 19.00,"4,24064897","10,13638196","19,89999962"
04/01/2010 20.00,"4,03114494","9,28757442","19,89999962"
04/01/2010 21.00,"3,8740164","8,79178517","19,89999962"
04/01/2010 22.00,"3,4261113","9,68991275","19,89999962"
04/01/2010 23.00,"3,49474253","7,73921196","19,89999962"
05/01/2010 0.00,"3,77648915","4,47506277","19,89999962"
05/01/2010 1.00,"3,74759212","2,91242532","26,2999897"
05/01/2010 2.00,"3,75662206","2,60223391","26,2999897"
05/01/2010 3.00,"3,68076708","2,14797904","26,2999897"
05/01/2010 4.00,"3,63019777","1,93772405","26,2999897"
05/01/2010 5.00,"3,79455006","2,08827684","26,2999897"
05/01/2010 6.00,"3,7331436","2,34136063","26,2999897"
05/01/2010 7.00,"3,39540908","5,79889333","26,2999897"
05/01/2010 8.00,"4,14131451","37,5915452","26,2999897"
05/01/2010 9.00,"3,75842825","39,64348448","26,2999897"
05/01/2010 10.00,"3,90833202","24,04955664","26,2999897"
05/01/2010 11.00,"3,79274387","16,64650105","26,2999897"
05/01/2010 12.00,"3,83428323","15,33565679","26,2999897"
05/01/2010 13.00,"4,13228457",,"26,2999897"
05/01/2010 14.00,"4,21897568",,"26,2999897"
05/01/2010 15.00,"3,98599319",,"26,2999897"
05/01/2010 16.00,"3,81080477","10,48161268","26,2999897"
05/01/2010 17.00,"3,94084144","22,18191504","26,2999897"
05/01/2010 18.00,"3,93722906","34,72974008","26,2999897"
05/01/2010 19.00,"4,22439426","42,7505992","26,2999897"
05/01/2010 20.00,"4,5404565","45,7382904","26,2999897"
05/01/2010 21.00,"4,61992285","42,71555224","26,2999897"
05/01/2010 22.00,"4,22439426","39,55522656","26,2999897"
05/01/2010 23.00,"4,52420078","27,30720312","26,2999897"
06/01/2010 0.00,"4,38874655","24,62191384","26,2999897"
06/01/2010 1.00,,"15,05790438",
06/01/2010 2.00,,,
06/01/2010 3.00,,,
06/01/2010 4.00,,,
06/01/2010 5.00,,,
06/01/2010 6.00,,,
06/01/2010 7.00,,,
06/01/2010 8.00,,,
06/01/2010 9.00,,,
06/01/2010 10.00,,,
06/01/2010 11.00,,,
06/01/2010 12.00,,,
06/01/2010 13.00,,,
06/01/2010 14.00,,,
06/01/2010 15.00,,,
06/01/2010 16.00,,,
06/01/2010 17.00,,,
06/01/2010 18.00,,,
06/01/2010 19.00,,,
06/01/2010 20.00,,,
06/01/2010 21.00,,,
06/01/2010 22.00,,,
06/01/2010 23.00,,,
07/01/2010 0.00,,,
07/01/2010 1.00,,,12
07/01/2010 2.00,,,12
07/01/2010 3.00,,,12
07/01/2010 4.00,,,12
07/01/2010 5.00,,,12
07/01/2010 6.00,,,12
07/01/2010 7.00,,,12
07/01/2010 8.00,,,12
07/01/2010 9.00,,,12
