,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



01/01/2010 1.00,"11,7220571","7,14738104",,,"2,7633385","77,219268"
01/01/2010 2.00,"12,17470015","9,19542366","111,3553009",,"2,73536388","70,3243485"
01/01/2010 3.00,"12,26938048","9,3641481",,,"1,21260876","64,8584475"
01/01/2010 4.00,"12,27197315","9,80282782","84,98168182",,"2,34680072","58,65234165"
01/01/2010 5.00,"11,43801994","8,79178517",,,"1,0954229","57,30719295"
01/01/2010 6.00,"10,1241834","8,47250985","68,37606049",,"1,64038134","51,71680395"
01/01/2010 7.00,"7,23063334","5,98319101",,,"1,38464347","61,8041025"
01/01/2010 8.00,"11,19418831","8,44525429","25,88521957",,"1,21304912","57,9837972"
01/01/2010 9.00,"4,99335243","3,62365873",,,"1,07934312","70,01442525"
01/01/2010 10.00,"3,7313961","1,96368136","20,51280975",,"1,59852874","83,5851135"
01/01/2010 11.00,"3,5368501","1,84816979",,,"0,67007384","86,71927845"
01/01/2010 12.00,"4,2566703","2,18691501","19,53602028",,"0,95576948","86,057517"
01/01/2010 13.00,"8,17093965","4,37383002",,,"0,5564129","84,90319005"
01/01/2010 14.00,"7,19302048","4,0805101","18,07081032",,"0,75003343","83,2332354"
01/01/2010 15.00,"4,00116592","2,61780906",,,"1,27054115","84,8991402"
01/01/2010 16.00,"4,20868293","2,60872324","28,81562042",,"1,01149905","88,18895505"
01/01/2010 17.00,"5,89864046","3,66648944",,,"0,79651135","89,90896425"
01/01/2010 18.00,"7,51337417","4,82029731","30,76922989",,"0,85224092","91,26899565"
01/01/2010 19.00,"8,20855251","4,99291458",,,"0,72007566","92,3205003"
01/01/2010 20.00,"8,51204427","5,68597826","28,32722092",,"0,77602592","93,4301991"
01/01/2010 21.00,"7,03349276","4,66584978",,,"0,27005621","94,21237875"
01/01/2010 22.00,"9,67024401","6,32582906","32,23442078",,"0,19670509","96,04063665"
01/01/2010 23.00,"4,37469615","2,9773186",,,"0,0676244","96,04606305"
02/01/2010 0.00,"3,705456","2,19729717","23,44322014",,"0,17820179","96,13132935"
02/01/2010 1.00,"4,29168858","2,44519179",,,"0,08524596","96,5088831"
02/01/2010 2.00,,,"11,72161007",,"0,00154177",
02/01/2010 3.00,"11,03725518","9,40827515",,,"0,16961119","90,455694"
02/01/2010 4.00,"6,76631753","5,15774428","20,51280975",,"0,10242716","87,85738605"
02/01/2010 5.00,"4,19571383","3,27193486",,,"0,00022069","83,55397155"
02/01/2010 6.00,"3,67692322","2,61391432","21,48962021",,"0,23525244","84,33888435"
02/01/2010 7.00,"5,04782531","3,60159616",,,"0,04581687","81,4740045"
02/01/2010 8.00,"8,10609226","5,92219056","10,7448101",,"0,68307008","74,87675895"
02/01/2010 9.00,"10,17995453","8,02344606",,,"0,13767129","70,47048225"
02/01/2010 10.00,"7,38886473","4,9137444","11,23320961",,"0,14097552","73,56680205"
02/01/2010 11.00,"6,82338308","4,01691506",,,"0,7859376","72,5220804"
02/01/2010 12.00,"10,32391857","7,03187138","5,86080599",,"0,21961301","71,02940145"
02/01/2010 13.00,"9,30968287","6,02082873",,,"0,081061","74,3665776"
02/01/2010 14.00,"9,68710402","6,48546767","4,39560509",,"0,10396893","72,20270085"
02/01/2010 15.00,"9,46402334","5,94684962",,,"0,16762906","70,3608969"
02/01/2010 16.00,"9,78437702","6,69572266","1,46520102",,"1,00863518","70,24720185"
02/01/2010 17.00,"13,49502028","10,34922771",,,"0,32380263","66,7773981"
