,Provincia di TARANTO,,,,,,
,TA V. Machiavelli,,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE,PM2.5



01/01/2010 1.00,"3,337614","30,414317","0,792322",,"45,200001",,"23,79999"
01/01/2010 2.00,"2,427356","17,534247","0,871324",,"45,200001",,"23,79999"
01/01/2010 3.00,"2,107681","23,469397","0,870773",,"45,200001",,"23,79999"
01/01/2010 4.00,"1,784396","18,93725","0,828903",,"45,200001",,"23,79999"
01/01/2010 5.00,"1,816905","6,825511","0,75294",,"45,200001",,"23,79999"
01/01/2010 6.00,"1,710347","6,163596","0,733207",,"45,200001",,"23,79999"
01/01/2010 7.00,"1,860251","12,781435","0,738495",,"45,200001",,"23,79999"
01/01/2010 8.00,"1,771753","17,242225","0,793387",,"45,200001",,"23,79999"
01/01/2010 9.00,"1,872893","10,146763","0,719159",,"45,200001",,"23,79999"
01/01/2010 10.00,"1,786202","6,991637","0,709924",,"45,200001",,"23,79999"
01/01/2010 11.00,"2,042663","10,298611","0,705229",,"45,200001",,"23,79999"
01/01/2010 12.00,"1,791619","9,50951","0,707715",,"45,200001",,"23,79999"
01/01/2010 13.00,"1,67242","5,26417","0,709728",,"45,200001",,"23,79999"
01/01/2010 14.00,"1,856638","3,518531","0,704164",,"45,200001",,"23,79999"
01/01/2010 15.00,"1,620043","5,10583","0,690706",,"45,200001",,"23,79999"
01/01/2010 16.00,"1,659777","5,025361","0,685103",,"45,200001",,"23,79999"
01/01/2010 17.00,"2,152833","3,178488","0,697928",,"45,200001",,"23,79999"
01/01/2010 18.00,"2,044469","3,243383","0,73159",,"45,200001",,"23,79999"
01/01/2010 19.00,"2,120324","13,804163","0,731983",,"45,200001",,"23,79999"
01/01/2010 20.00,"2,008348","50,631289","0,808896",,"45,200001",,"23,79999"
01/01/2010 21.00,"2,015572","37,829072","0,765962",,"45,200001",,"23,79999"
01/01/2010 22.00,"1,744662","5,741786","0,694573",,"45,200001",,"23,79999"
01/01/2010 23.00,"2,060724","14,898265","0,693272",,"45,200001",,"23,79999"
02/01/2010 0.00,"2,174507","11,503039","0,695363",,"45,200001",,"23,79999"
02/01/2010 1.00,,"15,214946","0,703453",,"20,6",,"5,9"
02/01/2010 2.00,"2,120324",,"0,748756",,"20,6",,"5,9"
02/01/2010 3.00,"1,995706","32,985401",,,"20,6",,"5,9"
02/01/2010 4.00,"2,237718","7,177233","0,698244",,"20,6",,"5,9"
02/01/2010 5.00,"2,190761","3,676872","0,7029",,"20,6",,"5,9"
02/01/2010 6.00,"1,878312","5,234318","0,711582",,"20,6",,"5,9"
02/01/2010 7.00,"2,27384","12,424525","0,745244",,"20,6",,"5,9"
02/01/2010 8.00,"2,179924","41,803143","0,848398",,"20,6",,"5,9"
02/01/2010 9.00,"2,309961","45,322985","0,914695",,"20,6",,"5,9"
02/01/2010 10.00,"3,046837","44,888196","0,873574",,"20,6",,"5,9"
02/01/2010 11.00,"3,193129","28,881542","0,805779",,"20,6",,"5,9"
02/01/2010 12.00,"3,054062","25,58883","0,780996",,"20,6",,"5,9"
02/01/2010 13.00,"2,694654","34,365045","0,851002",,"20,6",,"5,9"
02/01/2010 14.00,"2,495986","25,947044","0,851002",,"20,6",,"5,9"
02/01/2010 15.00,"2,463477","10,177912","0,783048",,"20,6",,"5,9"
02/01/2010 16.00,"2,337053","5,072085","0,763515",,"20,6",,"5,9"
02/01/2010 17.00,"2,447222","9,111062","0,771012",,"20,6",,"5,9"
