,Provincia di TARANTO,,
,Massafra (TA) Via Frappietro,,
Parm,SO2,O3,BENZENE



01/04/2010 1.00,"9,922653","76,890795",
01/04/2010 2.00,"9,997153","79,891233",
01/04/2010 3.00,"10,003927","78,308659",
01/04/2010 4.00,"9,923218","76,180691",
01/04/2010 5.00,"10,022551","70,634571",
01/04/2010 6.00,"9,939585","57,200741",
01/04/2010 7.00,"9,923782","44,968816",
01/04/2010 8.00,"10,029324","55,324184",
01/04/2010 9.00,"9,987558","67,88554",
01/04/2010 10.00,"10,066011","71,031",
01/04/2010 11.00,"10,037224","74,437342",
01/04/2010 12.00,"9,863391","81,564461",
01/04/2010 13.00,"9,763495","69,892938",
01/04/2010 14.00,"9,711004","77,348723",
01/04/2010 15.00,"9,589659","81,030125",
01/04/2010 16.00,"9,577242","79,525564",
01/04/2010 17.00,"9,708748","73,075437",
01/04/2010 18.00,"9,74769","67,487536",
01/04/2010 19.00,"9,775909","60,166513",
01/04/2010 20.00,"9,829528","51,436299",
01/04/2010 21.00,"9,834607","51,441029",
01/04/2010 22.00,"9,87242","44,142864",
01/04/2010 23.00,"9,872984","50,693087",
02/04/2010 0.00,"9,874116","52,460093",
02/04/2010 1.00,"9,84759","55,96258",
02/04/2010 2.00,"9,8696","52,184242",
02/04/2010 3.00,"9,941842","49,197198",
02/04/2010 4.00,"9,913058","58,710031",
02/04/2010 5.00,"9,866778","56,496938",
02/04/2010 6.00,"9,970627","61,077602",
02/04/2010 7.00,"9,866778","49,529792",
02/04/2010 8.00,"9,949181","57,745351",
02/04/2010 9.00,"9,9774","60,611025",
02/04/2010 10.00,"10,051899","74,351436",
02/04/2010 11.00,"10,059802","84,999189",
02/04/2010 12.00,"9,988686","88,791716",
02/04/2010 13.00,"9,883145","85,973325",
02/04/2010 14.00,"9,806387","87,745853",
02/04/2010 15.00,"9,769701","88,150166",
02/04/2010 16.00,"9,773652","89,346562",
02/04/2010 17.00,"9,761237","79,429416",
02/04/2010 18.00,"9,753334","66,414092",
02/04/2010 19.00,"9,77083","57,920316",
02/04/2010 20.00,"9,774216","51,818547",
02/04/2010 21.00,"9,819367","63,10154",
02/04/2010 22.00,"9,840816","70,305919",
02/04/2010 23.00,"9,8363","71,535412",
03/04/2010 0.00,"9,863391","74,510637",
03/04/2010 1.00,"9,969498","60,263454",
03/04/2010 2.00,"9,860005","75,688113",
03/04/2010 3.00,"9,93902","72,606496",
03/04/2010 4.00,"9,93394","76,060905",
03/04/2010 5.00,"9,936762","74,893672",
03/04/2010 6.00,"9,863391","76,903428",
03/04/2010 7.00,"9,869036","74,382167",
03/04/2010 8.00,"9,946358","71,101936",
03/04/2010 9.00,"9,884838","74,909433",
03/04/2010 10.00,"10,001669","80,812591",
03/04/2010 11.00,"10,029324","84,376558",
03/04/2010 12.00,"9,797921","77,057903",
03/04/2010 13.00,"9,751641","85,432665",
03/04/2010 14.00,"9,742609","92,595271",
03/04/2010 15.00,"9,665852","89,046282",
03/04/2010 16.00,"9,531526","91,475329",
03/04/2010 17.00,"9,593046","83,623098",
03/04/2010 18.00,"9,689557","75,704666",
03/04/2010 19.00,"9,755592","72,316459",
03/04/2010 20.00,"9,810338","60,184641",
03/04/2010 21.00,"9,845329","41,184192",
03/04/2010 22.00,"9,909107","30,400875",
03/04/2010 23.00,"9,910236","32,16552",
04/04/2010 0.00,"9,8775","46,088778",
04/04/2010 1.00,"9,974014","47,344283",
04/04/2010 2.00,"9,893869","46,977797",
04/04/2010 3.00,"9,92886","43,904056",
04/04/2010 4.00,"9,971756","66,224146",
04/04/2010 5.00,"9,912494","69,21829",
04/04/2010 6.00,"9,88879","67,356699",
04/04/2010 7.00,"9,991508","59,816579",
04/04/2010 8.00,"9,881452","74,766785",
04/04/2010 9.00,"9,977965","71,822298",
04/04/2010 10.00,"10,041175","67,563198",
04/04/2010 11.00,"9,9853","75,847321",
04/04/2010 12.00,"9,828963","73,847808",
04/04/2010 13.00,"9,762366","75,632946",
04/04/2010 14.00,"9,752205","90,948854",
04/04/2010 15.00,"9,740352","93,136723",
04/04/2010 16.00,"9,745432","93,051601",
04/04/2010 17.00,"9,752205","89,18342",
04/04/2010 18.00,"9,778167","82,101201",
04/04/2010 19.00,"9,854925","77,874414",
04/04/2010 20.00,"9,862827","70,828451",
04/04/2010 21.00,"9,826141","71,615016",
04/04/2010 22.00,"9,832349","73,383594",
04/04/2010 23.00,"9,84928","70,14041",
05/04/2010 0.00,"9,859441","74,359313",
05/04/2010 1.00,"9,84759","71,25326",
05/04/2010 2.00,"9,839687","67,242422",
05/04/2010 3.00,"9,834607","72,552113",
05/04/2010 4.00,"9,8363","68,334785",
05/04/2010 5.00,"9,871855","63,881796",
05/04/2010 6.00,"9,917574","59,376798",
05/04/2010 7.00,"9,9441","71,092476",
05/04/2010 8.00,"9,959902","71,344682",
05/04/2010 9.00,"10,024809","74,330942",
05/04/2010 10.00,"10,024244","72,199816",
05/04/2010 11.00,"9,884274","72,469358",
05/04/2010 12.00,"9,785505","69,834612",
05/04/2010 13.00,"9,747125","72,847667",
05/04/2010 14.00,"9,748254","81,148344",
05/04/2010 15.00,"9,766879","81,659057",
05/04/2010 16.00,"9,799614","78,731907",
05/04/2010 17.00,"9,826141","83,70822",
05/04/2010 18.00,"9,917574","84,696542",
05/04/2010 19.00,"9,940149","81,279956",
05/04/2010 20.00,"9,934504","77,775107",
05/04/2010 21.00,"9,952002","75,748014",
05/04/2010 22.00,"9,924911","79,111791",
05/04/2010 23.00,"9,962724","77,484286",
06/04/2010 0.00,"9,914187","71,867222",
06/04/2010 1.00,"9,909107","72,399214",
06/04/2010 2.00,"9,881452","72,154101",
06/04/2010 3.00,"9,865649","73,336311",
06/04/2010 4.00,"10,020293","71,172088",
06/04/2010 5.00,"10,031018","67,761804",
06/04/2010 6.00,"9,913623","62,74688",
06/04/2010 7.00,"9,845329","53,758155",
06/04/2010 8.00,"9,918703","54,976621",
06/04/2010 9.00,"9,915881","77,466158",
06/04/2010 10.00,"9,926038","78,107701",
06/04/2010 11.00,"10,06996","82,148492",
06/04/2010 12.00,"10,132044","84,006133",
06/04/2010 13.00,"10,075604","85,349119",
06/04/2010 14.00,"10,086893","87,940525",
06/04/2010 15.00,"10,075604","89,622413",
