,Provincia di TARANTO,,,,
,SS7 Wind,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



01/01/2010 1.00,,"19,975523",,"1,217593","0,483927"
01/01/2010 2.00,"1,499037","19,231852","57,631241","0,961815","0,485468"
01/01/2010 3.00,"1,063774","23,124166",,"0,742932","0,970936"
01/01/2010 4.00,"0,908452","11,100691","58,119652","0,669617","0,471824"
01/01/2010 5.00,"3,189516","22,150767",,"0,978396","0,483708"
01/01/2010 6.00,"0,801894","25,802975","48,35165","1,036427","0,475345"
01/01/2010 7.00,"0,754936","11,223994",,"0,879426","1,038277"
01/01/2010 8.00,"1,424988","15,928775","32,722832","0,930777","0,471164"
01/01/2010 9.00,"2,241331","6,8307",,"0,850861","0,465002"
01/01/2010 10.00,"3,579627","2,804701",,"0,825243","0,453118"
01/01/2010 11.00,"4,318309","3,231701",,"0,660344","0,349467"
01/01/2010 12.00,"3,585046","3,863766","3,418803","0,762498","0,352987"
01/01/2010 13.00,"4,533232","4,66585",,"0,950619","0,377415"
01/01/2010 14.00,"3,585046","3,184979","7,326007","1,207024","0,412846"
01/01/2010 15.00,"0,357602","2,642468",,"1,148797","0,478866"
01/01/2010 16.00,"0,482221","2,097361","9,76801","1,030063","0,478206"
01/01/2010 17.00,"0,166158","2,668425",,"0,734996","0,478866"
01/01/2010 18.00,,"2,929299","14,16361","0,859662","0,467203"
01/01/2010 19.00,,"13,545891",,"0,83267","0,467863"
01/01/2010 20.00,,"15,299311","14,65201","0,873572","0,468303"
01/01/2010 21.00,,"7,601636",,"0,746193","0,454438"
01/01/2010 22.00,"0,182413","8,071466","17,094","0,738963","0,468303"
01/01/2010 23.00,"0,585166","5,218745",,"0,740456","0,477326"
02/01/2010 0.00,"0,650184","6,27521","13,18681","0,741557","0,467863"
02/01/2010 1.00,,"3,794978",,"0,757784","0,472044"
02/01/2010 2.00,"0,809119",,"7,326007","0,76631","0,463682"
02/01/2010 3.00,"0,225759","22,704961",,,"0,429791"
02/01/2010 4.00,"0,850658","12,590652","9,76801","0,746233","0,449157"
02/01/2010 5.00,"0,682694","19,595266",,"0,743011","0,46016"
02/01/2010 6.00,"0,52376","7,844339","10,74481","0,724898","0,470944"
02/01/2010 7.00,"0,397335","22,336367",,"0,715468","0,468743"
02/01/2010 8.00,"0,352183","24,119649","7,326007","0,709771","0,442775"
