NetC,Provincia di TARANTO,,,
Stat,STATTE sc.elementare,,,
Parm,SO2,NO2,PM10,O3



01/01/2010 1.00,"2,635054","10,10004","17,6","52,332479"
01/01/2010 2.00,"2,754255","10,041638","17,6","52,144272"
01/01/2010 3.00,"2,8572","11,017629","17,6","47,561938"
01/01/2010 4.00,"2,683817","11,098098","17,6","42,7643"
01/01/2010 5.00,"2,71452","7,766465","17,6","44,64381"
01/01/2010 6.00,"2,394847","16,031309","17,6","50,742744"
01/01/2010 7.00,"2,483344","8,340126","17,6","63,939946"
01/01/2010 8.00,"2,515853","10,534821","17,6","66,710484"
01/01/2010 9.00,"13,758626","6,651595","17,6",
01/01/2010 10.00,"2,557393","2,247915","17,6","92,815118"
01/01/2010 11.00,"2,510435","2,177829","17,6","95,308031"
01/01/2010 12.00,"2,589902","2,398468","17,6","98,18961"
01/01/2010 13.00,"2,495986","2,083086","17,6","97,985121"
01/01/2010 14.00,"2,277452","1,879318","17,6","101,030528"
01/01/2010 15.00,"2,568229","1,480873","17,6","92,77177"
01/01/2010 16.00,"2,636859","1,430256","17,6","88,698596"
01/01/2010 17.00,"2,727163","1,661276","17,6","111,461227"
01/01/2010 18.00,"2,712714","3,949423","17,6","105,295984"
01/01/2010 19.00,"2,779539","7,423829","17,6","90,255836"
01/01/2010 20.00,"2,503211","5,896233","17,6","97,199728"
01/01/2010 21.00,"2,22327","4,934511","17,6","102,404906"
01/01/2010 22.00,"2,037245","3,583424","17,6","101,382612"
01/01/2010 23.00,"2,02099","4,164871","17,6","91,060201"
02/01/2010 0.00,"2,01196","4,91504","17,6","92,192221"
02/01/2010 1.00,"1,80968","5,963723",8,"85,559765"
02/01/2010 2.00,"1,872893",,8,"82,660591"
02/01/2010 3.00,"1,813293","3,859871",8,"83,543494"
02/01/2010 4.00,"1,692286","4,207702",8,"85,563814"
02/01/2010 5.00,"1,824129","3,767722",8,"82,538719"
02/01/2010 6.00,"2,022797","3,027937",8,"74,814852"
02/01/2010 7.00,"1,748274","3,72749",8,"66,947454"
02/01/2010 8.00,"1,620043","6,460809",8,"61,835662"
02/01/2010 9.00,"1,381642","7,545828",8,"57,931746"
02/01/2010 10.00,"1,549607","4,931914",8,"67,250771"
02/01/2010 11.00,"1,623656","5,300509",8,"69,581188"
02/01/2010 12.00,"2,033633","5,662617",8,"71,309043"
02/01/2010 13.00,"2,158252","5,101935",8,"72,496603"
02/01/2010 14.00,"2,069755","4,231063",8,"71,054478"
02/01/2010 15.00,"2,216046","4,027297",8,"69,172278"
02/01/2010 16.00,"2,317186","5,374488",8,"69,20342"
02/01/2010 17.00,"2,067948","5,330362",8,"72,984105"
02/01/2010 18.00,"2,197985","8,294699",8,"70,592737"
02/01/2010 19.00,"1,943329","9,052658",8,"63,093652"
02/01/2010 20.00,"1,728408","10,488101",8,"63,136962"
02/01/2010 21.00,"1,266054","6,623041",8,"72,255569"
02/01/2010 22.00,"1,343715","6,097404",8,"75,031533"
02/01/2010 23.00,"1,083641","4,567212",8,"73,812808"
03/01/2010 0.00,"1,119763","4,628212",8,"70,583262"
03/01/2010 1.00,"1,361775","3,367978",,"76,581968"
03/01/2010 2.00,"1,108926","2,302427",,"75,994299"
03/01/2010 3.00,"1,002368","3,184979",,"76,920513"
03/01/2010 4.00,"1,054744","1,621043",,"85,92401"
03/01/2010 5.00,"0,789252","1,667765",,"89,538152"
03/01/2010 6.00,"0,547239","2,385489",,"85,29437"
03/01/2010 7.00,"0,529178","3,36668",,"65,633966"
03/01/2010 8.00,"0,444293","3,586021",,"58,814635"
03/01/2010 9.00,"0,588778","3,750851",,"52,886313"
03/01/2010 10.00,"0,670051","3,252467",,"55,828798"
03/01/2010 11.00,"0,6845","3,052596",,"63,390188"
03/01/2010 12.00,"1,195618","3,644425",,"67,123488"
03/01/2010 13.00,"0,679081","3,579532",,"72,351726"
03/01/2010 14.00,"0,46416","3,878041",,"76,353141"
03/01/2010 15.00,"0,778416","3,793679",,"82,791945"
03/01/2010 16.00,"0,646572","4,284276",,"77,704529"
03/01/2010 17.00,"0,180607","4,655468",,"77,693722"
03/01/2010 18.00,"0,227565","5,233019",,"80,258393"
03/01/2010 19.00,"0,171576","5,929978",,"78,882622"
03/01/2010 20.00,"0,061406","6,8307",,"74,244785"
03/01/2010 21.00,"0,088497","6,989042",,"72,030814"
03/01/2010 22.00,"0,037927","6,732062",,"71,868303"
03/01/2010 23.00,"0,088497","4,940998",,"73,131692"
04/01/2010 0.00,"0,119201","3,926062",,"74,082267"
04/01/2010 1.00,"0,162546","3,828723","6,6","74,733619"
04/01/2010 2.00,"0,189637",,"6,6","77,761408"
04/01/2010 3.00,"0,111976","3,416","6,6","71,054478"
04/01/2010 4.00,"0,09211","3,566553","6,6","58,32173"
