"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Andria","","","","","","","","","","",""
,NO2,NOX,CO,O3,PM10,Benzene

,,,,,

01/01/2011 1.00,"54,27569544","99,33849536","0,8392229","8,85519254",,"4,06965568"
01/01/2011 2.00,"60,0084068","124,02480536","1,57915168","4,74823965","97,19168091","4,37650797"
01/01/2011 3.00,"60,02267032","170,6978152","2,05638927","4,76444105",,"5,73626138"
01/01/2011 4.00,"47,48522744","74,85428376","1,13264213","3,15244314",,"4,69329431"
01/01/2011 5.00,"44,27949176","79,95681904","1,19915547","4,36076676",,"4,91703126"
01/01/2011 6.00,"44,65976944","65,40565776","0,8658047","3,63172194",,"4,42617825"
01/01/2011 7.00,"47,00242832","78,90627064","0,77109137","3,41165948",,"4,15795874"
01/01/2011 8.00,"40,51826272","61,50393496","0,72922476","6,39669219",,"4,34560235"
01/01/2011 9.00,"43,13865872","65,89790216","0,75106618","8,13559803",,"3,94603221"
01/01/2011 10.00,"30,97501184","45,85431056","0,74688034","19,2724202",,"3,93389024"
01/01/2011 11.00,"26,52200208","41,67148552","0,67337583","40,14739995",,"3,84558719"
01/01/2011 12.00,"27,24361","45,9942116","0,64505817","45,73132515",,"3,65904803"
01/01/2011 13.00,"26,22608184","40,65716952","0,60200676","48,26138415",,"3,75507724"
01/01/2011 14.00,"20,5180544","29,58288464","0,4830824","57,3515019","58,11965179","3,57957558"
01/01/2011 15.00,"16,26363261","20,60709624","0,41360762","61,1789892",,"3,18552368"
01/01/2011 16.00,"19,87300296","26,23170312","0,48023863","53,84399265","44,93283081","3,06190021"
01/01/2011 17.00,"31,00485816","43,48115528","0,60441598","41,2234032",,"3,15903286"
01/01/2011 18.00,"35,94584856","56,77188792","0,80967966","38,36933625","37,11843109","3,60054714"
01/01/2011 19.00,"45,90182376","66,57410008","0,75790007","28,26801285",,"3,97693782"
01/01/2011 20.00,"50,8454336","77,23908312","0,78286136","23,20115175","42,49084091","3,88532341"
01/01/2011 21.00,"55,31528808","81,75094424","0,87868028","18,1154",,"4,04426831"
01/01/2011 22.00,"46,59748584","66,22047568","0,83361459","24,364935","35,65322113","4,01336269"
01/01/2011 23.00,"54,15501","83,4427392","0,86134042","17,38635717",,"4,0221933"
02/01/2011 0.00,"53,25298576","85,69801968","0,79865993","15,99036989","41,02563095","4,02440019"
02/01/2011 1.00,"31,71868424","41,26990816","0,4911407","32,96496105",,"3,64028336"
02/01/2011 2.00,"27,9237084","34,25665392","0,39421503",,"36,63003159","3,01222993"
02/01/2011 3.00,,,"0,29689559","50,9129586",,"2,65791425"
02/01/2011 4.00,"28,09372344","30,29017168",,"47,78884845","26,86202049","2,16562624"
02/01/2011 5.00,"18,41550639","20,09154456","0,40104776","30,9519861",,"2,46806374"
02/01/2011 6.00,"21,3629672","28,90020504","0,3690953","20,10543045","17,58241081","2,86984179"
02/01/2011 7.00,"30,16902736","36,59613888","0,36889725","27,76443495",,"2,67667891"
02/01/2011 8.00,"37,25151512","44,44621816","0,51408654","25,0804617","20,51280975","2,83120901"
02/01/2011 9.00,"46,84149528","67,70499072","0,79147188","18,89439962",,"3,48464982"
