BARI- CIAPI,,,,
,Ciapi,,,
,SO2,NO2,NOX,PM10



01/01/2011 1.00,"4,43028591","24,53367504","76,31268088","50,09999084"
01/01/2011 2.00,"4,54587406","23,35129424","82,20095256","50,09999084"
01/01/2011 3.00,"5,15451907","27,72254688","136,41446976","50,09999084"
01/01/2011 4.00,"4,83123308","31,03990512","101,87476336","50,09999084"
01/01/2011 5.00,"4,65965704","26,013238","94,03973152","50,09999084"
01/01/2011 6.00,"4,35443093","21,53558256","72,87308848","50,09999084"
01/01/2011 7.00,"4,31830913","19,69778728","73,48009112","50,09999084"
01/01/2011 8.00,"4,62172904","25,43177968","127,82849992","50,09999084"
01/01/2011 9.00,"4,45918295","25,13977904","110,74606096","50,09999084"
01/01/2011 10.00,"4,33998241","23,46551712","80,53431952","50,09999084"
01/01/2011 11.00,"4,27857595","21,852248","59,8138608","50,09999084"
01/01/2011 12.00,"4,15034547","16,79705384","46,48094944","50,09999084"
01/01/2011 13.00,"4,17563013","15,81586898","45,78708464","50,09999084"
01/01/2011 14.00,"4,07629669","18,89312399","51,51449976","50,09999084"
01/01/2011 15.00,"4,19188484","15,23051974","45,74167464","50,09999084"
01/01/2011 16.00,"4,14673309","8,63085022","37,77437064","50,09999084"
01/01/2011 17.00,"4,20813955","15,47841818","46,70534176","50,09999084"
01/01/2011 18.00,"4,12325361","26,7387464","60,29505384","50,09999084"
01/01/2011 19.00,"4,23161801","35,74338688","79,71202568","50,09999084"
01/01/2011 20.00,"4,31650293","38,8349188","98,20043472","50,09999084"
01/01/2011 21.00,"4,17201774","22,5686744","63,09003456","50,09999084"
01/01/2011 22.00,"4,1629878","18,89961523","59,7866148","50,09999084"
01/01/2011 23.00,"4,29302447","27,19039904","75,5967516","50,09999084"
02/01/2011 0.00,"4,37429803","29,47466544","103,46742112","50,09999084"
02/01/2011 1.00,,"26,7997392","93,58836568","25,39999962"
02/01/2011 2.00,"4,37068564",,,"25,39999962"
02/01/2011 3.00,"4,19369103","22,33118488","81,18153152","25,39999962"
02/01/2011 4.00,"4,17563013","20,83083848","79,48635232","25,39999962"
02/01/2011 5.00,"4,2532913","21,48885328","86,46928224","25,39999962"
02/01/2011 6.00,"4,16659917","17,6367813","74,91843136","25,39999962"
02/01/2011 7.00,"4,54406787","23,85357664","134,16033648","25,39999962"
02/01/2011 8.00,"4,22078188","19,98462552","84,74171376","25,39999962"
02/01/2011 9.00,"4,24606653","21,01513616","74,90156752","25,39999962"
02/01/2011 10.00,"4,42847972","24,5803852","87,22153952","25,39999962"
02/01/2011 11.00,"4,41944978","27,029466","72,01190456","25,39999962"
02/01/2011 12.00,"4,39777649","16,90348341","51,27588216","25,39999962"
02/01/2011 13.00,"4,37429803","11,09940091","39,5953212","25,39999962"
02/01/2011 14.00,"4,13047838","10,14936062","30,94709664","25,39999962"
02/01/2011 15.00,"4,13770315","6,86314886","26,22481992","25,39999962"
02/01/2011 16.00,"4,17924251","6,46469953","29,93935792","25,39999962"
02/01/2011 17.00,"4,10880509","14,5089099","44,29945304","25,39999962"
02/01/2011 18.00,"4,18827245","26,82700432","67,35448288","25,39999962"
02/01/2011 19.00,"4,16840638","26,14692504","70,79405616","25,39999962"
02/01/2011 20.00,"4,15395684","27,47463696","72,35948704","25,39999962"
