"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOx,O3,PM10,



01/01/2011 1.00,"39,00590896","50,73277856","1,64080571",,
01/01/2011 2.00,"31,56748328","41,35241096","1,82274173",,
01/01/2011 3.00,"38,84530096","59,1922696","0,65919987",,
01/01/2011 4.00,"39,77814664","64,81467768","0,14046995",,
01/01/2011 5.00,"37,94165152","55,67912256","0,11593145",,
01/01/2011 6.00,"34,84623824","45,17360032","0,60081221",54,
01/01/2011 7.00,"37,37707616","49,60603696","1,04845629",54,
01/01/2011 8.00,"27,46132944","33,552732","2,24330967",54,
01/01/2011 9.00,"26,30298248","34,12988832","2,56656152",54,
01/01/2011 10.00,"22,2844556","30,81287424","6,34490199",54,
01/01/2011 11.00,"18,18642585","25,67360944","12,65933235",54,
01/01/2011 12.00,"21,12448344","25,38340608","23,20821405",54,
01/01/2011 13.00,"20,73187336","25,43204736","31,45031715",54,
01/01/2011 14.00,"23,55800056","28,4507512","33,0716736",54,
01/01/2011 15.00,"33,87444512","42,1143812","26,3476458",54,
01/01/2011 16.00,"20,67021136","23,55792408","38,8191489",54,
01/01/2011 17.00,"20,08456576","22,732724","38,9900805",54,
01/01/2011 18.00,"37,16455736","40,97628232","20,50371225",54,
01/01/2011 19.00,"59,53176432","91,87605496","3,47031846",54,
01/01/2011 20.00,"72,7197652","167,67448432","1,02137816",54,
01/01/2011 21.00,"62,43899856","150,84622664","1,34124648",54,
01/01/2011 22.00,"48,50795624","85,3165948","1,33870884",54,
01/01/2011 23.00,"41,421568","67,98414272","3,75633762",54,
02/01/2011 0.00,"27,42240112","32,88479392","10,09193094",54,
02/01/2011 1.00,"28,7413752","31,84558368","6,954173",,
02/01/2011 2.00,"26,59177096","29,12517096","8,85138408",,
02/01/2011 3.00,,,"13,7695698",,
02/01/2011 4.00,"16,62898522","18,0749639","15,31813868",,
02/01/2011 5.00,"12,29084842","13,17726309","17,25765773",,
02/01/2011 6.00,"9,94818954","10,31094947",,"26,89999962",
02/01/2011 7.00,"17,0434877","18,34408554","12,11945543","26,89999962",
02/01/2011 8.00,"23,13292472","28,73284768","6,51498971","26,89999962",
02/01/2011 9.00,"25,25820832","34,57247808","9,41495961","26,89999962",
02/01/2011 10.00,"25,7027292","33,88507584","13,78818315","26,89999962",
02/01/2011 11.00,"36,50912376","55,4278284","13,4818509","26,89999962",
02/01/2011 12.00,"29,96136504","38,85574048","28,81859295","26,89999962",
02/01/2011 13.00,"21,89509592","28,23513496","38,167542","26,89999962",
02/01/2011 14.00,"14,87523763","19,23575248","43,77794085","26,89999962",
02/01/2011 15.00,"12,7515907","15,91225672","46,914021","26,89999962",
02/01/2011 16.00,"8,79632808","10,60601122","50,43932565","26,89999962",
02/01/2011 17.00,"11,28012315","12,80276156","47,85161115","26,89999962",
02/01/2011 18.00,"26,74264688","29,35376968","31,07968605","26,89999962",
02/01/2011 19.00,"40,86024304","45,94694696","20,06030355","26,89999962",
02/01/2011 20.00,"50,47748832","57,50622976","14,1926694","26,89999962",
02/01/2011 21.00,"64,18626064","84,2676716","6,18158331","26,89999962",
