
Stat, Modugno Magna Grecia,,,,
,SO2,NO2,NOX,CO,O3,PM10



01/01/2011 1.00,"9,64440525","34,59092888","48,98867128","1,35608447","5,7663101","48,20000076"
01/01/2011 2.00,"8,41086154","32,10335952","43,11986376","1,27680156","6,60128144","48,20000076"
01/01/2011 3.00,"8,09660651","31,03724744","41,21782528","1,12479585","5,98418804","48,20000076"
01/01/2011 4.00,"8,45691537","36,13630288","51,51388792","1,06098181","4,02599778","48,20000076"
01/01/2011 5.00,"8,3024951","29,11513296","39,07135672","0,95664791","6,85705241","48,20000076"
01/01/2011 6.00,"7,77512467","18,15959093","23,30014824","0,86325918","10,49195238","48,20000076"
01/01/2011 7.00,"7,87265192","16,20764351","21,72236584","0,80606467","12,51239262","48,20000076"
01/01/2011 8.00,"8,22122155","18,31004047","25,34417184","0,81764127","11,35195898","48,20000076"
01/01/2011 9.00,"8,33500758","18,87746662","26,39472024","0,83724007","16,29344829","48,20000076"
01/01/2011 10.00,"8,26818152","23,38702952","36,55780328","0,87768188","16,68048428","48,20000076"
01/01/2011 11.00,"8,3918111","32,36360184","43,25190648","1,07919542","19,45939958","48,20000076"
01/01/2011 12.00,"8,31152606","24,51994688","32,41723344","0,89807054","29,68613865","48,20000076"
01/01/2011 13.00,"8,5255466","39,26198312","59,66990632","0,91814233","27,1792017","48,20000076"
01/01/2011 14.00,"8,83980265","51,26810032","79,85666848","0,953902","23,3751357","48,20000076"
01/01/2011 15.00,"8,5047764","43,97003456","59,04930936","0,87450026","25,61210925","48,20000076"
01/01/2011 16.00,"8,27179391","27,78571936","34,95281312","0,76218494","36,2461176","48,20000076"
01/01/2011 17.00,"8,22212668","43,0407452","54,6538508","0,8143618","19,12991535","48,20000076"
01/01/2011 18.00,"8,45059471","49,94648768","65,447282","0,90176476","9,77742119","48,20000076"
01/01/2011 19.00,"8,87411724","67,56719288","103,53099512","1,06722505","8,44106246","48,20000076"
01/01/2011 20.00,"8,85063878","56,95597528","80,400078","1,492365","5,91517101","48,20000076"
01/01/2011 21.00,"8,52012802","44,54069008","58,95592728","1,21522082","6,85366889","48,20000076"
01/01/2011 22.00,"8,16162433","36,7698632","45,9498532","1,09654344","10,90470192","48,20000076"
01/01/2011 23.00,"8,33500758","33,89511384","42,66721688","1,21379836","8,19408944","48,20000076"
02/01/2011 0.00,"8,21309674","35,38924624","46,73449976","1,12673208","9,73276311","48,20000076"
02/01/2011 1.00,"7,6080631","22,89742368","28,60153152",,"18,61093406","25,10000038"
02/01/2011 2.00,"7,93315528","17,48321902","22,55244152","0,89224205","22,81487985","25,10000038"
02/01/2011 3.00,"7,94760482",,,"0,82817171","25,52548635","25,10000038"
02/01/2011 4.00,"8,11195507","12,29791326","17,17388992","0,76791441",,"25,10000038"
02/01/2011 5.00,,"10,5632111","15,14282777","0,72490494","28,43096445","25,10000038"
02/01/2011 6.00,"7,72726363","11,19548465","15,86264797","0,70352836","25,21626135","25,10000038"
02/01/2011 7.00,"7,70378517","16,35809306","21,68735712","0,71648898","18,21915995","25,10000038"
02/01/2011 8.00,"7,9521203","18,84698743","24,45121048","0,75432236","19,51965855","25,10000038"
02/01/2011 9.00,"7,94128315","22,07319872","28,25458","0,9579131","23,3622879","25,10000038"
02/01/2011 10.00,"7,5701351","18,05518426","24,14771872","1,04586827","28,5115026","25,10000038"
02/01/2011 11.00,"7,95934303","26,83633488","37,08373712","1,06106103","34,77446595","25,10000038"
02/01/2011 12.00,"8,47229342","37,62236664","60,3964472","0,85992961","42,0796971","25,10000038"
02/01/2011 13.00,"8,31152606","27,49325984","45,84802008","0,77083856","53,63707125","25,10000038"
02/01/2011 14.00,"8,39912027","25,447286","41,36634944","0,745254","57,1792935","25,10000038"
02/01/2011 15.00,"8,13724176","22,61727744","33,71290024","0,71384094","58,41282195","25,10000038"
02/01/2011 16.00,"7,98824007","24,01152696","32,44055984","0,73322188","54,39900165","25,10000038"
02/01/2011 17.00,"7,65502104","27,98156552","33,81731456","0,73128565","45,46399515","25,10000038"
02/01/2011 18.00,"7,85007655","31,62736712","36,3658576","0,74329796","39,8099856","25,10000038"
02/01/2011 19.00,"7,95482755","26,37655624","31,20714776","0,77763517","46,84230075","25,10000038"
02/01/2011 20.00,"8,11014989","32,3432964","36,98452344","0,9184196","29,4675864","25,10000038"
02/01/2011 21.00,"7,97650084","22,04012112","25,3603856","0,87335507","30,61110045","25,10000038"
02/01/2011 22.00,"7,75886996","14,72585116","18,40796164","0,77038421","38,1704946","25,10000038"
02/01/2011 23.00,"7,90787165","13,36986267","16,84640447","0,76198806","38,9594373","25,10000038"
03/01/2011 0.00,"7,93405838","12,65652798","15,77056222","0,76182962","38,5291158","25,10000038"
03/01/2011 1.00,"7,67579225","9,43484239","12,40491451","0,75230691","41,1998223","25,7999897"
03/01/2011 2.00,"7,81576297","8,68583934","11,55604387","0,81203063","36,6947532","25,7999897"
03/01/2011 3.00,"7,49518322","9,84144449","13,62666339","0,85308523","29,32616085","25,7999897"
03/01/2011 4.00,"7,70559136","10,70393239","14,28293254","0,84854057","28,13865705","25,7999897"
03/01/2011 5.00,"7,75615965","10,14104533","13,17985576","0,84085506","31,39533495","25,7999897"
03/01/2011 6.00,"7,98733697","13,26156699","17,30164211","0,90383962","30,19091355","25,7999897"
03/01/2011 7.00,"7,9150954","19,47796464","26,48162064","0,85039758","30,0488097","25,7999897"
03/01/2011 8.00,"7,90606444","28,64044072","38,04415384","0,85796425","23,59300965","25,7999897"
03/01/2011 9.00,"8,13994901","27,16577248","36,53512696","0,89099783","26,0708595","25,7999897"
03/01/2011 10.00,"8,15891504","24,5549556","34,8814764","0,88356862","31,63214145","25,7999897"
03/01/2011 11.00,"8,25373504","22,26644456","34,4022336","0,84369999","35,91053865","25,7999897"
03/01/2011 12.00,"8,14356241","18,2205474","28,07689784","0,85284757","41,66196405","25,7999897"
03/01/2011 13.00,"8,92017311","28,0062112","53,87761704","0,87043092","32,872413","25,7999897"
03/01/2011 14.00,"10,11940018","29,31551056","54,08319528","0,88196908","37,8964614","25,7999897"
03/01/2011 15.00,"13,15539333","38,22248608","80,90136616","0,92853529","36,85377465","25,7999897"
03/01/2011 16.00,"12,73999968","34,83283512","66,4284248","0,81171492","43,09573065","25,7999897"
03/01/2011 17.00,"9,97852941","47,60218448","94,25827312","0,79841877","36,73942125","25,7999897"
03/01/2011 18.00,"9,52971917","50,52494416","95,9047728","0,81365115","38,4032712","25,7999897"
