"NetC","SIMAGE Brindisi","","",""
"Stat","Quartiere Bozzano","","",""
,SO2,NOX,NO2,PM10



01/01/2011 1.00,"1,6","96,6","45,1",
01/01/2011 2.00,"2,9","182,6","60,4","59,3"
01/01/2011 3.00,"2,5","177,8","62,4",
01/01/2011 4.00,"1,8",120,"51,6","142,6"
01/01/2011 5.00,"0,4","80,2","37,4",
01/01/2011 6.00,"0,4","83,3","46,4","105,3"
01/01/2011 7.00,"0,3","40,3","27,6",
01/01/2011 8.00,"0,2","43,5","33,8",74
01/01/2011 9.00,"0,3",47,"32,2",
01/01/2011 10.00,"0,5","90,5","50,5",44
01/01/2011 11.00,"0,2","21,5","16,1",
01/01/2011 12.00,"0,3","17,6","12,5","36,9"
01/01/2011 13.00,"0,2","9,8","6,1",
01/01/2011 14.00,"0,2","9,9","5,9","24,7"
01/01/2011 15.00,"0,2","4,2","2,5",
01/01/2011 16.00,"0,2",10,"7,5","13,7"
01/01/2011 17.00,"0,2","23,8","20,6",
01/01/2011 18.00,"1,3","152,1","76,3","7,8"
01/01/2011 19.00,"3,3","229,4","84,2",
01/01/2011 20.00,"6,2","349,5","91,7","12,5"
01/01/2011 21.00,5,"282,2","78,2",
01/01/2011 22.00,"4,9","252,5","78,3","29,3"
01/01/2011 23.00,"4,4","246,4","70,8",
02/01/2011 0.00,"2,6","179,1","57,4","76,9"
02/01/2011 1.00,2,"127,4","59,7",
02/01/2011 2.00,"0,2","58,6","48,1","113,1"
02/01/2011 3.00,"0,5","32,2","28,6",
02/01/2011 4.00,"0,3","20,5","17,6","61,3"
02/01/2011 5.00,"0,3","7,8","6,5",
02/01/2011 6.00,"0,3",9,"7,1","36,9"
02/01/2011 7.00,"0,3","10,2","8,7",
02/01/2011 8.00,"0,2","12,7","9,6","21,2"
02/01/2011 9.00,"0,2","16,6","12,4",
02/01/2011 10.00,"0,2","12,1","8,7","14,7"
02/01/2011 11.00,"0,2","17,5","10,9",
02/01/2011 12.00,"0,2","19,8","13,1",11
