TARANTO - Carcere,,,
,SO2,NO2,PM10
01/01/2011 1.00,"0,752946","18,256509",
01/01/2011 2.00,"0,671693","18,802269","27,10622"
01/01/2011 3.00,"0,650026","17,444288",
01/01/2011 4.00,"0,650026","13,85608","31,746031"
01/01/2011 5.00,"0,650026","13,946285",
01/01/2011 6.00,"0,650026","16,043646","22,46641"
01/01/2011 7.00,"0,686138","17,985256",
01/01/2011 8.00,"0,650026","20,079364","17,094"
01/01/2011 9.00,"0,650026","15,503073",
01/01/2011 10.00,"0,650026","10,961174","12,69841"
01/01/2011 11.00,"0,651832","5,894935",
01/01/2011 12.00,"0,785448","5,314786","14,16361"
01/01/2011 13.00,"0,668083","6,567882",
01/01/2011 14.00,"0,785448","7,289498","8,058608"
01/01/2011 15.00,"0,760169","4,292063",
01/01/2011 16.00,"0,687944","5,461446","7,814408"
01/01/2011 17.00,"0,650026","9,119498",
01/01/2011 18.00,"0,650026","14,9411","10,01221"
01/01/2011 19.00,"0,715028","26,042453",
01/01/2011 20.00,"0,71864","33,488335","10,74481"
01/01/2011 21.00,"0,884757","37,328089",
01/01/2011 22.00,"0,706","44,139323","10,25641"
01/01/2011 23.00,"0,650026","28,610288",
02/01/2011 0.00,"0,776419","20,606943","11,23321"
02/01/2011 1.00,,"17,787985",
02/01/2011 2.00,"0,73489",,"7,814408"
02/01/2011 3.00,"0,727668","14,349923",
02/01/2011 4.00,"0,789059","17,426528","7,326007"
02/01/2011 5.00,"0,662665","13,959904",
02/01/2011 6.00,"0,781837","31,682334","6,837607"
02/01/2011 7.00,"1,045459","33,798518",
02/01/2011 8.00,"1,229632","42,725282","9,523809"
02/01/2011 9.00,"1,101432","31,058719",
02/01/2011 10.00,"0,680722","16,811975","12,45421"
02/01/2011 11.00,"0,707806","13,244783",
02/01/2011 12.00,"0,76378","9,094838","10,74481"
02/01/2011 13.00,"0,857673","8,872253",
02/01/2011 14.00,"0,906425","6,091563","7,081807"
02/01/2011 15.00,"0,933509","6,578915",
02/01/2011 16.00,"0,807116","6,62434","8,791209"
02/01/2011 17.00,"0,650026","8,887829",
02/01/2011 18.00,"0,935315","11,358974","10,74481"
02/01/2011 19.00,"1,056292","14,093593",
02/01/2011 20.00,"0,956983","16,680251","14,40781"
02/01/2011 21.00,"1,069834","28,119688",
02/01/2011 22.00,"0,650026","17,920361","14,89621"
02/01/2011 23.00,"1,339775","26,943808",
03/01/2011 0.00,"2,768027","35,949748","15,62881"
03/01/2011 1.00,"3,853208","25,554433",
03/01/2011 2.00,"6,239345","26,768592","16,84981"
03/01/2011 3.00,"8,956815","30,410435",
03/01/2011 4.00,"9,944493","26,589495","23,44322"
03/01/2011 5.00,"4,635046","13,623114",
03/01/2011 6.00,"5,88454","27,124854","26,12941"
03/01/2011 7.00,"5,740089","35,288482",
03/01/2011 8.00,"6,007322","37,798577","25,88522"
03/01/2011 9.00,"6,642","32,484419",
03/01/2011 10.00,"3,093943","22,008668","25,15262"
03/01/2011 11.00,"2,18842","14,61793",
03/01/2011 12.00,"1,950077","16,812628","15,14041"
03/01/2011 13.00,"1,950077","17,012503",
03/01/2011 14.00,"2,202866","12,188315","16,11721"
03/01/2011 15.00,"2,219116","14,438173",
03/01/2011 16.00,"3,25013","17,105301","14,16361"
03/01/2011 17.00,"4,646783","11,959234",
03/01/2011 18.00,"4,068078","16,347988","12,45421"
03/01/2011 19.00,"2,052999","14,795735",
03/01/2011 20.00,"1,950077","17,333079","8,302809"
03/01/2011 21.00,"1,950077","19,813309",
03/01/2011 22.00,"7,595372","40,695427","17,582411"
03/01/2011 23.00,"15,381229","38,004919",
04/01/2011 0.00,"15,207892","29,381856","22,954821"
04/01/2011 1.00,,"34,355312",
04/01/2011 2.00,"3,100262",,"15,87301"
04/01/2011 3.00,"1,9573","5,524393",
04/01/2011 4.00,"1,950077","4,168766","9,035409"
04/01/2011 5.00,"1,908548","5,923489",
04/01/2011 6.00,"1,942855","19,705587","5,128205"
04/01/2011 7.00,"1,415612","22,651101",
04/01/2011 8.00,"2,174878","31,211869","12,94261"
04/01/2011 9.00,"1,895909","29,348128",
04/01/2011 10.00,"1,69097","24,677074","11,72161"
04/01/2011 11.00,"1,854379","15,787316",
04/01/2011 12.00,"2,688579","12,750288","15,38461"
04/01/2011 13.00,"2,090916","7,251212",
04/01/2011 14.00,"1,950077","9,345328","12,45421"
04/01/2011 15.00,"1,948272","15,805483",
04/01/2011 16.00,"1,941049","20,734148","12,69841"
04/01/2011 17.00,"1,917576","45,295717",
04/01/2011 18.00,"3,268185","70,233687","18,31501"
04/01/2011 19.00,"4,43101","71,447191",
04/01/2011 20.00,"4,446358","63,000647","26,37361"
04/01/2011 21.00,"2,204671","48,423599",
04/01/2011 22.00,"1,061709","34,520146","25,64102"
04/01/2011 23.00,"0,715028","30,301413",
05/01/2011 0.00,"0,915454","20,15854","22,22221"
05/01/2011 1.00,"0,650026","15,380431",
05/01/2011 2.00,"0,650026","13,302539","19,2918"
05/01/2011 3.00,"0,650026","8,213584",
05/01/2011 4.00,"0,650026","8,042264","18,31501"
05/01/2011 5.00,"0,662665","6,987094",
05/01/2011 6.00,"0,890174","14,045571","14,65201"
05/01/2011 7.00,"1,188103","20,965156",
05/01/2011 8.00,"1,94466","37,830374","22,710621"
05/01/2011 9.00,"1,78396","31,419531",
05/01/2011 10.00,"2,193838","34,866028","26,37361"
05/01/2011 11.00,"1,950077","23,987914",
05/01/2011 12.00,"1,950077","17,564102","29,79241"
05/01/2011 13.00,"1,950077","8,114944",
05/01/2011 14.00,"1,829101","8,27718","22,22221"
05/01/2011 15.00,"1,776738","12,216867",
05/01/2011 16.00,"1,49867","13,497219","17,3382"
05/01/2011 17.00,"2,768027","44,410576",
05/01/2011 18.00,"1,762292","48,868117","19,78022"
05/01/2011 19.00,"1,543811","47,378175",
05/01/2011 20.00,"2,73372","53,066087","22,954821"
05/01/2011 21.00,"1,486031","36,897834",
05/01/2011 22.00,"1,430057","34,698593","26,86202"
05/01/2011 23.00,"0,711417","15,73669",
06/01/2011 0.00,"0,650026","12,881375","25,15262"
06/01/2011 1.00,,"15,590683",
06/01/2011 2.00,"0,790865",,"21,24542"
06/01/2011 3.00,"0,650026","10,983237",
06/01/2011 4.00,"0,650026","11,032561","20,757021"
06/01/2011 5.00,"0,650026","8,24019",
06/01/2011 6.00,"0,650026","8,845648","14,40781"
06/01/2011 7.00,"0,650026","14,56342",
06/01/2011 8.00,"0,970525","19,448595","13,43101"
06/01/2011 9.00,"0,666276","17,734125",
06/01/2011 10.00,"1,348803","22,904841","18,55921"
06/01/2011 11.00,"2,076472","26,322121",
06/01/2011 12.00,"3,875779","19,71532","16,84981"
06/01/2011 13.00,"9,808168","26,729014",
06/01/2011 14.00,"9,700733","15,972912","20,757021"
06/01/2011 15.00,"10,363392","14,573805",
06/01/2011 16.00,"6,208649","11,038398","11,96581"
06/01/2011 17.00,"2,107167","14,128634",
06/01/2011 18.00,"2,501697","56,419793","13,43101"
06/01/2011 19.00,"3,136375","61,748844",
06/01/2011 20.00,"2,301273","45,731808","27,59462"
06/01/2011 21.00,"2,213699","46,461867",
06/01/2011 22.00,"2,608229","43,859635","30,036631"
