"NetC","ARPA Puglia","","","","","","","","","",""
"Stat","Foggia Via Rosati","","","","","","","","","",""
,SO2,NO2,NOx,CO,PM10,



01/01/2011 1.00,,,,,,
01/01/2011 2.00,,,,,,
01/01/2011 3.00,,,,,,
01/01/2011 4.00,,,,,,
01/01/2011 5.00,,,,,,
01/01/2011 6.00,,,,,,
01/01/2011 7.00,,,,,,
01/01/2011 8.00,,,,,,
01/01/2011 9.00,,,,,,
01/01/2011 10.00,,,,,,
01/01/2011 11.00,,,,,,
01/01/2011 12.00,,,,,,
01/01/2011 13.00,,,,,,
01/01/2011 14.00,,,,,,
01/01/2011 15.00,,,,,,
01/01/2011 16.00,,,,,,
01/01/2011 17.00,,,,,,
01/01/2011 18.00,,,,,,
01/01/2011 19.00,,,,,,
01/01/2011 20.00,,,,,,
01/01/2011 21.00,,,,,,
01/01/2011 22.00,,,,,,
01/01/2011 23.00,,,,,,
02/01/2011 0.00,,,,,,
02/01/2011 1.00,,,,,,
02/01/2011 2.00,,,,,,
02/01/2011 3.00,,,,,,
02/01/2011 4.00,,,,,,
02/01/2011 5.00,,,,,,
02/01/2011 6.00,,,,,,
02/01/2011 7.00,,,,,,
02/01/2011 8.00,,,,,,
02/01/2011 9.00,,,,,,
02/01/2011 10.00,,,,,,
02/01/2011 11.00,,,,,,
02/01/2011 12.00,,,,,,
02/01/2011 13.00,,,,,,
02/01/2011 14.00,,,,,,
02/01/2011 15.00,,,,,,
02/01/2011 16.00,,,,,,
02/01/2011 17.00,,,,,,
02/01/2011 18.00,,,,,,
02/01/2011 19.00,,,,,,
02/01/2011 20.00,,,,,,
02/01/2011 21.00,,,,,,
02/01/2011 22.00,,,,,,
02/01/2011 23.00,,,,,,
03/01/2011 0.00,,,,,,
03/01/2011 1.00,,,,,,
03/01/2011 2.00,,,,,,
03/01/2011 3.00,,,,,,
03/01/2011 4.00,,,,,,
03/01/2011 5.00,,,,,,
03/01/2011 6.00,,,,,,
03/01/2011 7.00,,,,,,
03/01/2011 8.00,,,,,,
03/01/2011 9.00,,,,,,
03/01/2011 10.00,,,,,,
03/01/2011 11.00,,,,,,
03/01/2011 12.00,,,,,,
03/01/2011 13.00,,,,,,
03/01/2011 14.00,,,,,,
03/01/2011 15.00,,,,,,
03/01/2011 16.00,,,,,,
03/01/2011 17.00,,,,,,
03/01/2011 18.00,,,,,,
03/01/2011 19.00,,,,,,
03/01/2011 20.00,,,,,,
03/01/2011 21.00,,,,,,
03/01/2011 22.00,,,,,,
03/01/2011 23.00,,,,,,
04/01/2011 0.00,,,,,,
04/01/2011 1.00,,,,,,
04/01/2011 2.00,,,,,,
04/01/2011 3.00,,,,,,
04/01/2011 4.00,,,,,,
04/01/2011 5.00,,,,,,
04/01/2011 6.00,,,,,,
04/01/2011 7.00,,,,,,
04/01/2011 8.00,,,,,,
04/01/2011 9.00,,,,,,
04/01/2011 10.00,,,,,,
04/01/2011 11.00,,,,,,
04/01/2011 12.00,,,,,,
04/01/2011 13.00,,,,,,
04/01/2011 14.00,,,,,,
04/01/2011 15.00,,,,,,
04/01/2011 16.00,,,,,,
04/01/2011 17.00,,,,,,
04/01/2011 18.00,,,,,,
