"NetC","Provincia di Lecce","","","","","","","","","",""
"Stat","Galatina","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM2.5



01/01/2011 1.00,"3,2","68,8","85,1","0,8","16,8","49,3"
01/01/2011 2.00,"3,1","61,9","75,5","0,7","22,1","49,3"
01/01/2011 3.00,"2,7",63,"75,6","0,6","20,2","49,3"
01/01/2011 4.00,"2,6","60,4","72,7","0,5","21,6","49,3"
01/01/2011 5.00,"2,7","64,2","78,3","0,6",13,"49,3"
01/01/2011 6.00,"2,8","56,8","72,2","0,5","15,3","49,3"
01/01/2011 7.00,"2,7","55,2","67,5","0,4","19,6","49,3"
01/01/2011 8.00,"2,8","52,8","68,8","0,5","12,5","49,3"
01/01/2011 9.00,"3,1","61,2","86,9","0,5",24,"49,3"
01/01/2011 10.00,"2,9","57,4","72,3","0,4","32,1","49,3"
01/01/2011 11.00,"2,9","49,6","61,4","0,4","43,4","49,3"
01/01/2011 12.00,"2,8","46,8","54,4","0,3","58,5","49,3"
01/01/2011 13.00,3,"48,7","55,9","0,3","57,8","49,3"
01/01/2011 14.00,"2,9","49,8",57,"0,3","59,2","49,3"
01/01/2011 15.00,"2,9","45,6","52,1","0,3","60,3","49,3"
01/01/2011 16.00,"2,7","47,9","54,9","0,4","52,6","49,3"
01/01/2011 17.00,"2,9","53,4","61,3","0,5","40,9","49,3"
01/01/2011 18.00,"2,7","64,6","74,9","0,6","28,2","49,3"
01/01/2011 19.00,"2,9","65,3","76,8","0,6","27,2","49,3"
01/01/2011 20.00,"3,3","73,3","88,7","0,6","18,8","49,3"
01/01/2011 21.00,"3,3","78,7","97,4","0,7","14,2","49,3"
01/01/2011 22.00,"3,3",66,"80,4","0,5","26,5","49,3"
01/01/2011 23.00,3,"65,3","78,5","0,5","25,9","49,3"
02/01/2011 0.00,"3,1","60,7","72,3","0,4","32,3","49,3"
02/01/2011 1.00,"3,1","54,5","64,7","0,4","36,6","18,7"
02/01/2011 2.00,"3,1",,,"0,3","41,4","18,7"
02/01/2011 3.00,"3,1","46,9","55,3",,42,"18,7"
02/01/2011 4.00,,"45,2","53,1","0,2","45,6","18,7"
02/01/2011 5.00,"2,9","43,4",51,"0,2",,"18,7"
02/01/2011 6.00,"3,2","42,8","50,2","0,2","47,3","18,7"
02/01/2011 7.00,"3,2","40,9","47,9","0,2","54,1","18,7"
02/01/2011 8.00,"3,1","42,3","48,9","0,2","50,3","18,7"
02/01/2011 9.00,3,41,"48,2","0,2","52,3","18,7"
02/01/2011 10.00,"3,1","42,5","49,7","0,2","56,4","18,7"
02/01/2011 11.00,"3,2","44,1","51,3","0,3",56,"18,7"
02/01/2011 12.00,"3,3","44,1","52,1","0,3",56,"18,7"
02/01/2011 13.00,"3,3","46,4","54,4","0,3","54,4","18,7"
02/01/2011 14.00,"3,2","47,5","55,1","0,4",54,"18,7"
02/01/2011 15.00,"3,3","43,9","51,2","0,3","58,1","18,7"
02/01/2011 16.00,"3,3","45,6",53,"0,4","53,3","18,7"
02/01/2011 17.00,"3,3","46,6","54,1","0,4",52,"18,7"
02/01/2011 18.00,"3,2","59,2","68,2","0,5","36,5","18,7"
