"NetC","Regione-Provincia Lecce","","",""
"Stat","Baldassarre","","",""
,SO2,NO2,NOX,PM10



01/01/2011 1.00,"1,5","10,8",16,"34,4"
01/01/2011 2.00,"1,5","11,8","19,1","34,4"
01/01/2011 3.00,"1,5","9,4","14,7","34,4"
01/01/2011 4.00,"1,4","10,2","18,2","34,4"
01/01/2011 5.00,"1,4","7,1","13,3","34,4"
01/01/2011 6.00,"1,1","7,2","12,1","34,4"
01/01/2011 7.00,"0,9","4,9","9,5","34,4"
01/01/2011 8.00,"1,2","4,6","9,1","34,4"
01/01/2011 9.00,"1,2","4,4","9,3","34,4"
01/01/2011 10.00,"1,6","11,5","22,8","34,4"
01/01/2011 11.00,"1,5","5,5","11,9","34,4"
01/01/2011 12.00,"1,9","3,9","8,8","34,4"
01/01/2011 13.00,"2,6","4,5","9,6","34,4"
01/01/2011 14.00,"2,2","3,6","8,5","34,4"
01/01/2011 15.00,"2,3","3,2","7,8","34,4"
01/01/2011 16.00,"2,8","2,8",7,"34,4"
01/01/2011 17.00,"2,7","4,5","8,9","34,4"
01/01/2011 18.00,"2,4","9,6","15,1","34,4"
01/01/2011 19.00,"2,3","11,6","17,2","34,4"
01/01/2011 20.00,2,"9,4","14,6","34,4"
01/01/2011 21.00,"2,2","17,1","24,6","34,4"
01/01/2011 22.00,2,"14,5","20,5","34,4"
01/01/2011 23.00,"2,1","10,3","15,3","34,4"
02/01/2011 0.00,"1,8","12,7","18,1","34,4"
02/01/2011 1.00,,"10,9","15,6","11,2"
02/01/2011 2.00,"1,1",,,"11,2"
02/01/2011 3.00,"1,2",14,"18,2","11,2"
02/01/2011 4.00,"1,3","7,5","11,7","11,2"
02/01/2011 5.00,"1,1","5,3","9,4","11,2"
02/01/2011 6.00,"1,2","4,1","8,1","11,2"
02/01/2011 7.00,"1,4","4,7","8,6","11,2"
02/01/2011 8.00,"1,1","3,6","7,5","11,2"
02/01/2011 9.00,"1,1","5,2","9,2","11,2"
02/01/2011 10.00,"1,3","5,7",10,"11,2"
02/01/2011 11.00,"1,8","6,5",11,"11,2"
02/01/2011 12.00,"1,6","3,4","7,6","11,2"
02/01/2011 13.00,"1,7","5,6","10,2","11,2"
02/01/2011 14.00,"1,3","4,5","8,7","11,2"
02/01/2011 15.00,"1,7","3,5","7,3","11,2"
02/01/2011 16.00,"1,3","4,4","8,5","11,2"
02/01/2011 17.00,"1,2","6,1","10,9","11,2"
02/01/2011 18.00,"1,5",6,"10,2","11,2"
02/01/2011 19.00,"1,3","6,5","10,6","11,2"
02/01/2011 20.00,"1,1","6,4","10,9","11,2"
02/01/2011 21.00,"1,7","6,1","10,6","11,2"
02/01/2011 22.00,"1,6","5,5","9,5","11,2"
02/01/2011 23.00,"1,1","4,5","8,5","11,2"
03/01/2011 0.00,"1,4","5,4","9,4","11,2"
03/01/2011 1.00,"1,4","5,9","9,8",15
03/01/2011 2.00,"1,1","6,3","10,5",15
03/01/2011 3.00,"1,2","4,7","8,5",15
03/01/2011 4.00,"1,1",5,"9,2",15
03/01/2011 5.00,"1,1",4,"7,9",15
03/01/2011 6.00,1,"3,7","7,6",15
03/01/2011 7.00,"0,7","3,5","7,2",15
03/01/2011 8.00,"0,8","4,7","8,8",15
03/01/2011 9.00,"0,9","7,8","12,3",15
03/01/2011 10.00,1,"7,5","12,4",15
03/01/2011 11.00,"1,1","6,8","11,5",15
03/01/2011 12.00,"0,8","7,6","12,7",15
03/01/2011 13.00,"1,2","7,5","12,1",15
03/01/2011 14.00,"1,2","7,5",12,15
03/01/2011 15.00,"1,1","6,6","10,9",15
03/01/2011 16.00,"1,6","5,7","9,8",15
03/01/2011 17.00,"1,5","5,5","9,8",15
03/01/2011 18.00,"1,1","4,9","8,8",15
03/01/2011 19.00,"1,1","3,8",8,15
03/01/2011 20.00,1,"3,9","8,1",15
03/01/2011 21.00,"0,8","5,1","10,2",15
03/01/2011 22.00,"0,9",2,"5,9",15
03/01/2011 23.00,"0,8",3,7,15
04/01/2011 0.00,"0,8","2,3",6,15
04/01/2011 1.00,,"2,2","6,1","22,7"
04/01/2011 2.00,"0,7",,,"22,7"
04/01/2011 3.00,"0,8","10,1","13,9","22,7"
04/01/2011 4.00,"0,5","6,9","10,6","22,7"
04/01/2011 5.00,"0,4","5,1","8,7","22,7"
04/01/2011 6.00,"0,6","4,6","8,4","22,7"
04/01/2011 7.00,"0,7",4,"7,7","22,7"
04/01/2011 8.00,"0,5","7,6","12,1","22,7"
04/01/2011 9.00,"0,4","12,7","18,8","22,7"
04/01/2011 10.00,"0,5","14,8","21,9","22,7"
04/01/2011 11.00,"0,6","12,6","19,3","22,7"
04/01/2011 12.00,"0,9","5,6","10,4","22,7"
04/01/2011 13.00,"1,2","3,8","8,2","22,7"
04/01/2011 14.00,"1,4","3,9","8,6","22,7"
04/01/2011 15.00,"1,8","4,7","9,3","22,7"
04/01/2011 16.00,"1,7","4,3","8,4","22,7"
04/01/2011 17.00,"1,7","6,5","10,6","22,7"
04/01/2011 18.00,"2,1","12,1","17,3","22,7"
04/01/2011 19.00,"1,4","16,6","22,1","22,7"
04/01/2011 20.00,"1,2","14,4","20,3","22,7"
04/01/2011 21.00,"0,8","12,7",18,"22,7"
04/01/2011 22.00,"0,6","11,9","17,1","22,7"
04/01/2011 23.00,"0,7","14,1","25,3","22,7"
05/01/2011 0.00,"0,7","14,9","22,2","22,7"
05/01/2011 1.00,"0,8","10,1","15,5","81,8"
05/01/2011 2.00,"0,9","10,4","15,8","81,8"
05/01/2011 3.00,1,"6,6",11,"81,8"
05/01/2011 4.00,"0,7","11,1","17,4","81,8"
05/01/2011 5.00,"1,1","8,9","13,8","81,8"
05/01/2011 6.00,"1,1","9,8","15,5","81,8"
05/01/2011 7.00,"0,8","8,8",15,"81,8"
05/01/2011 8.00,2,"10,7",26,"81,8"
05/01/2011 9.00,"1,4",14,"37,5","81,8"
05/01/2011 10.00,2,"22,8",57,"81,8"
05/01/2011 11.00,"1,6","28,5","42,9","81,8"
05/01/2011 12.00,"1,4","14,6","22,7","81,8"
05/01/2011 13.00,"1,8","13,4","20,4","81,8"
05/01/2011 14.00,"1,8","14,6","21,2","81,8"
05/01/2011 15.00,"2,2",15,"22,2","81,8"
