
Stat, San Pietro In Lama,,,,,
Parm,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2011 1.00,"56,7","111,9","1,3","7,5",,9
01/01/2011 2.00,"54,9","75,1",1,"11,9","219,3","6,5"
01/01/2011 3.00,"41,4","55,8","0,9","15,2",,"4,1"
01/01/2011 4.00,"15,7","19,9","0,4","45,6","132,8","3,4"
01/01/2011 5.00,13,"16,8","0,4","52,5",,"1,4"
01/01/2011 6.00,"11,2","13,2","0,4",57,"74,7","1,1"
01/01/2011 7.00,"22,8","25,4","0,5","40,5",,"1,1"
01/01/2011 8.00,"33,8","39,7","0,4","25,8",40,3
01/01/2011 9.00,"28,6","40,6","0,6","11,9",,"1,3"
01/01/2011 10.00,"22,1","35,6","0,6",17,"36,1","2,2"
01/01/2011 11.00,"17,8","28,2","0,6","52,1",,"2,8"
01/01/2011 12.00,"9,2","14,2","0,4","69,5",20,"1,5"
01/01/2011 13.00,"10,2","16,7","0,5","70,5",,"1,5"
01/01/2011 14.00,10,"17,2","0,5","74,6","16,6","1,9"
01/01/2011 15.00,"6,3","10,4","0,4","77,6",,"2,3"
01/01/2011 16.00,"7,7","11,6","0,5","71,2","18,1","1,8"
01/01/2011 17.00,"14,4","18,2","0,5","65,9",,"1,6"
01/01/2011 18.00,"34,2","41,6","0,7","49,5",21,"2,3"
01/01/2011 19.00,"47,9","57,6","0,7","39,3",,"2,2"
01/01/2011 20.00,"56,1","70,5","0,7","33,7","24,9","2,8"
01/01/2011 21.00,"68,7",82,"0,7","22,9",,"3,5"
01/01/2011 22.00,"67,4","81,8","0,8","25,5","27,4","3,3"
01/01/2011 23.00,"49,9","61,1","0,6","34,5",,"3,1"
02/01/2011 0.00,34,"39,6","0,5","42,9","27,4","2,3"
02/01/2011 1.00,"28,9","34,6","0,4","47,4",,"1,7"
02/01/2011 2.00,,,"0,4",,"13,2","1,4"
02/01/2011 3.00,"15,1","17,6",,"60,9",,"1,2"
02/01/2011 4.00,"9,9","12,1","0,2","65,4","10,3","0,9"
02/01/2011 5.00,"7,5","9,5","0,2","69,5",,"0,8"
02/01/2011 6.00,"5,2",7,"0,2","69,6","10,7","0,9"
02/01/2011 7.00,"7,2","9,2","0,2","68,3",,"1,2"
02/01/2011 8.00,"11,5","13,3","0,2","62,7","4,4",1
