MANDURIA,,,,
,NO2,CO,O3,PM10
01/01/2011 1.00,"43,464426","1,666255","4,446915",
01/01/2011 2.00,"38,483185","1,170073","5,449638",
01/01/2011 3.00,"31,102197","0,820806","8,634515",
01/01/2011 4.00,"22,759472","0,671732",,
01/01/2011 5.00,"15,313592","0,584324","16,877013",
01/01/2011 6.00,"21,839284","0,628883","12,157917",
01/01/2011 7.00,"37,979621","0,667943","3,922872",
01/01/2011 8.00,"26,283192","0,760403","10,146386",
01/01/2011 9.00,"34,43772","0,911839","14,472107",
01/01/2011 10.00,"35,07497","0,962468","27,058603",
01/01/2011 11.00,"34,666147","0,820888","40,037796",
01/01/2011 12.00,"40,353429","0,825327","40,336387",
01/01/2011 13.00,"66,159002","1,185306","28,869047",
01/01/2011 14.00,"33,555178","0,583834","47,09748",
01/01/2011 15.00,"16,911273","0,469382","54,543761",
01/01/2011 16.00,"29,582387","0,726066","43,556455",
01/01/2011 17.00,"56,292587","1,155735","26,524402",
01/01/2011 18.00,"68,535407","1,524349","16,176936",
01/01/2011 19.00,"74,147436","1,62475","10,515376",
01/01/2011 20.00,"69,475083","1,759282","12,5039",
01/01/2011 21.00,"64,029205","1,897158","12,111206",
01/01/2011 22.00,"56,052478","1,72511","10,382",
01/01/2011 23.00,"43,194468","1,131826","9,64401",
02/01/2011 0.00,"35,344943","0,94031","10,932451",
02/01/2011 1.00,"23,102103","0,657395","17,654272",
02/01/2011 2.00,"17,734125","0,594221","19,898046",
02/01/2011 3.00,"11,862541","0,533777","24,413333",
02/01/2011 4.00,"6,517914","0,420464",,
02/01/2011 5.00,"3,422488","0,375904","32,158203",
02/01/2011 6.00,"4,721657","0,35896","32,759438",
02/01/2011 7.00,"9,313529","0,393297","31,75264",
02/01/2011 8.00,"16,530989","0,56742","28,621927",
02/01/2011 9.00,"20,25458","0,616786","30,678152",
02/01/2011 10.00,"27,033366","0,797996","28,793895",
02/01/2011 11.00,"35,932866","1,070365","31,754675",
02/01/2011 12.00,"46,112087","1,021975","31,938813",
02/01/2011 13.00,"49,451508","1,155694","32,829841",
02/01/2011 14.00,"26,17547","0,69169","48,20716",
02/01/2011 15.00,"16,152017","0,684154","54,115174",
02/01/2011 16.00,"20,889231","0,742155","48,450907",
02/01/2011 17.00,"30,734901","0,835224","42,016834",
02/01/2011 18.00,"42,099063","1,009268","30,552208",
02/01/2011 19.00,"45,494299","1,115697","25,273199",
02/01/2011 20.00,"55,580062","1,354459","18,707773",
02/01/2011 21.00,"56,649519","1,374133","17,68271",
02/01/2011 22.00,"36,727169","1,078754","25,529796",
