"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
,NO2,NOX,PM10

,,,,,,,

01/01/2012 1.00,"4,66130686","10,7642407",
01/01/2012 2.00,"7,60098774","15,64735103","14,16361046"
01/01/2012 3.00,"4,78525418","9,8109653",
01/01/2012 4.00,"3,34072288","7,49781049","12,69841003"
01/01/2012 5.00,"0,53861805","2,04468133",
01/01/2012 6.00,"0,55094662","2,88317363","15,14041042"
01/01/2012 7.00,"1,69242592","4,28001582",
01/01/2012 8.00,"2,43221122","7,2987254","8,54700947"
01/01/2012 9.00,"0,64179722","3,54009286",
01/01/2012 10.00,"6,25574278","16,17262523","11,72161007"
01/01/2012 11.00,"5,91829773","13,97360535",
01/01/2012 12.00,"6,50753024","15,52673251","13,43101025"
01/01/2012 13.00,"8,52312622","17,51823538",
01/01/2012 14.00,"7,92415781","14,99108189","13,91940975"
01/01/2012 15.00,"6,4348513","10,89134472",
01/01/2012 16.00,"10,76974152","15,52154526","9,76801014"
01/01/2012 17.00,"29,77771744","35,28288168",
01/01/2012 18.00,"26,73744624","30,1851264","14,16361046"
01/01/2012 19.00,"26,15210656","34,2251824",
01/01/2012 20.00,"35,91145168","71,37121248","19,53602028"
01/01/2012 21.00,"49,95054112","97,88849192",
01/01/2012 22.00,"44,61239008","73,62276456","27,35042"
01/01/2012 23.00,"33,81930304","48,05743168",
02/01/2012 0.00,"15,12279957","19,24385936","41,02563095"
02/01/2012 1.00,"4,67882843","6,88888055",
02/01/2012 2.00,,,"30,76922989"
02/01/2012 3.00,"8,5451907","10,19746271",
02/01/2012 4.00,"2,92540398","4,6418733","21,97801971"
02/01/2012 5.00,"1,34329663","2,9467266",
02/01/2012 6.00,"2,2849031","4,1704219","12,45421028"
02/01/2012 7.00,"7,41993473","9,96011659",
02/01/2012 8.00,"11,34924004","14,13313307","6,83760691"
02/01/2012 9.00,"11,02217523","14,98330005",
02/01/2012 10.00,"9,38296792","13,84585316","18,07081032"
02/01/2012 11.00,"4,48739326","7,46344038",
02/01/2012 12.00,"5,19148917","7,90959984","25,39682007"
02/01/2012 13.00,"4,86572261","7,78833315",
02/01/2012 14.00,"7,14284004","10,91728482","15,38461018"
02/01/2012 15.00,"5,46209453","8,1333287",
02/01/2012 16.00,"6,97541385","9,5275763","17,82661057"
02/01/2012 17.00,"7,08443609","9,58853469",
02/01/2012 18.00,"7,43615805","9,37972134","9,52380943"
02/01/2012 19.00,"10,17077502","12,37313898",
02/01/2012 20.00,"11,40699582","13,77322202","10,25640965"
02/01/2012 21.00,"9,7580507","12,03657345",
02/01/2012 22.00,"7,38035059","9,78632344","16,84980965"
02/01/2012 23.00,"6,26028761","7,83372594",
03/01/2012 0.00,"7,74180846","9,2746665","25,64101982"
03/01/2012 1.00,"9,40827515","11,45747454",
03/01/2012 2.00,"9,06498894","10,86410828","17,09399986"
03/01/2012 3.00,"8,69898816","10,39395513",
03/01/2012 4.00,"9,37063552","11,02752692","21,0012207"
03/01/2012 5.00,"9,07731751","10,74219151",
03/01/2012 6.00,"6,7547767","8,36613573","22,95482063"
03/01/2012 7.00,"6,0331573","7,97834006",
