
Stat, Modugno Magna Grecia,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10

,,,,,

01/01/2012 1.00,"3,58055902","0,04210033","4,09649442","0,78312698","55,79217","15,60000038"
01/01/2012 2.00,"3,66090914","1,98648578","6,57371603","0,79308424","51,25803375","15,60000038"
01/01/2012 3.00,"3,31061874","1,40938682","6,14701117","0,79432846","49,5617052","15,60000038"
01/01/2012 4.00,"3,32235492","0,68591088","5,09970361","0,7838586","49,61854275","15,60000038"
01/01/2012 5.00,"3,39819058","0,32384882","4,72876987","0,78496419","50,39667255","15,60000038"
01/01/2012 6.00,"3,26999163","0,26425943","4,81761286","0,77949218","48,71321175","15,60000038"
01/01/2012 7.00,"3,37291304","2,4437597","7,4952159","0,78836249","45,5174412","15,60000038"
01/01/2012 8.00,"3,10929037","0,67684226","5,3117597","0,79162216","47,1176706","15,60000038"
01/01/2012 9.00,"3,27902055","0,45079606","5,04458256","0,7981217","47,6048496","15,60000038"
01/01/2012 10.00,"3,41173295","0,45079606","5,41876096","0,77961101","49,60366005","15,60000038"
01/01/2012 11.00,"3,41444021","0,06347458","4,78","0,76200786","58,5346167","15,60000038"
01/01/2012 12.00,"3,38825957","1,55188054","7,7591503","0,76979123","64,42475445","15,60000038"
01/01/2012 13.00,"3,61306031","4,46003827","13,56311234","0,77429628","63,0761943","15,60000038"
01/01/2012 14.00,"3,63382541","11,09439338","24,22098656","0,79634391","61,2181311","15,60000038"
01/01/2012 15.00,"3,4496518","3,59601121","11,72919077","0,76011124","70,40149515","15,60000038"
01/01/2012 16.00,"3,62479649","5,58053146","12,6753325","0,76137527","65,66025795","15,60000038"
01/01/2012 17.00,"3,48576343","25,10211264","33,51833512","0,82532678","31,4298285","15,60000038"
01/01/2012 18.00,"3,48305618","28,92481248","39,7204616","0,91970343","20,2409508","15,60000038"
01/01/2012 19.00,"4,23058576","43,87300056","73,18956272","1,24845128","9,99191561","15,60000038"
01/01/2012 20.00,"3,50382027","21,86299344","30,54829168","0,97739306","18,87076286","15,60000038"
01/01/2012 21.00,"3,5227802","18,91467988","27,23840936","0,88335193","20,54273445","15,60000038"
01/01/2012 22.00,"3,55798976","18,8958983","26,59251664","0,93414593","24,60391605","15,60000038"
01/01/2012 23.00,"3,57785177","29,64894424","39,55576192","1,25283751","14,50915221","15,60000038"
