"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Monopoli Italgreen","","","","","","","","","",""
,NO2,NOX,PM10,BENZENE,PM2.5

,,,,,,,

01/01/2012 1.00,,,,,
01/01/2012 2.00,,,,,
01/01/2012 3.00,,,,,
01/01/2012 4.00,,,,,
01/01/2012 5.00,,,,,
01/01/2012 6.00,,,,,
01/01/2012 7.00,,,,,
01/01/2012 8.00,,,,,
01/01/2012 9.00,,,,,
01/01/2012 10.00,,,,,
01/01/2012 11.00,,,,,
01/01/2012 12.00,,,,,
01/01/2012 13.00,,,,,
01/01/2012 14.00,,,,,
01/01/2012 15.00,,,,,
01/01/2012 16.00,,,,,
01/01/2012 17.00,,,,,
01/01/2012 18.00,,,,,
01/01/2012 19.00,,,,,
01/01/2012 20.00,,,,,
01/01/2012 21.00,,,,,
01/01/2012 22.00,,,,,
01/01/2012 23.00,,,,,
02/01/2012 0.00,,,,,
02/01/2012 1.00,,,,,
02/01/2012 2.00,,,,,
02/01/2012 3.00,,,,,
02/01/2012 4.00,,,,,
02/01/2012 5.00,,,,,
02/01/2012 6.00,,,,,
02/01/2012 7.00,,,,,
02/01/2012 8.00,,,,,
02/01/2012 9.00,,,,,
02/01/2012 10.00,,,,,
02/01/2012 11.00,,,,,
02/01/2012 12.00,,,,,
02/01/2012 13.00,,,,,
02/01/2012 14.00,,,,,
02/01/2012 15.00,,,,,
02/01/2012 16.00,,,,,
02/01/2012 17.00,,,,,
02/01/2012 18.00,,,,,
02/01/2012 19.00,,,,,
02/01/2012 20.00,,,,,
02/01/2012 21.00,,,,,
02/01/2012 22.00,,,,,
02/01/2012 23.00,,,,,
03/01/2012 0.00,,,,,
03/01/2012 1.00,,,,,
03/01/2012 2.00,,,,,
03/01/2012 3.00,,,,,
03/01/2012 4.00,,,,,
03/01/2012 5.00,,,,,
03/01/2012 6.00,,,,,
03/01/2012 7.00,,,,,
03/01/2012 8.00,,,,,
03/01/2012 9.00,,,,,
03/01/2012 10.00,,,,,
03/01/2012 11.00,,,,,
03/01/2012 12.00,,,,,
03/01/2012 13.00,,,,,
03/01/2012 14.00,,,,,
03/01/2012 15.00,,,,,
03/01/2012 16.00,,,,,
03/01/2012 17.00,,,,,
03/01/2012 18.00,,,,,
03/01/2012 19.00,,,,,
03/01/2012 20.00,,,,,
03/01/2012 21.00,,,,,
03/01/2012 22.00,,,,,
03/01/2012 23.00,,,,,
04/01/2012 0.00,,,,,
04/01/2012 1.00,,,,,
04/01/2012 2.00,,,,,
04/01/2012 3.00,,,,,
04/01/2012 4.00,,,,,
04/01/2012 5.00,,,,,
04/01/2012 6.00,,,,,
04/01/2012 7.00,,,,,
04/01/2012 8.00,,,,,
04/01/2012 9.00,,,,,
04/01/2012 10.00,,,,,
04/01/2012 11.00,,,,,
04/01/2012 12.00,,,,,
04/01/2012 13.00,,,,,
04/01/2012 14.00,,,,,
04/01/2012 15.00,,,,,
04/01/2012 16.00,,,,,
04/01/2012 17.00,,,,,
04/01/2012 18.00,,,,,
04/01/2012 19.00,,,,,
04/01/2012 20.00,,,,,
04/01/2012 21.00,,,,,
04/01/2012 22.00,,,,,
04/01/2012 23.00,,,,,
