
Stat, Barletta via canosa,,,,
,SO2,NO2,NOX,CO,O3,PM10,BENZENE

,,,,,,

01/01/2012 1.00,"18,32354325","31,7816464","36,14408472","0,47176675","34,01891955","17,09399986","5,98159839"
01/01/2012 2.00,"4,19525416","35,29880864","42,36693728","0,61182189","32,7717054","17,09399986","6,57749428"
01/01/2012 3.00,"3,54087365","34,52810056","39,87871784","0,58056028","32,51796135","17,09399986","6,99794344"
01/01/2012 4.00,"3,15546624","31,2829968","35,48976008","0,56736782","33,08266605","17,09399986","6,51058687"
01/01/2012 5.00,"2,79262403","33,51846896","35,90542888","0,47759175","32,8753656","17,09399986","6,23777764"
01/01/2012 6.00,"2,86934448","31,97902216","32,74795208","0,44364482","33,3929484","17,09399986","5,30513677"
01/01/2012 7.00,"2,87656518","30,8375964","33,56502616","0,47593279","36,3914733","17,09399986","6,13755229"
01/01/2012 8.00,"2,58592997","26,87568384","27,00495416","0,40557029","38,5224126","17,09399986","5,02180871"
01/01/2012 9.00,"3,26648603","47,01831704","59,85537032","0,5635571","29,68837305","17,09399986","5,28663347"
01/01/2012 10.00,"2,91627903","33,43407328","37,39436064","0,47705935","40,40567265","17,09399986","6,8623092"
01/01/2012 11.00,"3,21503803","50,75363848","65,20277544","0,6586246","40,6035567","17,09399986","6,38332356"
01/01/2012 12.00,"4,76388835","91,4473272","147,79933992","1,19731827","27,8226291","17,09399986","7,88267344"
01/01/2012 13.00,"6,3975819","116,95753712","216,1670872","2,15900014","19,004769","17,09399986","11,09123928"
01/01/2012 14.00,"5,5383125","119,78509832","186,22283456","1,16595763","24,10999395","17,09399986","11,43910413"
01/01/2012 15.00,"3,33056923","87,28543856","102,90454744","0,69227562","40,0004682","17,09399986","9,28191085"
01/01/2012 16.00,"2,9695322","74,71080728","79,18678016","0,48527493","46,88798625","17,09399986","6,32616206"
01/01/2012 17.00,"3,78637948","87,5548776","109,44322416","0,77510013","24,0601788","17,09399986","6,9286115"
01/01/2012 18.00,"12,19854888","104,94134368","238,4986736","1,65192457","8,5681679","17,09399986","9,96431887"
01/01/2012 19.00,"6,42827089","96,41887136","174,59613464","1,15389289","8,52845543","17,09399986","11,48783877"
01/01/2012 20.00,"5,89754537","91,91611136","150,70777872","1,10357305","8,90066457","17,09399986","10,49082282"
01/01/2012 21.00,"4,26926633","79,63172168","112,32189312","0,8260118","14,87077988","17,09399986","9,66480118"
01/01/2012 22.00,"4,09326126","66,22600136","88,9451884","0,71208295","19,99821915","17,09399986","8,30780283"
01/01/2012 23.00,"4,57524604","72,89995208","109,87839536","0,89491339","13,87665941","17,09399986","8,38456802"
02/01/2012 0.00,"3,9443328","59,58386632","79,09012856","0,6977453","18,35458254","17,09399986","8,65798339"
02/01/2012 1.00,"3,81887263","52,74368632","71,81737768","0,67288303","18,51343242","30,03663063","7,64207971"
02/01/2012 2.00,,"31,79917944","33,5916412","0,4498065","29,17146855","30,03663063","6,71296377"
02/01/2012 3.00,"2,37652865",,,"0,40612366","33,65343555","30,03663063","5,77261302"
02/01/2012 4.00,"2,74568948","25,10249504","25,1775028",,"34,7404512","30,03663063","5,66473475"
