"NetC","ENEL Brindisi"
"Stat","Costa Morena Diga"
,PM10

,,,

01/01/2012 1.00,
01/01/2012 2.00,"12,70689"
01/01/2012 3.00,
01/01/2012 4.00,"15,52163"
01/01/2012 5.00,
01/01/2012 6.00,"11,89761"
01/01/2012 7.00,
01/01/2012 8.00,"14,62623"
01/01/2012 9.00,
01/01/2012 10.00,"19,37457"
01/01/2012 11.00,
01/01/2012 12.00,"12,28598"
01/01/2012 13.00,
01/01/2012 14.00,"14,32031"
01/01/2012 15.00,
01/01/2012 16.00,"11,35327"
01/01/2012 17.00,
01/01/2012 18.00,"12,69468"
01/01/2012 19.00,
01/01/2012 20.00,"9,000814"
01/01/2012 21.00,
01/01/2012 22.00,"6,326482"
01/01/2012 23.00,
02/01/2012 0.00,"6,471307"
02/01/2012 1.00,
02/01/2012 2.00,"13,66503"
02/01/2012 3.00,
02/01/2012 4.00,"19,33964"
02/01/2012 5.00,
02/01/2012 6.00,"27,21476"
02/01/2012 7.00,
02/01/2012 8.00,"17,70315"
02/01/2012 9.00,
02/01/2012 10.00,"25,30559"
02/01/2012 11.00,
02/01/2012 12.00,"21,00766"
02/01/2012 13.00,
02/01/2012 14.00,"25,38324"
02/01/2012 15.00,
02/01/2012 16.00,"25,03391"
02/01/2012 17.00,
02/01/2012 18.00,"26,3536"
02/01/2012 19.00,
02/01/2012 20.00,"17,4576"
02/01/2012 21.00,
02/01/2012 22.00,"24,9576"
02/01/2012 23.00,
03/01/2012 0.00,"42,43249"
03/01/2012 1.00,
03/01/2012 2.00,"52,48745"
03/01/2012 3.00,
03/01/2012 4.00,"41,00291"
03/01/2012 5.00,
03/01/2012 6.00,"34,35931"
03/01/2012 7.00,
03/01/2012 8.00,"30,47788"
03/01/2012 9.00,
03/01/2012 10.00,"19,82126"
03/01/2012 11.00,
03/01/2012 12.00,"30,53249"
03/01/2012 13.00,
03/01/2012 14.00,"20,6105"
03/01/2012 15.00,
03/01/2012 16.00,"22,15844"
03/01/2012 17.00,
03/01/2012 18.00,"24,55806"
03/01/2012 19.00,
03/01/2012 20.00,"25,05867"
03/01/2012 21.00,
03/01/2012 22.00,"33,71896"
03/01/2012 23.00,
04/01/2012 0.00,"23,7064"
04/01/2012 1.00,
04/01/2012 2.00,"19,59164"
04/01/2012 3.00,
04/01/2012 4.00,"23,86479"
04/01/2012 5.00,
04/01/2012 6.00,"24,70051"
04/01/2012 7.00,
04/01/2012 8.00,"19,87857"
04/01/2012 9.00,
04/01/2012 10.00,"22,46357"
04/01/2012 11.00,
04/01/2012 12.00,"36,13824"
04/01/2012 13.00,
04/01/2012 14.00,"22,93888"
04/01/2012 15.00,
04/01/2012 16.00,"11,17046"
04/01/2012 17.00,
04/01/2012 18.00,"2,369081"
04/01/2012 19.00,
04/01/2012 20.00,"18,71353"
04/01/2012 21.00,
04/01/2012 22.00,"31,6592"
04/01/2012 23.00,
05/01/2012 0.00,"43,92382"
05/01/2012 1.00,
05/01/2012 2.00,"48,09286"
05/01/2012 3.00,
05/01/2012 4.00,"53,44186"
05/01/2012 5.00,
05/01/2012 6.00,"50,6651"
05/01/2012 7.00,
05/01/2012 8.00,"30,56234"
05/01/2012 9.00,
05/01/2012 10.00,"20,72039"
05/01/2012 11.00,
05/01/2012 12.00,"17,53391"
05/01/2012 13.00,
05/01/2012 14.00,"12,84154"
05/01/2012 15.00,
05/01/2012 16.00,"12,56444"
05/01/2012 17.00,
05/01/2012 18.00,"9,182268"
05/01/2012 19.00,
05/01/2012 20.00,"8,204111"
05/01/2012 21.00,
05/01/2012 22.00,"10,30118"
05/01/2012 23.00,
06/01/2012 0.00,"12,62243"
06/01/2012 1.00,
06/01/2012 2.00,"9,005901"
06/01/2012 3.00,
06/01/2012 4.00,"5,008479"
06/01/2012 5.00,
06/01/2012 6.00,"12,61904"
06/01/2012 7.00,
06/01/2012 8.00,"16,50115"
06/01/2012 9.00,
06/01/2012 10.00,"12,12352"
