"NetC","SIMAGE Brindisi","","",""
"Stat","S. Pancrazio S.","","",""
,SO2,NO2,NOX,PM10

,,,,,

01/01/2012 1.00,"0,133887","12,541329","29,369983","20,79999"
01/01/2012 2.00,"0,109235","14,055947","32,665602","20,79999"
01/01/2012 3.00,"0,122368","8,053342","23,309881","20,79999"
01/01/2012 4.00,"0,206071","8,754147","23,193783","20,79999"
01/01/2012 5.00,"0,173152","7,477042","21,088805","20,79999"
01/01/2012 6.00,"0,131525","6,572423","19,117406","20,79999"
01/01/2012 7.00,"0,114549","6,931935","18,123924","20,79999"
01/01/2012 8.00,"0,235742","7,875488","18,018869","20,79999"
01/01/2012 9.00,"0,137282","9,290168","18,974736","20,79999"
01/01/2012 10.00,"0,196033","11,4628","22,865645","20,79999"
01/01/2012 11.00,"0,250503","11,519903","24,026439","20,79999"
01/01/2012 12.00,"0,26615","9,865126","24,612678","20,79999"
01/01/2012 13.00,"0,319735","8,290806","22,646473","20,79999"
01/01/2012 14.00,"0,213304","7,730126","21,859207","20,79999"
01/01/2012 15.00,"0,165181","7,561403","21,183468","20,79999"
01/01/2012 16.00,"0,24445","5,557488","18,016275","20,79999"
01/01/2012 17.00,"0,309253","6,170085","17,304236","20,79999"
01/01/2012 18.00,"0,261278","9,71587","20,807359","20,79999"
01/01/2012 19.00,"0,210942","15,117612","26,923884","20,79999"
01/01/2012 20.00,"0,254193","14,558222","26,927784","20,79999"
01/01/2012 21.00,"0,167395","14,675036","26,975757","20,79999"
01/01/2012 22.00,"0,235446","26,856849","40,080375","20,79999"
01/01/2012 23.00,"0,345124","38,383247","54,922983","20,79999"
02/01/2012 0.00,"0,346157","26,934726","48,566501","20,79999"
02/01/2012 1.00,,"20,389548","34,241395","57,799992"
02/01/2012 2.00,"0,268145",,,"57,799992"
02/01/2012 3.00,"0,229217",,,"57,799992"
02/01/2012 4.00,"0,198874",,,"57,799992"
02/01/2012 5.00,"0,185937",,,"57,799992"
02/01/2012 6.00,"0,294019",,,"57,799992"
02/01/2012 7.00,"0,290961",,,"57,799992"
02/01/2012 8.00,"0,470783",,,"57,799992"
02/01/2012 9.00,"0,732577",,,"57,799992"
02/01/2012 10.00,"0,688474",,,"57,799992"
02/01/2012 11.00,,,,"57,799992"
02/01/2012 12.00,,,,"57,799992"
02/01/2012 13.00,,,,"57,799992"
02/01/2012 14.00,,,,"57,799992"
02/01/2012 15.00,,,,"57,799992"
02/01/2012 16.00,,,,"57,799992"
02/01/2012 17.00,,,,"57,799992"
02/01/2012 18.00,,,,"57,799992"
02/01/2012 19.00,,,,"57,799992"
02/01/2012 20.00,,,,"57,799992"
02/01/2012 21.00,,,,"57,799992"
02/01/2012 22.00,,,,"57,799992"
02/01/2012 23.00,,,,"57,799992"
03/01/2012 0.00,,,,"57,799992"
03/01/2012 1.00,,,,"35,900002"
03/01/2012 2.00,,,,"35,900002"
03/01/2012 3.00,,,,"35,900002"
03/01/2012 4.00,,,,"35,900002"
03/01/2012 5.00,,,,"35,900002"
03/01/2012 6.00,,,,"35,900002"
03/01/2012 7.00,,,,"35,900002"
03/01/2012 8.00,,,,"35,900002"
03/01/2012 9.00,,,,"35,900002"
03/01/2012 10.00,,,,"35,900002"
03/01/2012 11.00,"0,193699",,,"35,900002"
03/01/2012 12.00,"0,17547","11,958584","17,961802","35,900002"
03/01/2012 13.00,"0,097732","12,201294","17,860638","35,900002"
03/01/2012 14.00,"0,150655","13,852183","17,873608","35,900002"
03/01/2012 15.00,"0,056687","16,227288","20,13942","35,900002"
03/01/2012 16.00,"0,161357","16,96189","21,489561","35,900002"
03/01/2012 17.00,"0,144186","15,577053","19,4611","35,900002"
03/01/2012 18.00,"0,169943","21,0346","25,872035","35,900002"
03/01/2012 19.00,"0,114079","16,780189","20,617994","35,900002"
03/01/2012 20.00,"0,135719","29,943201","43,61465","35,900002"
03/01/2012 21.00,"0,179586","31,455209","43,907759","35,900002"
03/01/2012 22.00,"0,215927","25,49149","32,193492","35,900002"
03/01/2012 23.00,"0,085735","25,643341","32,380254","35,900002"
04/01/2012 0.00,"0,103259","22,65305","26,549057","35,900002"
04/01/2012 1.00,,"22,028764","26,536092","50,299992"
04/01/2012 2.00,"0,184243",,,"50,299992"
04/01/2012 3.00,"0,170171","16,682846","21,844944","50,299992"
