"NetC","SIMAGE Brindisi","","","",""
"Stat","S. Pietro  Vernotico","","","",""
,SO2,NO2,NOX,PM10

,,,,,

01/01/2012 1.00,"2,015572","9,209701","22,352044","29,200001"
01/01/2012 2.00,"1,89276","11,370652","24,597115","29,200001"
01/01/2012 3.00,"1,918045","12,804801","26,014709","29,200001"
01/01/2012 4.00,"1,896371","11,792457","24,62306","29,200001"
01/01/2012 5.00,"1,807874","12,445286","25,152226","29,200001"
01/01/2012 6.00,"1,925268","12,216867","24,499831","29,200001"
01/01/2012 7.00,"2,078784","12,401161","24,289722","29,200001"
01/01/2012 8.00,"1,927075","14,562116","26,266329","29,200001"
01/01/2012 9.00,"2,084203","14,327208","26,542575","29,200001"
01/01/2012 10.00,"2,120324","14,044268","26,971876","29,200001"
01/01/2012 11.00,"2,344276","13,771714","26,371373","29,200001"
01/01/2012 12.00,"2,53572","10,615292","22,833237","29,200001"
01/01/2012 13.00,"2,514047","8,621764","21,723016","29,200001"
01/01/2012 14.00,"2,43458","8,005276","21,532369","29,200001"
01/01/2012 15.00,"2,358725","7,93519","21,506424","29,200001"
01/01/2012 16.00,"2,429161","8,664595","22,326117","29,200001"
01/01/2012 17.00,"2,559199","10,903418","24,729406","29,200001"
01/01/2012 18.00,"2,514047","27,139788","42,967458","29,200001"
01/01/2012 19.00,"2,738","48,558565","69,000315","29,200001"
01/01/2012 20.00,"2,627829","43,333336","63,112081","29,200001"
01/01/2012 21.00,"2,694654","47,541036","68,377783","29,200001"
01/01/2012 22.00,"2,481538","52,89087","82,567999","29,200001"
01/01/2012 23.00,"2,237719","40,794698","62,674998","29,200001"
02/01/2012 0.00,"2,606157","44,023798","85,075033","29,200001"
02/01/2012 1.00,,"41,730469","93,230419","44,599991"
02/01/2012 2.00,"2,356919",,,"44,599991"
02/01/2012 3.00,"1,887341","23,491463","36,37884","44,599991"
02/01/2012 4.00,"1,688674","18,659508","30,925051","44,599991"
02/01/2012 5.00,"1,69048","17,221464","29,734429","44,599991"
02/01/2012 6.00,"1,838577","19,71857","32,27521","44,599991"
02/01/2012 7.00,"1,806069","24,102766","37,242603","44,599991"
02/01/2012 8.00,"2,28287","34,84136","72,033969","44,599991"
02/01/2012 9.00,"2,353307","40,618201","98,816497","44,599991"
02/01/2012 10.00,"2,138385","31,996419","55,619448","44,599991"
02/01/2012 11.00,"2,105875","48,249681","65,127556","44,599991"
02/01/2012 12.00,"2,322604","19,654958","32,857547","44,599991"
02/01/2012 13.00,"2,277452","18,305182","33,847141","44,599991"
02/01/2012 14.00,"2,315379","12,55561","26,716374","44,599991"
02/01/2012 15.00,"2,671175","12,886572","26,874593","44,599991"
02/01/2012 16.00,"2,488762","17,863907","33,889912","44,599991"
02/01/2012 17.00,"2,346083","18,777613","32,594266","44,599991"
02/01/2012 18.00,"2,52669","26,305258","41,289182","44,599991"
02/01/2012 19.00,,,,"44,599991"
02/01/2012 20.00,"2,671175","49,783758","83,80919","44,599991"
02/01/2012 21.00,"2,602545","50,755873","77,784746","44,599991"
02/01/2012 22.00,"2,396653","43,364484","61,848819","44,599991"
02/01/2012 23.00,"2,261198","27,639469","42,309902","44,599991"
